tag,DETOUR,DETOUR_SIDE_PROJ,CBF_ALPHA,PLAN_BLEND,YAW_LOOKAHEAD,ST_WEIGHT
abl01,1,0,3.0,0.0,0.0,0.0
abl02,1,0,3.0,0.0,0.0,5.0
abl03,1,0,3.0,0.0,0.7,0.0
abl04,1,0,3.0,0.0,0.7,5.0
abl05,1,0,3.0,1.0,0.0,0.0
abl06,1,0,3.0,1.0,0.0,5.0
abl07,1,0,3.0,1.0,0.7,0.0
abl08,1,0,3.0,1.0,0.7,5.0
abl09,1,0,1.5,0.0,0.0,0.0
abl10,1,0,1.5,0.0,0.0,5.0
abl11,1,0,1.5,0.0,0.7,0.0
abl12,1,0,1.5,0.0,0.7,5.0
abl13,1,0,1.5,1.0,0.0,0.0
abl14,1,0,1.5,1.0,0.0,5.0
abl15,1,0,1.5,1.0,0.7,0.0
abl16,1,0,1.5,1.0,0.7,5.0
abl17,1,1,3.0,0.0,0.0,0.0
abl18,1,1,3.0,0.0,0.0,5.0
abl19,1,1,3.0,0.0,0.7,0.0
abl20,1,1,3.0,0.0,0.7,5.0
abl21,1,1,3.0,1.0,0.0,0.0
abl22,1,1,3.0,1.0,0.0,5.0
abl23,1,1,3.0,1.0,0.7,0.0
abl24,1,1,3.0,1.0,0.7,5.0
abl25,1,1,1.5,0.0,0.0,0.0
abl26,1,1,1.5,0.0,0.0,5.0
abl27,1,1,1.5,0.0,0.7,0.0
abl28,1,1,1.5,0.0,0.7,5.0
abl29,1,1,1.5,1.0,0.0,0.0
abl30,1,1,1.5,1.0,0.0,5.0
abl31,1,1,1.5,1.0,0.7,0.0
abl32,1,1,1.5,1.0,0.7,5.0
abl33,0,1,3.0,0.0,0.0,0.0
abl34,0,1,3.0,0.0,0.0,5.0
abl35,0,1,3.0,0.0,0.7,0.0
abl36,0,1,3.0,0.0,0.7,5.0
abl37,0,1,3.0,1.0,0.0,0.0
abl38,0,1,3.0,1.0,0.0,5.0
abl39,0,1,3.0,1.0,0.7,0.0
abl40,0,1,3.0,1.0,0.7,5.0
abl41,0,1,1.5,0.0,0.0,0.0
abl42,0,1,1.5,0.0,0.0,5.0
abl43,0,1,1.5,0.0,0.7,0.0
abl44,0,1,1.5,0.0,0.7,5.0
abl45,0,1,1.5,1.0,0.0,0.0
abl46,0,1,1.5,1.0,0.0,5.0
abl47,0,1,1.5,1.0,0.7,0.0
abl48,0,1,1.5,1.0,0.7,5.0
