method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
gmpc_cbf,scan_seed1,True,99.87232565879822,102.63259935379028,20.870481406151963,0.03260969581128219,0.13994224133175526,0.08975917095107724,0.03699968471249613,0.7986124581218832,0.5991760091913855,0.1288065759914318,0.10000000000000003,0,False,gt_pose+static,2.0749058517284498,23.358119297027564,46.18681335449219,16.950000274926424,4.600000090897083,0.2458586912163993,0.2444012108949211,map_tf,controller_log,0.287,2689,2149,35,913,1988,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed1
gmpc_cbf,scan_seed2,True,87.64349627494812,90.75948452949524,20.035457100830932,0.039597661657786776,0.09921816045158302,0.1409550138284344,0.025153061343844332,0.49103305468285546,0.5990433581791625,0.11670743722821011,0.3000000000000001,0,False,gt_pose+static,2.525884868254833,3.778869271278378,203.39260864257812,4.600000090897083,3.7500000782310963,0.22271314343722964,0.22160462458287272,map_tf,controller_log,0.273,2385,1894,30,936,1572,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed2
gmpc_cbf,scan_seed3,True,216.20816802978516,218.8485643863678,45.21030717810882,0.24476778654227305,0.1371741283759667,0.11345376970929029,0.09635047907118248,0.7999207833914442,0.6004374831780661,0.22777544281974177,0.07332531439922313,0,False,gt_pose+static,5.506632635141694,33.07926864624023,157.5402374267578,4.200000084936619,2.2500000558793545,0.25579257378692594,0.25422125299404613,map_tf,controller_log,0.297,5463,4377,71,2110,3975,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed3
gmpc_cbf,scan_seed4,True,109.01018190383911,111.88995480537415,22.799790106679502,0.04025668657240189,0.1312402714727957,0.08494193648522423,0.05333947684390856,0.7518204925303987,0.5994018222485815,0.25138439730666995,0.3020797289396148,0,False,gt_pose+static,1.536364471346932,1.4803373754024443,47.342350006103516,8.750000152736902,15.700000256299973,0.25288490667503594,0.25141264500750043,map_tf,controller_log,0.293,2811,2269,37,1043,2182,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed4
gmpc_cbf,scan_seed5,True,97.07225155830383,99.67237567901611,21.164522790422517,0.02315806141797998,0.07608392680427067,0.11632099078340324,0.026687449653620476,0.44711103829807525,0.5075276973204257,0.07924469764674198,0.35000000000000003,0,False,gt_pose+static,0.8975965039353057,0.4654027044773099,38.360496520996094,5.400000102818012,3.0000000670552254,0.25634135530299357,0.2550630541307074,map_tf,controller_log,0.292,2568,2047,34,897,1943,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed5
gmpc_cbf,scan_seed6,True,93.12662553787231,95.64651465415955,19.933526696114676,0.06097545313079724,0.13370834165190015,0.12733257723675048,0.05449793403258039,0.7982250630590638,0.5998200956778829,0.26087392227468886,0.17397464457137063,0,False,gt_pose+static,1.4234987935606216,3.861077952384923,35.835880279541016,3.7500000782310963,4.300000086426735,0.267579988074731,0.2664426554155592,map_tf,controller_log,0.299,2475,1979,32,980,1863,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed6
gmpc_cbf,scan_seed7,True,71.05364418029785,73.69462132453918,14.788103507375876,0.09412549882125347,0.14086093333855473,0.13248769179364792,0.09840197551790879,0.6863821527284162,0.5989572353194964,0.25058918763018606,0.23851648071345039,0,False,gt_pose+static,1.4159920022153019,5.463117122650139,37.601226806640625,0.3500000275671482,8.100000143051147,0.2554268010070267,0.2543478983997338,map_tf,controller_log,0.29,1853,1526,48,604,1425,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed7
gmpc_cbf,scan_seed8,True,76.8165762424469,79.6965925693512,14.910718217915623,0.03661325550044628,0.07812367741863976,0.10614475939341077,0.03837983595657313,0.5536124200583336,0.5981344793275837,0.16019282144402539,0.15632712437773766,0,False,gt_pose+static,0.8376765320824291,1.1133635997772207,31.205808639526367,13.150000218302011,8.750000152736902,0.2545827584450809,0.25294798205192054,map_tf,controller_log,0.295,2037,1563,27,755,1539,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed8
gmpc_cbf,scan_seed9,True,103.64360904693604,106.48283553123474,21.979869507834938,0.03218246985275711,0.1147862230138534,0.12324085104714785,0.047993911110983146,0.6361311381965725,0.5982724596882909,0.14987264892909602,0.3020797289396148,0,False,gt_pose+static,0.9820127581276298,0.7187214136123652,36.27524948120117,16.700000271201134,16.750000271946192,0.2572771936058286,0.2560874497930378,map_tf,controller_log,0.294,2732,2185,70,909,2073,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed9
gmpc_cbf,scan_seed10,True,61.81228804588318,64.49214172363281,13.430396712561146,0.025809371246207125,0.05157865604039023,0.0944539267770743,0.04165884020767784,0.4309831033581726,0.5692730343923799,0.1100677451755604,0.37268120235368557,0,False,gt_pose+static,0.573138664170148,0.4140779733657837,32.839412689208984,6.850000124424696,16.150000263005495,0.2601573509901104,0.25902922534097944,map_tf,controller_log,0.296,1625,1302,22,580,1237,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed10
