method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
mppi,mppi_seed1,True,70.92676258087158,73.56655597686768,21.120412363167034,0.04751061696560465,0.10384389614040994,0.03353365282398135,0.21318800844800256,0.19378444397668973,0.6161907819898889,0.4347499472038447,0.08647706356785123,0,False,gt_pose+static,nan,nan,nan,17.35000028088689,17.05000027641654,0.09942354706924815,0.026287674754826677,map_tf,bag_pose,nan,1875,1472,72,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed1
mppi,mppi_seed2,False,nan,244.73578786849976,16.827520173868763,0.5809712966144062,0.2085433065221083,0.020649171845883208,0.14519246772318006,0.33699124047560153,0.5776864328469308,1.9810650561361087,0.0999840969049286,0,False,gt_pose+static,nan,nan,nan,2.2000000551342964,-0.44999998435378075,6.962512585754628,6.31134359896599,map_tf,none,nan,6158,1276,61,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed2
mppi,mppi_seed3,True,82.3617513179779,85.16157341003418,21.17438404161239,0.06103634776162875,0.1410905342797653,0.02244473260344936,0.18025793119482697,0.18350837880049467,0.5390327680323256,0.3074324945894006,0.16573642249113474,0,False,gt_pose+static,nan,nan,nan,1.4500000439584255,3.8500000797212124,0.27615387260373014,0.23552036644432217,map_tf,bag_pose,nan,2151,1703,83,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed3
mppi,mppi_seed4,False,nan,247.54601120948792,11.354994736474394,0.44371227342445624,0.11308609392169207,0.04181196235138878,0.1729582358537954,0.28163912600839275,0.7608589143781802,0.4186932590824514,0.09450500062465006,0,False,gt_pose+static,nan,nan,nan,3.2000000700354576,4.050000082701445,5.234667509798419,5.234426931943991,map_tf,none,nan,6203,759,36,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed4
mppi,mppi_seed5,True,47.13722515106201,49.697577476501465,15.271165376199146,0.06086641656407106,0.1000100024636976,0.0511758400890337,0.23658685123883302,0.18911559782241047,0.6439406117106451,0.39250643061675566,0.07955829358509897,0,False,gt_pose+static,nan,nan,nan,4.8000000938773155,11.750000197440386,0.03403160103302462,0.007338024465587683,map_tf,bag_pose,nan,1274,992,49,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed5
mppi,mppi_seed6,True,68.97592544555664,71.65529894828796,20.58141627732178,0.0585982814604871,0.21969803103908397,0.02551931169062975,0.17945082510715432,0.18869024756909933,0.7341828154262003,0.39602546817385464,0.1056428406215264,0,False,gt_pose+static,nan,nan,nan,8.600000150501728,13.250000219792128,0.07236066775129446,0.06367036594199438,map_tf,bag_pose,nan,1843,1428,69,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed6
mppi,mppi_seed7,True,73.27600431442261,76.07585978507996,21.019162153008743,0.059979493474112154,0.17461321886173523,0.03390829251267835,0.21842077559474574,0.3057457988222339,0.6551987820701312,0.45493028404324964,0.07340265191876194,0,False,gt_pose+static,nan,nan,nan,12.200000204145908,14.800000242888927,0.08076207502810658,0.08076207502810658,map_tf,bag_pose,nan,1998,1522,75,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed7
mppi,mppi_seed8,True,66.18271827697754,69.10258674621582,20.621540411269716,0.05121908071722314,0.13575356088780588,0.026567324764193878,0.2088466301178414,0.1413194311982604,0.6233638606828462,0.43371443259328607,0.08006655876939694,0,False,gt_pose+static,nan,nan,nan,17.450000282377005,16.650000270456076,0.09853301420612395,0.04411267117781606,map_tf,bag_pose,nan,1777,1382,67,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed8
mppi,mppi_seed9,False,nan,246.35358595848083,5.344660743734316,1.5130819247277432,0.07894356854593683,0.014943955173728766,0.21208833615778128,0.24550796282341528,0.553159967189596,0.46403388926722205,0.1784462123617893,0,False,gt_pose+static,nan,nan,nan,-0.29999998211860657,8.750000152736902,16.406746163665492,14.686042286986147,map_tf,none,nan,6168,1291,60,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed9
mppi,mppi_seed10,True,65.33635425567627,68.09646439552307,19.74232411211578,0.05965954626885827,0.10031550356756604,0.025560271402664012,0.18693289478047917,0.18316197902007833,0.6235773958050325,0.4323092408432151,0.10311288741492747,0,False,gt_pose+static,nan,nan,nan,17.450000282377005,8.80000015348196,0.06179317828316132,0.01559884906888494,map_tf,bag_pose,nan,1780,1362,67,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed10
