method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
mppi,mppi_seed1,True,44.507601499557495,47.107770681381226,13.695158444618375,0.05651145709474276,0.201133903825714,0.021176775301688492,0.19535900063990913,0.17900950541769448,0.6445488897102324,0.6019161397341858,0.1511058584490722,0,False,gt_pose+static,nan,nan,nan,-0.1499999798834324,8.500000149011612,0.09519983194644047,0.08505808100549142,map_tf,bag_pose,nan,1217,942,46,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed1
mppi,mppi_seed2,True,49.606765031814575,52.28692555427551,15.488285962819585,0.05630601310978665,0.16434514046306428,0.019144183645060903,0.1694973273018604,0.2445162070632381,0.5465366387824032,0.3373732533824932,0.19244289008980525,0,False,gt_pose+static,nan,nan,nan,10.10000017285347,7.550000134855509,0.10600968770391336,0.010236272886137545,map_tf,bag_pose,nan,1419,1045,52,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed2
mppi,mppi_seed3,True,72.53903865814209,75.13875341415405,19.834947341544364,0.055688652120509934,0.15214009461431222,0.022629359644045294,0.2275622504748044,0.17913097746972018,0.5990102467884068,0.4048129014874409,0.13113510038387727,0,False,gt_pose+static,nan,nan,nan,1.9500000514090061,14.75000024214387,0.04526438510833687,0.016249850071416674,map_tf,bag_pose,nan,1941,1502,74,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed3
mppi,mppi_seed4,False,nan,245.55749440193176,21.845616045858762,0.05501365643582391,0.19438323109197345,0.025631127302213567,0.20172662066732006,0.1743227412962922,0.5810673564150907,0.3446735367028663,-0.13098279993646175,1,True,gt_pose+static,nan,nan,nan,6.300000116229057,12.40000020712614,0.3695026383990025,0.3694864180849953,map_tf,none,nan,6162,1820,86,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed4
mppi,mppi_seed5,True,40.09580135345459,42.89547681808472,13.969248422933417,0.05024638490054252,0.07014959194247664,0.0197215099341364,0.170456372632677,0.14807976127433378,0.5559296838594358,0.31847883044556247,0.1609772228646444,0,False,gt_pose+static,nan,nan,nan,12.550000209361315,0.30000002682209015,0.0943221636566673,0.05835026442659399,map_tf,bag_pose,nan,1097,851,41,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed5
mppi,mppi_seed6,False,nan,245.4313907623291,2.313936445481919,0.20249642899649709,0.1452710123742625,0.02233126399204599,0.235711428455483,0.3442109508427881,0.5902874242279471,0.5164886847198082,0.25000000000000006,0,False,gt_pose+static,nan,nan,nan,13.350000221282244,8.000000141561031,11.939327357470551,11.939327357470544,map_tf,none,nan,6228,308,14,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed6
mppi,mppi_seed7,False,nan,245.28348565101624,10.848587027332833,0.2223367286190356,0.1419495939590156,0.019346431394851978,0.23892879647660342,0.26751866080691256,0.587386465659913,1.1435246850334113,-0.2717180840299469,1,True,gt_pose+static,nan,nan,nan,5.850000109523535,4.050000082701445,10.871452073888848,10.049868593477864,map_tf,none,nan,6178,994,47,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed7
mppi,mppi_seed8,True,51.03399395942688,53.874202728271484,16.812049954768618,0.05109777146435704,0.0812766612461377,0.03315088802075009,0.1811030621250271,0.2214780481890342,0.5680641565040989,0.4137777890783824,0.07968574858515637,0,False,gt_pose+static,nan,nan,nan,13.500000223517418,13.250000219792128,0.023976241239715347,0.014342517378851762,map_tf,bag_pose,nan,1335,1071,52,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed8
mppi,mppi_seed9,True,52.31625699996948,55.07643675804138,16.097339932070472,0.07037379025152306,0.10214854576814325,0.028154855533423805,0.2503668847982651,0.14516772965838864,0.5783404087269624,0.41700342627687575,0.12898673797921684,0,False,gt_pose+static,nan,nan,nan,5.350000102072954,11.750000197440386,0.10497301594902271,0.08040214487521677,map_tf,bag_pose,nan,1391,1101,54,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed9
mppi,mppi_seed10,True,77.18319249153137,79.90376234054565,21.76602541927799,0.057294255155192764,0.19297210383729688,0.04312164641072535,0.18797400007902595,0.20124698877261504,0.6319337285715414,0.3712306445906228,0.0664694341098957,0,False,gt_pose+static,nan,nan,nan,5.000000096857548,14.20000023394823,0.14357257329263842,0.14304648091968553,map_tf,bag_pose,nan,2070,1585,77,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed10
mppi,mppi_seed11,True,113.86024904251099,116.50044393539429,30.663747919846546,0.05845554288188697,0.2079140418873542,0.04263181709331824,0.1850651371648202,0.3206687863056759,0.6526429693426998,0.4987013439115886,0.0726166228207093,0,False,gt_pose+static,nan,nan,nan,16.750000271946192,1.800000049173832,0.05670058603266879,0.043058540099704855,map_tf,bag_pose,nan,3022,2330,113,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed11
mppi,mppi_seed12,True,48.69779825210571,51.45774722099304,15.488351463048133,0.04761448106682304,0.15771422330436802,0.01847839700853804,0.20165709409619323,0.15004752573095625,0.5492110674162478,0.34462097619149457,0.17434164902525695,0,False,gt_pose+static,nan,nan,nan,7.550000134855509,16.850000273436308,0.12866206116206017,0.10596286592178084,map_tf,bag_pose,nan,1302,1029,51,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed12
mppi,mppi_seed13,False,nan,246.4961531162262,4.994251864054504,0.5862969266547192,0.09620912445820733,0.0190391611167334,0.2205461621707786,0.2362534003887086,0.6224404797624077,1.1972623985152235,0.25000000000000006,0,False,gt_pose+static,nan,nan,nan,0.10000002384185791,-0.29999998211860657,15.79088921919621,15.716348153257476,map_tf,none,nan,6173,1133,51,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed13
mppi,mppi_seed14,True,71.46849584579468,74.30801939964294,21.59361884081836,0.04991380248056902,0.11875599640129457,0.04176671694307049,0.21476184787812014,0.15246359702917067,0.5984357361438837,0.40242127584589416,0.07262766703741191,0,False,gt_pose+static,nan,nan,nan,11.100000187754631,15.100000247359276,0.06832895371052544,0.06748953379045805,map_tf,bag_pose,nan,1815,1468,71,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed14
mppi,mppi_seed15,True,49.325905561447144,52.08582901954651,15.715883838436813,0.054646930417110946,0.15337933658543973,0.018916677607055586,0.2161584813580321,0.16941368736535622,0.5394376702907516,0.3779527098780452,0.1716990566028302,0,False,gt_pose+static,nan,nan,nan,5.45000010356307,17.250000279396772,0.07020646109508628,0.0031880090322382775,map_tf,bag_pose,nan,1356,1041,51,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed15
mppi,mppi_seed16,True,65.41210961341858,68.09174919128418,19.913672120435898,0.06431976558064922,0.10665663307092148,0.024930286103729507,0.22959670537750806,0.2185677335354304,0.6854222495262599,0.4892177478469298,0.12038239041057563,0,False,gt_pose+static,nan,nan,nan,2.700000062584877,14.800000242888927,0.07133753500811033,0.05333470005024065,map_tf,bag_pose,nan,1715,1361,67,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed16
mppi,mppi_seed17,True,106.1768786907196,108.89611005783081,31.100346766096635,0.13193248637735194,0.22324273826545374,0.0206047007434089,0.17001294635320519,0.2951559092948469,0.6718735634188386,1.1149304983499582,0.1473414840710634,0,False,gt_pose+static,nan,nan,nan,0.2500000260770321,0.45000002905726433,0.17084300226495344,0.14991077562190983,map_tf,bag_pose,nan,2798,2178,106,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed17
mppi,mppi_seed18,True,84.19409012794495,86.67426204681396,24.652888713801676,0.06618715812796115,0.18534888493956495,0.02866735895013924,0.21309548470725606,0.2565462490995075,0.5660774249559568,0.7113710906370901,0.08065554381475049,0,False,gt_pose+static,nan,nan,nan,0.10000002384185791,17.150000277906656,0.05646666262645278,0.05646666262645278,map_tf,bag_pose,nan,2252,1734,84,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed18
mppi,mppi_seed19,False,nan,245.8749144077301,18.17092298901243,0.1346812097654812,0.20117727787546238,0.018663681475842585,0.25163749297943533,0.37526651819988444,0.5762996272186074,0.5254082795546785,0.23150729063673253,0,False,gt_pose+static,nan,nan,nan,-0.29999998211860657,-0.29999998211860657,11.902194485694599,10.821627759648628,map_tf,none,nan,6179,1771,85,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed19
