method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
mppi,mppi_seed1,False,nan,248.02560949325562,5.205654849215926,1.5651132145836262,0.1983718432916657,0.018633161192484968,0.19279678584172585,0.3230779805146231,0.6155369280530186,0.4009475257113,-0.3321441950125632,1,True,gt_pose+static,nan,nan,nan,16.950000274926424,4.600000090897083,13.714023316864717,12.206423812650769,map_tf,none,nan,6230,291,13,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed1
mppi,mppi_seed2,False,nan,244.7444770336151,8.436669103393275,0.5695030796891846,0.11883554869750805,0.01944636745875604,0.21806886108206294,0.2943962846974346,0.5616003089919708,0.6123190927650346,0.2024937810560445,0,False,gt_pose+static,nan,nan,nan,4.600000090897083,3.7500000782310963,9.322638327945356,9.321790077738266,map_tf,none,nan,6174,618,29,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed2
mppi,mppi_seed3,False,nan,245.62420105934143,23.108552177963613,0.17924209178332118,0.14393937801631387,0.04707896852800038,0.1622505121241184,0.46170434021197093,0.7085734952220497,0.7862766991055979,0.08969494345389983,0,False,gt_pose+static,nan,nan,nan,4.200000084936619,2.2500000558793545,3.2091727583202383,3.2089588488412097,map_tf,none,nan,6239,2026,98,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed3
mppi,mppi_seed4,True,77.25314593315125,80.09270524978638,23.28007167241112,0.05602490412958006,0.1797335540822665,0.037236148476542434,0.19014294518036948,0.16586864043395033,0.5778639051933206,0.32654444847730263,0.020701074223807014,0,False,gt_pose+static,nan,nan,nan,8.750000152736902,15.700000256299973,0.03815034306586362,0.03448482731286695,map_tf,bag_pose,nan,2098,1596,78,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed4
mppi,mppi_seed5,False,nan,246.06586027145386,20.24966032290403,0.9842194523141451,0.17563990613079264,0.021760484848819015,0.187336832105124,0.3659828587515934,0.5954631525099273,1.999326932526057,0.21478150704935012,0,False,gt_pose+static,nan,nan,nan,5.400000102818012,3.0000000670552254,9.023763823418346,9.01956273771967,map_tf,none,nan,6237,1778,85,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed5
mppi,mppi_seed6,False,nan,245.39724230766296,5.941983480684522,0.835551924444102,0.18909739221505628,0.017000963390463968,0.1517530101296337,0.3539910810849718,0.5443541470312752,0.4332375992918494,-0.3552155203679769,1,True,gt_pose+static,nan,nan,nan,3.7500000782310963,4.300000086426735,9.558519525202618,9.511515541243964,map_tf,none,nan,6187,406,19,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed6
mppi,mppi_seed7,True,42.48555636405945,45.285770654678345,13.272386262356644,0.05288832505757355,0.1948364023301441,0.01655903010314604,0.161646508661724,0.13352564032147152,0.5162851841867424,0.22438511532331357,0.1609772228646444,0,False,gt_pose+static,nan,nan,nan,0.3500000275671482,8.100000143051147,0.06574207563266057,0.06574207563266057,map_tf,bag_pose,nan,1174,905,45,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed7
mppi,mppi_seed9,True,142.19917392730713,144.87808966636658,27.42201395601859,0.06624146461696492,0.18745160246492978,0.017877682300642576,0.21903473461148762,0.2029346579956879,0.5780238046075776,0.3975431923641284,0.13592141958012965,0,False,gt_pose+static,nan,nan,nan,16.700000271201134,16.750000271946192,0.09758008418432548,0.04967734119810719,map_tf,bag_pose,nan,3679,2893,139,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed9
mppi,mppi_seed10,True,42.718433141708374,45.35847067832947,13.660167402463014,0.057162300262656174,0.14701448033709355,0.020799771876559688,0.20388088220083941,0.13556142394946352,0.5408145064323525,0.2726038202337119,0.1341659119676848,0,False,gt_pose+static,nan,nan,nan,6.850000124424696,16.150000263005495,0.12232970619374343,0.050753667815036194,map_tf,bag_pose,nan,1165,907,45,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed10
mppi,mppi_seed11,True,46.49141764640808,49.290915727615356,16.000830181303094,0.06918444813223258,0.07448115797529407,0.03941109052632269,0.21290561011581155,0.19329668832833302,0.6015976356761321,0.4932332866031189,0.06579836234882352,0,False,gt_pose+static,nan,nan,nan,15.75000025704503,17.450000282377005,0.06722313130768134,0.012755974430472381,map_tf,bag_pose,nan,1285,985,48,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed11
mppi,mppi_seed12,True,50.97756338119507,53.737260580062866,16.415445487661017,0.0499023812825331,0.07889638837801306,0.032140276551143786,0.1575498366394519,0.18332813390967687,0.5488775875141778,0.38168062328619073,0.10267635169395517,0,False,gt_pose+static,nan,nan,nan,17.150000277906656,8.250000145286322,0.27112283881291255,0.26910061549928055,map_tf,bag_pose,nan,1361,1037,50,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed12
mppi,mppi_seed13,True,60.21487379074097,63.09462094306946,19.90445084976662,0.046799780361108,0.10192827769074558,0.01741711627797292,0.1973790224424492,0.12208462014254093,0.5365247094284081,0.31263312700654516,0.17434164902525695,0,False,gt_pose+static,nan,nan,nan,7.650000136345625,16.80000027269125,0.12445266986951335,0.09082344555725717,map_tf,bag_pose,nan,1616,1258,61,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed13
mppi,mppi_seed14,True,63.804001569747925,66.5237774848938,19.92921333533727,0.05584054292447058,0.10461118893738713,0.04301514119807743,0.23430474830396203,0.27119644210885197,0.634318966823592,0.3793292763430138,0.1202197305979712,0,False,gt_pose+static,nan,nan,nan,14.250000234693289,12.000000201165676,0.10047954731945946,0.06817588257026505,map_tf,bag_pose,nan,1628,1334,66,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed14
mppi,mppi_seed16,True,122.51249361038208,125.35253357887268,32.769278506545085,0.06390372325605174,0.2218774329612759,0.05203143630820752,0.1718480094492101,0.49872209412578145,0.6678067820510224,0.5509024904006659,0.09333467074188517,0,False,gt_pose+static,nan,nan,nan,16.00000026077032,1.6500000469386578,0.2543675520755081,0.25264024255383066,map_tf,bag_pose,nan,3145,2486,120,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed16
mppi,mppi_seed17,False,nan,246.48689031600952,8.004480368188627,0.6740321181815945,0.1605501519814504,0.05124255005521765,0.18667635913888975,0.5717989982639977,0.7755770178211975,2.0005432651056223,0.08121099445531577,0,False,gt_pose+static,nan,nan,nan,-0.3999999836087227,8.600000150501728,10.524713082105169,9.48493487912603,map_tf,none,nan,6240,903,43,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed17
mppi,mppi_seed18,False,nan,247.87059378623962,21.350450996049045,0.19331867776294048,0.23416644965756175,0.018619357105943816,0.1442389227527445,0.4110777765831734,0.6779957122517869,0.5412541175644334,0.19244289008980525,0,False,gt_pose+static,nan,nan,nan,3.0000000670552254,-0.04999997839331627,8.621536103636096,8.514695294382383,map_tf,none,nan,6187,1535,73,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed18
mppi,mppi_seed19,False,nan,244.79462504386902,24.127617392868984,0.32859640194293216,0.18022339052141978,0.01837272715528195,0.15608860671695243,0.3078040978752213,0.5717054777960682,1.9940042627532708,-0.3,1,True,gt_pose+static,nan,nan,nan,0.15000002458691597,0.9500000365078449,7.040638069454301,7.036937438925223,map_tf,none,nan,6144,1814,86,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed19
