method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
mppi,mppi_seed2,False,nan,244.77096843719482,25.162290788428027,0.0505203799086366,0.15248324974175445,0.020339418792780294,0.17433644388245545,0.24239787458172618,0.5869109804272866,0.41949768691418904,0.08283767821334032,0,False,gt_pose+static,nan,nan,nan,2.000000052154064,17.05000027641654,3.8998488822909563,3.772713828966942,map_tf,none,nan,6186,4410,209,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed2
mppi,mppi_seed3,False,nan,247.52682948112488,20.959494997672664,3.6852590877241513,0.20256214845334491,0.01956455935354933,0.24618953405626082,0.2933636258410459,0.5586271444576317,0.45937081653010076,0.21478150704935012,0,False,gt_pose+static,nan,nan,nan,3.1500000692903996,10.250000175088644,15.272819525928492,10.40733097318506,map_tf,none,nan,6194,1288,62,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed3
mppi,mppi_seed4,False,nan,245.6443464756012,4.924472599905864,1.1350982202022948,0.20328037086802492,0.01708673240093931,0.17940108939548088,0.29447243751324875,0.5895612482661281,0.4103733823297723,-0.3263833595507962,1,True,gt_pose+static,nan,nan,nan,5.6500001065433025,2.750000063329935,11.025454205493455,10.97821911628043,map_tf,none,nan,6184,308,14,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed4
mppi,mppi_seed6,False,nan,245.41986393928528,25.365939732506202,7.6393035833577185,0.18100998203276106,0.019784235797205847,0.18585510535209987,0.2831002689081685,0.5665084641049132,0.5262639838771321,0.12720018726587656,0,False,gt_pose+static,nan,nan,nan,8.150000143796206,1.9500000514090061,14.302756431778928,4.572027116911099,map_tf,none,nan,6167,1533,74,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed6
mppi,mppi_seed7,True,49.001075744628906,51.88114523887634,16.547401245417035,0.04894972905805883,0.070469017443166,0.020699001045234467,0.1991380226786003,0.12112512634181426,0.5414798379322333,0.37654873966418945,0.17434164902525695,0,False,gt_pose+static,nan,nan,nan,17.150000277906656,10.60000018030405,0.23987946558068732,0.2378912005966229,map_tf,bag_pose,nan,1337,996,48,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed7
mppi,mppi_seed9,True,57.10391426086426,59.74396562576294,18.932328464133096,0.04890248159151004,0.1134541924802087,0.01836080397109082,0.18095733646269502,0.11963207000448632,0.664804689505137,0.3745886116165739,0.17434164902525695,0,False,gt_pose+static,nan,nan,nan,2.750000063329935,14.450000237673521,0.08709475615469452,0.05004117703871189,map_tf,bag_pose,nan,1496,1195,59,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed9
mppi,mppi_seed10,True,56.670849084854126,59.31053400039673,18.480425041044377,0.05522918301210117,0.1633494589406261,0.016495659525183365,0.19592099017824538,0.12017874033134773,0.5341376225269426,0.264865740207267,0.17434164902525695,0,False,gt_pose+static,nan,nan,nan,0.9000000357627869,17.200000278651714,0.058979872482266736,0.037403970652492256,map_tf,bag_pose,nan,1596,1186,58,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed10
mppi,mppi_seed11,True,46.80350208282471,49.48350691795349,14.888656674872347,0.06894973798964801,0.10475108762899858,0.04007762836868233,0.20940470928740548,0.21881509460785964,0.806710141731875,0.5904230966063846,0.09552293191409195,0,False,gt_pose+static,nan,nan,nan,5.700000107288361,13.100000217556953,0.05793773653074057,0.008891170249150088,map_tf,bag_pose,nan,1289,990,49,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed11
mppi,mppi_seed13,True,164.3447675704956,167.06452465057373,26.408369217431268,0.08319243344617071,0.17637116748662032,0.018541248530620537,0.19323007883319587,0.2513210746746619,0.5823344333710209,0.8629054921912234,0.15000000000000002,0,False,gt_pose+static,nan,nan,nan,6.100000113248825,4.400000087916851,0.09433275006320846,0.06095766743143526,map_tf,bag_pose,nan,4225,3256,156,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed13
mppi,mppi_seed14,False,nan,246.12785267829895,0.6216471806998262,0.08585058310867616,0.08561316018437608,0.012711357716822452,0.04247506697816751,0.46727214142996987,0.5031582804349709,0.10297593377877268,0.6013878188659973,0,False,gt_pose+static,nan,nan,nan,1.9500000514090061,3.8000000789761543,18.694537819357553,18.693824484397698,map_tf,none,nan,6180,79,4,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed14
