method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
mppi,mppi_seed1,False,nan,247.8509864807129,3.241588968485976,0.04720302543311757,0.01856234055610162,0.02142231341052327,0.16492193465488425,0.2652102186374846,0.7518630442020161,0.14817983857734768,0.3000000000000001,0,False,gt_pose+static,nan,nan,nan,6.950000125914812,13.20000021904707,14.516251505422074,14.511740920964753,map_tf,none,nan,6213,3005,140,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed1
mppi,mppi_seed2,False,nan,244.74180936813354,3.7688051021229407,0.03915385320276458,0.018950017473128782,0.020966268602519277,0.1764712891549925,0.2750128844499512,0.7398007328188625,0.14452231723569764,0.19244289008980525,0,False,gt_pose+static,nan,nan,nan,9.000000156462193,17.30000028014183,16.3461167198201,16.345465509764857,map_tf,none,nan,6232,3032,140,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed2
mppi,mppi_seed3,False,nan,247.62572264671326,3.523391328486394,0.049175085042751754,0.01882267136798943,0.021068499336837382,0.1608927606985811,0.2806026543991732,0.7360691252711503,0.11126003609725783,-0.3191720400047158,1,True,gt_pose+static,nan,nan,nan,1.5500000454485416,7.450000133365393,13.297016964588583,13.25392730495363,map_tf,none,nan,6240,3045,140,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed3
mppi,mppi_seed4,False,nan,245.5613307952881,3.178375271830345,0.04444126689329767,0.019384941777685887,0.02116570411590803,0.15611166519997194,0.27509615235254054,0.7263619775615734,0.23065030822228133,0.6000000000000001,0,False,gt_pose+static,nan,nan,nan,2.2500000558793545,7.2500001303851604,16.108427019848246,16.108387856279084,map_tf,none,nan,6147,3000,138,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed4
mppi,mppi_seed5,False,nan,246.08467197418213,3.5146480626114864,0.0368667996088754,0.021545959241766305,0.020255280030724028,0.1702365218307529,0.24830213437106258,0.7523590040076984,0.15932674460903393,0.7012492197250393,0,False,gt_pose+static,nan,nan,nan,-0.3999999836087227,7.750000137835741,18.64558485170056,18.645541790626755,map_tf,none,nan,6239,3037,140,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed5
mppi,mppi_seed6,False,nan,245.41439366340637,3.731536082237609,0.036381155920486595,0.023462916804021322,0.020590426723638804,0.18693840393068606,0.28245210900077633,0.7357818880380445,0.16712922449912504,0.3000000000000001,0,False,gt_pose+static,nan,nan,nan,-0.09999997913837433,0.45000002905726433,12.150453565697171,12.150417885597543,map_tf,none,nan,6225,3028,140,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed6
mppi,mppi_seed7,False,nan,247.268128156662,3.7527563542545637,0.04226273657495797,0.021894610977976417,0.020606551871398152,0.15741689081351776,0.2843056950948077,0.7989590185885076,0.31095407588993046,0.108197976379111,0,False,gt_pose+static,nan,nan,nan,16.900000274181366,10.650000181049109,12.807049187045983,12.806943992847547,map_tf,none,nan,6217,3030,140,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed7
mppi,mppi_seed8,False,nan,245.64737153053284,3.125431427772538,0.03132339840612877,0.017043153131408383,0.020835689603857864,0.15711875660652355,0.286922170566001,0.7901663024974955,0.11092133883608163,0.40178344238090996,0,False,gt_pose+static,nan,nan,nan,16.900000274181366,16.850000273436308,15.083105116620896,15.08309308447633,map_tf,none,nan,6168,3038,140,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed8
mppi,mppi_seed9,False,nan,245.69065737724304,3.650385319109149,0.08572218070800647,0.01983572897010432,0.021064335005228862,0.17114922714897066,0.2867858511872619,0.8397392206024759,0.2263157809102901,-0.24388906486965495,1,True,gt_pose+static,nan,nan,nan,8.700000151991844,0.30000002682209015,13.140594918785725,13.054262613009877,map_tf,none,nan,6173,3030,139,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed9
mppi,mppi_seed10,False,nan,246.29750895500183,3.3274618166939165,0.041484372434218236,0.01918016913443573,0.02111945968873361,0.1616825705485691,0.2565802921947927,0.803701749690145,0.14179538147437656,0.5062257748298549,0,False,gt_pose+static,nan,nan,nan,3.1500000692903996,4.150000084191561,12.18547166692001,12.185416732829509,map_tf,none,nan,6206,3039,140,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed10
