seed,start_x,start_y,goal_x,goal_y,straight_m
1,17.34,1.47,6.99,13.23,15.67
2,9.29,-0.2,9.02,17.3,17.5
3,14.76,1.82,1.54,7.43,14.36
4,17.51,14.62,2.27,7.24,16.93
5,17.3,16.53,-0.38,7.75,19.74
6,13.41,0.05,-0.06,0.45,13.48
7,5.54,4.31,16.92,10.65,13.03
8,3.6,8.04,16.9,16.85,15.95
9,12.8,13.61,8.71,0.3,13.92
10,8.54,16.23,3.13,4.14,13.25
11,1.22,17.57,10.89,6.55,14.66
12,8.73,15.78,1.73,3.48,14.15
13,16.61,1.92,2.97,10.49,16.11
14,3.57,0.01,5.47,13.09,13.22
15,2.82,4.85,12.24,14.82,13.72
16,10.95,-0.42,-0.49,16.81,20.68
17,9.73,4.68,0.42,17.22,15.62
18,15.35,4.2,2.72,14.6,16.36
19,0.29,8.82,16.92,16.49,18.31
20,16.8,4.59,4.92,11.21,13.6
21,16.95,12.89,2.14,5.5,16.55
22,7.15,16.05,-0.5,0.17,17.63
23,17.3,14.5,8.73,1.33,15.71
24,6.09,14.6,3.7,0.06,14.74
25,5.44,-0.32,7.75,17.45,17.92
26,5.98,4.48,13.93,15.36,13.48
27,0.55,8.22,15.84,4.38,15.76
28,17.47,0.33,10.6,12.62,14.08
29,4.78,-0.25,1.35,17.23,17.81
30,2.02,12.88,8.51,1.37,13.21
