seed,start_x,start_y,goal_x,goal_y,straight_m
1,12.06,0.07,17.37,17.05,17.79
2,11.33,10.63,2.2,-0.42,14.33
3,17.04,13.25,1.47,3.83,18.2
4,1.15,17.5,3.22,4.05,13.61
5,4.01,-0.49,4.84,11.78,12.3
6,17.12,1.42,8.6,13.25,14.58
7,10.36,-0.46,12.2,14.83,15.4
8,13.07,0.22,17.49,16.68,17.04
9,15.51,4.48,-0.29,8.79,16.38
10,1.91,12.43,17.46,8.8,15.97
11,3.64,0.56,16.07,17.08,20.67
12,17.47,-0.08,7.79,13.11,16.36
13,8.48,-0.05,10.28,12.45,12.63
14,17.16,0.07,8.31,13.31,15.93
15,17.45,1.96,7.68,13.01,14.75
16,17.35,10.54,0.03,6.72,17.74
17,16.95,-0.5,9.0,14.21,16.72
18,17.19,9.63,1.78,4.82,16.14
19,-0.26,-0.11,14.57,11.97,19.13
20,16.73,0.8,3.4,0.71,13.33
21,9.76,4.72,13.89,17.2,13.15
22,17.01,13.54,5.43,4.44,14.73
23,3.63,8.02,16.95,1.54,14.81
24,2.03,5.02,15.36,16.48,17.58
25,12.1,-0.18,14.37,15.12,15.47
26,10.34,15.17,0.45,1.17,17.14
27,3.66,4.63,14.84,12.19,13.5
28,-0.04,7.75,14.47,11.88,15.09
29,9.38,15.05,6.15,1.38,14.05
30,5.73,4.54,14.3,13.47,12.38
