seed,start_x,start_y,goal_x,goal_y,straight_m
1,11.62,4.76,-0.12,8.53,12.33
2,0.88,17.13,10.1,7.54,13.3
3,8.12,0.55,1.97,14.77,15.49
4,16.56,1.96,6.3,12.43,14.66
5,0.26,-0.11,12.55,0.31,12.3
6,0.29,8.92,13.38,8.01,13.12
7,13.07,15.13,5.89,4.07,13.19
8,1.98,5.1,13.52,13.29,14.15
9,-0.48,-0.09,5.38,11.78,13.24
10,13.74,-0.41,5.01,14.2,17.02
11,0.05,8.32,16.78,1.83,17.94
12,11.14,5.1,7.58,16.88,12.31
13,16.64,4.53,0.12,-0.29,17.21
14,4.67,-0.24,11.12,15.13,16.67
15,11.05,5.52,5.47,17.28,13.02
16,0.5,0.23,2.71,14.83,14.77
17,17.18,10.47,0.25,0.44,19.68
18,17.11,9.43,0.12,17.13,18.65
19,15.99,4.32,-0.29,-0.29,16.92
20,14.25,1.74,4.83,10.6,12.93
21,0.14,0.75,16.58,17.23,23.28
22,17.45,15.62,12.66,-0.21,16.54
23,-0.01,17.34,14.39,2.75,20.5
24,16.52,4.32,5.68,14.59,14.93
25,4.43,-0.15,6.97,17.15,17.49
26,16.25,16.18,9.93,2.32,15.23
27,17.14,-0.24,3.87,15.47,20.56
28,2.35,5.14,11.35,15.83,13.97
29,16.66,16.08,2.95,4.47,17.97
30,0.63,-0.26,7.43,16.79,18.36
