seed,start_x,start_y,goal_x,goal_y,straight_m
1,8.9,14.14,16.97,4.63,12.47
2,13.11,14.01,4.61,3.76,13.32
3,-0.55,14.1,4.23,2.28,12.75
4,16.38,1.96,8.75,15.74,15.75
5,16.63,16.54,5.41,3.02,17.57
6,8.74,16.65,3.75,4.31,13.31
7,9.24,-0.14,0.38,8.13,12.12
8,1.94,13.49,13.17,8.74,12.19
9,17.05,4.18,16.72,16.76,12.58
10,17.23,9.25,6.88,16.18,12.46
11,10.16,4.96,15.76,17.49,13.72
12,2.01,5.12,17.16,8.27,15.47
13,12.14,0.7,7.69,16.83,16.73
14,4.69,4.52,14.27,12.0,12.15
15,0.11,17.11,2.83,1.11,16.23
16,0.43,7.84,16.03,1.68,16.77
17,11.09,15.42,-0.41,8.62,13.36
18,17.28,16.59,3.0,-0.06,21.93
19,16.99,16.42,0.14,0.94,22.88
20,12.9,14.61,7.94,2.2,13.36
21,0.68,8.2,16.65,1.17,17.45
22,7.19,16.52,15.0,2.19,16.32
23,12.56,0.32,4.71,14.22,15.96
24,12.28,14.76,-0.47,9.61,13.75
25,0.5,17.49,13.46,12.4,13.92
26,12.03,14.83,17.11,1.24,14.51
27,10.98,4.87,7.27,17.44,13.11
28,5.86,-0.2,12.63,13.31,15.11
29,1.93,2.67,1.97,17.54,14.87
30,13.66,0.36,5.04,9.26,12.39
