seed,start_x,start_y,goal_x,goal_y,straight_m
1,12.76,14.05,6.48,1.85,13.72
2,17.41,4.47,2.03,17.08,19.89
3,17.39,13.72,3.14,10.27,14.66
4,17.46,9.0,5.69,2.78,13.31
5,-0.47,17.06,11.98,14.84,12.65
6,8.78,16.25,8.18,1.96,14.3
7,5.12,4.44,17.18,10.63,13.56
8,17.2,1.81,11.78,15.04,14.3
9,12.12,0.28,2.79,14.47,16.98
10,11.1,4.73,0.92,17.24,16.13
11,3.25,0.48,5.73,13.1,12.86
12,13.92,-0.42,-0.36,4.34,15.05
13,17.14,12.42,6.1,4.4,13.65
14,16.65,16.02,1.94,3.81,19.12
15,11.5,14.97,1.42,7.09,12.79
16,12.63,14.88,3.12,0.22,17.47
17,2.87,0.44,17.02,1.47,14.19
18,12.91,15.1,7.28,2.06,14.2
19,16.8,-0.31,4.15,13.9,19.02
20,17.03,9.09,3.71,4.26,14.17
21,17.45,14.88,4.48,12.88,13.12
22,16.81,1.94,9.86,15.16,14.94
23,17.34,14.5,6.56,2.19,16.36
24,9.2,15.32,-0.32,6.65,12.88
25,10.38,15.11,-0.56,8.32,12.88
26,8.18,0.22,8.8,17.22,17.01
27,8.24,16.42,4.84,3.76,13.11
28,-0.37,8.17,17.35,15.31,19.1
29,11.14,5.48,2.35,14.38,12.51
30,9.02,-0.4,14.58,14.79,16.18
