frame_t,log_t,opening_mm,phase,readback_dq_rad,readback_dopening_m
13.0,13.0,0.0,approach,0.00015678,0.0
13.0333,13.04,0.0,approach,0.00015939,0.0
13.0667,13.07,0.0,approach,0.00016113,0.0
13.1,13.1,0.0,approach,0.00016292,0.0
13.1333,13.14,0.0,approach,0.0001652,0.0
13.1667,13.17,0.0,approach,0.00016704,0.0
13.2,13.2,0.0,approach,0.00016914,0.0
13.2333,13.24,0.0,approach,0.00017174,0.0
13.2667,13.27,0.0,approach,0.00017382,0.0
13.3,13.3,0.0,approach,0.00017587,0.0
13.3333,13.34,0.0,approach,0.00017866,0.0
13.3667,13.37,0.0,approach,0.0001798,0.0
13.4,13.4,0.0,approach,0.00018166,0.0
13.4333,13.44,0.0,approach,0.00018376,0.0
13.4667,13.47,0.0,approach,0.0001849,0.0
13.5,13.5,0.0,approach,0.00018629,0.0
13.5333,13.54,0.0,approach,0.00018794,0.0
13.5667,13.57,0.0,approach,0.00018934,0.0
13.6,13.6,0.0,approach,0.00019017,0.0
13.6333,13.64,0.0,approach,0.00019153,0.0
13.6667,13.67,0.0,approach,0.00019191,0.0
13.7,13.7,0.0,approach,0.00019264,0.0
13.7333,13.74,0.0,engage,0.00019322,0.0
13.7667,13.77,0.0,engage,0.00019357,0.0
13.8,13.8,0.0,engage,0.00019371,0.0
13.8333,13.84,0.0,engage,0.00019406,0.0
13.8667,13.87,0.0,engage,0.00019406,0.0
13.9,13.9,0.0,engage,0.0001942,0.0
13.9333,13.94,0.0,engage,0.00019416,0.0
13.9667,13.97,0.0,engage,0.00019418,0.0
14.0,14.0,0.0,engage,0.00019424,0.0
14.0333,14.04,0.0,engage,0.00019418,0.0
14.0667,14.07,0.0,engage,0.00019414,0.0
14.1,14.1,0.0,engage,0.00019413,0.0
14.1333,14.14,0.0,engage,0.00019422,0.0
14.1667,14.17,0.0,engage,0.00019419,0.0
14.2,14.2,0.0,engage,0.00019416,0.0
14.2333,14.24,0.0,engage,0.0001942,0.0
