frame_t,log_t,opening_mm,phase,readback_dq_rad,readback_dopening_m
55.0,55.01,0.0,,2.382e-05,0.0
55.0333,55.04,0.0,,2.381e-05,0.0
55.0667,55.07,0.0,,2.381e-05,0.0
55.1,55.11,0.0,,2.381e-05,0.0
55.1333,55.14,0.0,,2.381e-05,0.0
55.1667,55.17,0.0,,2.381e-05,0.0
55.2,55.21,0.0,,2.381e-05,0.0
55.2333,55.24,0.0,,2.381e-05,0.0
55.2667,55.27,0.0,,2.381e-05,0.0
55.3,55.31,0.0,,2.381e-05,0.0
55.3333,55.34,0.0,,2.381e-05,0.0
55.3667,55.37,0.0,,2.381e-05,0.0
55.4,55.41,0.0,,2.381e-05,0.0
55.4333,55.44,0.0,,2.381e-05,0.0
55.4667,55.47,0.0,,2.381e-05,0.0
55.5,55.51,0.0,,2.381e-05,0.0
55.5333,55.54,0.0,,2.38e-05,0.0
55.5667,55.57,0.0,,2.38e-05,0.0
55.6,55.61,0.0,,2.38e-05,0.0
55.6333,55.64,0.0,,2.38e-05,0.0
55.6667,55.67,0.0,,2.38e-05,0.0
55.7,55.71,0.0,,2.38e-05,0.0
55.7333,55.74,0.0,,2.38e-05,0.0
55.7667,55.77,0.0,,2.38e-05,0.0
55.8,55.81,0.0,,2.38e-05,0.0
55.8333,55.84,0.0,,2.38e-05,0.0
55.8667,55.87,0.0,,2.38e-05,0.0
55.9,55.91,0.0,,2.38e-05,0.0
55.9333,55.94,0.0,,2.38e-05,0.0
55.9667,55.97,0.0,,2.38e-05,0.0
56.0,56.01,0.0,,2.38e-05,0.0
56.0333,56.04,0.0,,2.38e-05,0.0
56.0667,56.07,0.0,,2.38e-05,0.0
56.1,56.11,0.0,,2.38e-05,0.0
56.1333,56.14,0.0,,2.381e-05,0.0
56.1667,56.17,0.0,,2.382e-05,0.0
56.2,56.21,0.0,,2.384e-05,0.0
56.2333,56.24,0.0,,2.387e-05,0.0
56.2667,56.27,0.0,,2.391e-05,0.0
56.3,56.31,0.0,,2.398e-05,0.0
56.3333,56.34,0.0,,2.405e-05,0.0
56.3667,56.37,0.0,,2.413e-05,0.0
56.4,56.41,0.0,,2.425e-05,0.0
56.4333,56.44,0.0,,2.436e-05,0.0
56.4667,56.47,0.0,,2.448e-05,0.0
56.5,56.51,0.0,,2.465e-05,0.0
56.5333,56.54,0.0,,2.48e-05,0.0
56.5667,56.57,0.0,,2.495e-05,0.0
56.6,56.61,0.0,,2.517e-05,0.0
56.6333,56.64,0.0,,2.535e-05,0.0
56.6667,56.67,0.0,,2.553e-05,0.0
56.7,56.71,0.0,,2.599e-05,0.0
56.7333,56.74,0.0,,2.717e-05,0.0
56.7667,56.77,0.0,,2.833e-05,0.0
56.8,56.81,0.0,,2.991e-05,0.0
56.8333,56.84,0.0,,3.109e-05,0.0
56.8667,56.87,0.0,,3.215e-05,0.0
56.9,56.91,0.0,,3.352e-05,0.0
56.9333,56.94,0.0,,3.448e-05,0.0
56.9667,56.97,0.0,,3.547e-05,0.0
57.0,57.01,0.0,,3.685e-05,0.0
57.0333,57.04,0.0,,3.786e-05,0.0
57.0667,57.07,0.0,,3.879e-05,0.0
57.1,57.11,0.0,,4.007e-05,0.0
57.1333,57.14,0.0,,4.093e-05,0.0
57.1667,57.17,0.0,,4.168e-05,0.0
57.2,57.21,0.0,,4.265e-05,0.0
57.2333,57.24,0.0,,4.348e-05,0.0
57.2667,57.27,0.0,,4.431e-05,0.0
57.3,57.31,0.0,,4.528e-05,0.0
57.3333,57.34,0.0,,4.596e-05,0.0
57.3667,57.37,0.0,,4.655e-05,0.0
57.4,57.41,0.0,,4.739e-05,0.0
57.4333,57.44,0.0,,4.783e-05,0.0
57.4667,57.47,0.0,,4.818e-05,0.0
57.5,57.51,0.0,,4.881e-05,0.0
57.5333,57.54,0.0,,4.923e-05,0.0
57.5667,57.57,0.0,,4.955e-05,0.0
57.6,57.61,0.0,,4.991e-05,0.0
57.6333,57.64,0.0,,5.012e-05,0.0
57.6667,57.67,0.0,,5.025e-05,0.0
57.7,57.71,0.0,,5.063e-05,0.0
57.7333,57.74,0.0,,5.102e-05,0.0
57.7667,57.77,0.0,,5.116e-05,0.0
57.8,57.81,0.0,,5.119e-05,0.0
57.8333,57.84,0.0,,5.119e-05,0.0
57.8667,57.87,0.0,,5.1e-05,0.0
57.9,57.91,0.0,,5.083e-05,0.0
57.9333,57.94,0.0,,5.079e-05,0.0
57.9667,57.97,0.0,,5.09e-05,0.0
58.0,58.01,0.0,,5.082e-05,0.0
58.0333,58.04,0.0,,5.066e-05,0.0
58.0667,58.07,0.0,,5.047e-05,0.0
58.1,58.11,0.0,,5.013e-05,0.0
58.1333,58.14,0.0,,4.987e-05,0.0
58.1667,58.17,0.0,,4.952e-05,0.0
58.2,58.21,0.0,,4.919e-05,0.0
58.2333,58.24,0.0,,4.895e-05,0.0
58.2667,58.27,0.0,,4.876e-05,0.0
58.3,58.31,0.0,,4.837e-05,0.0
58.3333,58.34,0.0,,4.8e-05,0.0
58.3667,58.37,0.0,,4.77e-05,0.0
58.4,58.41,0.0,,4.721e-05,0.0
58.4333,58.44,0.0,,4.677e-05,0.0
58.4667,58.47,0.0,,4.63e-05,0.0
58.5,58.51,0.0,,4.571e-05,0.0
58.5333,58.54,0.0,,4.522e-05,0.0
58.5667,58.57,0.0,,4.483e-05,0.0
58.6,58.61,0.0,,4.421e-05,0.0
58.6333,58.64,0.0,,4.366e-05,0.0
58.6667,58.67,0.0,,4.316e-05,0.0
58.7,58.71,0.0,,4.36e-05,0.0
58.7333,58.74,0.0,,4.396e-05,0.0
58.7667,58.77,0.0,,4.43e-05,0.0
58.8,58.81,0.0,,4.481e-05,0.0
58.8333,58.84,0.0,,4.518e-05,0.0
58.8667,58.87,0.0,,4.552e-05,0.0
58.9,58.91,0.0,,4.603e-05,0.0
58.9333,58.94,0.0,,4.639e-05,0.0
58.9667,58.97,0.0,,4.674e-05,0.0
59.0,59.01,0.0,,4.727e-05,0.0
59.0333,59.04,0.0,,4.761e-05,0.0
59.0667,59.07,0.0,,4.8e-05,0.0
59.1,59.11,0.0,,4.852e-05,0.0
59.1333,59.14,0.0,,4.885e-05,0.0
59.1667,59.17,0.0,,4.923e-05,0.0
59.2,59.21,0.0,,4.977e-05,0.0
59.2333,59.24,0.0,,5.016e-05,0.0
