method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
mppi,mppi_seed2,True,68.07635974884033,70.87615036964417,22.01344688298937,0.04421989022898915,0.10069324174040674,0.0447115732506962,0.1849130489727168,0.22525329091443713,0.665450752728952,0.5069881989019551,0.019458678931725926,0,False,gt_pose+static,nan,nan,nan,9.000000156462193,17.30000028014183,0.0785268231999736,0.06141064427741905,map_tf,bag_pose,nan,1888,1417,69,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed2
mppi,mppi_seed3,True,58.7424430847168,61.50296950340271,18.059125558290123,0.06415128267517352,0.1404388775799904,0.018204550418106008,0.25130901263419003,0.18649116836477928,0.5905309061917405,0.48562079234703853,0.19244289008980525,0,False,gt_pose+static,nan,nan,nan,1.5500000454485416,7.450000133365393,0.08408724206808604,0.08408724206808604,map_tf,bag_pose,nan,1577,1230,60,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed3
mppi,mppi_seed4,True,91.50165820121765,94.10196781158447,25.020643662928908,0.06580010047369803,0.17791844706884022,0.018930311697743694,0.1736039702601901,0.2470684327631325,0.5347576181704191,0.4928096749656073,0.15276925690687088,0,False,gt_pose+static,nan,nan,nan,2.2500000558793545,7.2500001303851604,0.15927094073048942,0.08276013636923686,map_tf,bag_pose,nan,2400,1883,91,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed4
mppi,mppi_seed5,True,95.0686342716217,97.66871309280396,25.42392668336982,0.058039961494990085,0.2096971955255969,0.037786206268249405,0.18256560493460205,0.2758676777344421,0.7572687318637209,0.5693983821615218,0.0176929963963251,0,False,gt_pose+static,nan,nan,nan,-0.3999999836087227,7.750000137835741,0.0826500523327078,0.07066986582784572,map_tf,bag_pose,nan,2572,1953,95,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed5
mppi,mppi_seed6,True,81.04944396018982,83.65005540847778,21.77711017704783,0.07092895330566179,0.2044092002920101,0.05997707432641097,0.2125684616454769,0.40667801762089845,0.877519997170763,0.4925650074579422,0.05087920139675245,0,False,gt_pose+static,nan,nan,nan,-0.09999997913837433,0.45000002905726433,0.21687608079793086,0.16546131810344974,map_tf,bag_pose,nan,2180,1667,82,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed6
mppi,mppi_seed7,True,52.72011399269104,55.480164527893066,16.491502924903358,0.05391760992654194,0.12571859922391343,0.018529762491533593,0.20721859044767799,0.18712549184358382,0.5410384410528893,0.299558013591854,0.15363843232153357,0,False,gt_pose+static,nan,nan,nan,16.900000274181366,10.650000181049109,0.25449442707422737,0.25265045891832494,map_tf,bag_pose,nan,1435,1074,52,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed7
mppi,mppi_seed8,True,52.72440695762634,55.48416805267334,17.420607831184768,0.05555215108039027,0.08252830711944778,0.022676426579662904,0.14921218552000037,0.13864877951726595,0.6290845929543566,0.45531860562140014,0.22201532544552754,0,False,gt_pose+static,nan,nan,nan,16.900000274181366,16.850000273436308,0.04816455424854903,0.033399760630189464,map_tf,bag_pose,nan,1485,1104,53,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed8
mppi,mppi_seed9,False,nan,244.7124683856964,21.500206233263157,0.3049205048008912,0.1826428038513491,0.036695642272108905,0.24532513412415916,0.35630535402743746,0.5834164742596808,0.49991966403809934,0.09132763316524156,0,False,gt_pose+static,nan,nan,nan,8.700000151991844,0.30000002682209015,1.8818670616026472,1.8118390789926355,map_tf,none,nan,6236,1842,85,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed9
mppi,mppi_seed10,False,nan,246.28754258155823,15.979156499626956,4.998708981933617,0.23914880461528212,0.019273188134033087,0.17056853620041337,0.18657161697837354,0.5485106972594636,0.31453714138168387,-0.3648786174189639,1,True,gt_pose+static,nan,nan,nan,3.1500000692903996,4.150000084191561,10.872514983531474,5.872944239258352,map_tf,none,nan,6238,709,34,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed10
mppi,mppi_seed11,True,47.75810980796814,50.47651553153992,16.17958377906715,0.049575427453720636,0.07812267642106832,0.019285539098441114,0.18758297070080726,0.12370673108146218,0.5341270366758667,0.2951951252122535,0.1365705036964111,0,False,gt_pose+static,nan,nan,nan,10.85000018402934,6.550000119954348,0.046636138008647264,0.007225339596411952,map_tf,bag_pose,nan,1317,1030,50,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed11
