seq,t,phase,event,joint1,joint2,joint3,joint4,joint5,joint6,finger,expected_opening
0,0.0000,reach,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.008900,0.000000
1,0.0200,reach,,-0.000000001,0.000058632,0.000090929,0.000000000,-0.000108153,-0.000140450,0.008900,0.000000
2,0.0400,reach,,-0.000000003,0.000234527,0.000363715,0.000000002,-0.000432614,-0.000561800,0.008900,0.000000
3,0.0600,reach,,-0.000000008,0.000527687,0.000818360,0.000000004,-0.000973380,-0.001264049,0.008900,0.000000
4,0.0800,reach,,-0.000000014,0.000938110,0.001454862,0.000000007,-0.001730454,-0.002247199,0.008900,0.000000
5,0.1000,reach,,-0.000000022,0.001465796,0.002273222,0.000000011,-0.002703835,-0.003511248,0.008900,0.000000
6,0.1200,reach,,-0.000000031,0.002110747,0.003273439,0.000000015,-0.003893522,-0.005056197,0.008900,0.000000
7,0.1400,reach,,-0.000000043,0.002872961,0.004455514,0.000000021,-0.005299516,-0.006882046,0.008900,0.000000
8,0.1600,reach,,-0.000000056,0.003752439,0.005819447,0.000000027,-0.006921817,-0.008988795,0.008900,0.000000
9,0.1800,reach,,-0.000000071,0.004749180,0.007365238,0.000000034,-0.008760424,-0.011376444,0.008900,0.000000
10,0.2000,reach,,-0.000000087,0.005863185,0.009092887,0.000000042,-0.010815339,-0.014044992,0.008900,0.000000
11,0.2200,reach,,-0.000000105,0.007094454,0.011002393,0.000000051,-0.013086560,-0.016994440,0.008900,0.000000
12,0.2400,reach,,-0.000000125,0.008442987,0.013093757,0.000000061,-0.015574088,-0.020224789,0.008900,0.000000
13,0.2600,reach,,-0.000000147,0.009908783,0.015366978,0.000000071,-0.018277922,-0.023736037,0.008900,0.000000
14,0.2800,reach,,-0.000000171,0.011491843,0.017822058,0.000000083,-0.021198064,-0.027528184,0.008900,0.000000
15,0.3000,reach,,-0.000000196,0.013192167,0.020458995,0.000000095,-0.024334512,-0.031601232,0.008900,0.000000
16,0.3200,reach,,-0.000000223,0.015009754,0.023277790,0.000000108,-0.027687267,-0.035955180,0.008900,0.000000
17,0.3400,reach,,-0.000000252,0.016944605,0.026278442,0.000000122,-0.031256329,-0.040590027,0.008900,0.000000
18,0.3600,reach,,-0.000000282,0.018996720,0.029460953,0.000000137,-0.035041697,-0.045505774,0.008900,0.000000
19,0.3800,reach,,-0.000000315,0.021166099,0.032825321,0.000000152,-0.039043373,-0.050702421,0.008900,0.000000
20,0.4000,reach,,-0.000000349,0.023452741,0.036371546,0.000000169,-0.043261355,-0.056179968,0.008900,0.000000
21,0.4200,reach,,-0.000000384,0.025856647,0.040099630,0.000000186,-0.047695643,-0.061938415,0.008900,0.000000
22,0.4400,reach,,-0.000000422,0.028377817,0.044009571,0.000000204,-0.052346239,-0.067977762,0.008900,0.000000
23,0.4600,reach,,-0.000000461,0.031016250,0.048101370,0.000000223,-0.057213141,-0.074298008,0.008900,0.000000
24,0.4800,reach,,-0.000000502,0.033771947,0.052375027,0.000000243,-0.062296351,-0.080899154,0.008900,0.000000
25,0.5000,reach,,-0.000000545,0.036644814,0.056830395,0.000000263,-0.067595693,-0.087780975,0.008900,0.000000
26,0.5200,reach,,-0.000000588,0.039571707,0.061369551,0.000000284,-0.072994694,-0.094792214,0.008900,0.000000
27,0.5400,reach,,-0.000000632,0.042498600,0.065908706,0.000000305,-0.078393695,-0.101803453,0.008900,0.000000
28,0.5600,reach,,-0.000000675,0.045425493,0.070447861,0.000000326,-0.083792695,-0.108814692,0.008900,0.000000
29,0.5800,reach,,-0.000000719,0.048352387,0.074987017,0.000000347,-0.089191696,-0.115825931,0.008900,0.000000
30,0.6000,reach,,-0.000000762,0.051279280,0.079526172,0.000000369,-0.094590697,-0.122837170,0.008900,0.000000
31,0.6200,reach,,-0.000000806,0.054206173,0.084065328,0.000000390,-0.099989698,-0.129848409,0.008900,0.000000
32,0.6400,reach,,-0.000000849,0.057133067,0.088604483,0.000000411,-0.105388699,-0.136859648,0.008900,0.000000
33,0.6600,reach,,-0.000000893,0.060059960,0.093143638,0.000000432,-0.110787700,-0.143870887,0.008900,0.000000
34,0.6800,reach,,-0.000000936,0.062986853,0.097682794,0.000000453,-0.116186700,-0.150882126,0.008900,0.000000
35,0.7000,reach,,-0.000000980,0.065913746,0.102221949,0.000000474,-0.121585701,-0.157893365,0.008900,0.000000
36,0.7200,reach,,-0.000001023,0.068840640,0.106761104,0.000000495,-0.126984702,-0.164904604,0.008900,0.000000
37,0.7400,reach,,-0.000001067,0.071767533,0.111300260,0.000000516,-0.132383703,-0.171915843,0.008900,0.000000
38,0.7600,reach,,-0.000001110,0.074694426,0.115839415,0.000000537,-0.137782704,-0.178927082,0.008900,0.000000
39,0.7800,reach,,-0.000001154,0.077621320,0.120378571,0.000000558,-0.143181705,-0.185938321,0.008900,0.000000
40,0.8000,reach,,-0.000001197,0.080548213,0.124917726,0.000000579,-0.148580706,-0.192949560,0.008900,0.000000
41,0.8200,reach,,-0.000001241,0.083475106,0.129456881,0.000000600,-0.153979706,-0.199960799,0.008900,0.000000
42,0.8400,reach,,-0.000001284,0.086401999,0.133996037,0.000000621,-0.159378707,-0.206972038,0.008900,0.000000
43,0.8600,reach,,-0.000001328,0.089328893,0.138535192,0.000000642,-0.164777708,-0.213983277,0.008900,0.000000
44,0.8800,reach,,-0.000001371,0.092255786,0.143074347,0.000000663,-0.170176709,-0.220994516,0.008900,0.000000
45,0.9000,reach,,-0.000001415,0.095182679,0.147613503,0.000000684,-0.175575710,-0.228005755,0.008900,0.000000
46,0.9200,reach,,-0.000001458,0.098109573,0.152152658,0.000000705,-0.180974711,-0.235016994,0.008900,0.000000
47,0.9400,reach,,-0.000001502,0.101036466,0.156691814,0.000000726,-0.186373711,-0.242028233,0.008900,0.000000
48,0.9600,reach,,-0.000001545,0.103963359,0.161230969,0.000000747,-0.191772712,-0.249039472,0.008900,0.000000
49,0.9800,reach,,-0.000001589,0.106890252,0.165770124,0.000000768,-0.197171713,-0.256050711,0.008900,0.000000
50,1.0000,reach,,-0.000001632,0.109817146,0.170309280,0.000000789,-0.202570714,-0.263061950,0.008900,0.000000
51,1.0200,reach,,-0.000001676,0.112744039,0.174848435,0.000000810,-0.207969715,-0.270073189,0.008900,0.000000
52,1.0400,reach,,-0.000001719,0.115670932,0.179387590,0.000000831,-0.213368716,-0.277084428,0.008900,0.000000
53,1.0600,reach,,-0.000001763,0.118597826,0.183926746,0.000000852,-0.218767716,-0.284095667,0.008900,0.000000
54,1.0800,reach,,-0.000001806,0.121524719,0.188465901,0.000000873,-0.224166717,-0.291106906,0.008900,0.000000
55,1.1000,reach,,-0.000001850,0.124451612,0.193005057,0.000000894,-0.229565718,-0.298118145,0.008900,0.000000
56,1.1200,reach,,-0.000001893,0.127378505,0.197544212,0.000000915,-0.234964719,-0.305129384,0.008900,0.000000
57,1.1400,reach,,-0.000001937,0.130305399,0.202083367,0.000000936,-0.240363720,-0.312140623,0.008900,0.000000
58,1.1600,reach,,-0.000001980,0.133232292,0.206622523,0.000000957,-0.245762721,-0.319151862,0.008900,0.000000
59,1.1800,reach,,-0.000002024,0.136159185,0.211161678,0.000000979,-0.251161722,-0.326163101,0.008900,0.000000
60,1.2000,reach,,-0.000002067,0.139086079,0.215700833,0.000001000,-0.256560722,-0.333174340,0.008900,0.000000
