run,seed,side,obs,t_min,c_min,dur,前_vyb,前_ang,前_wz,前_sp,前_c,前_n,中_vyb,中_ang,中_wz,中_sp,中_c,中_n,後_vyb,後_ang,後_wz,後_sp,後_c,後_n
isaac_bigarena_gmpc_scan__seed1__v2_off_093455,1,OFF,dyn_obs_4,32.09999928232767,0.11949167197922234,9.449999789000003,0.2241710890767611,101.16847645602988,0.0019343233463105752,0.23132537738726433,0.5117280982106853,32,0.16562107753517397,132.17747062866363,0.0016785736363286066,0.225284909598176,0.11949167197922234,116,0.09551978524401156,154.76216812035884,0.003209126126175776,0.21710737782880996,0.5103817430860436,42
isaac_bigarena_gmpc_scan__seed1__v2_off_093455,1,OFF,dyn_obs_7,34.699999224327655,0.40492365923526435,7.599999830000002,0.16713651390030135,130.70445566046857,0.0020907404483793465,0.22534765822176234,0.5051434148939575,40,0.08579250249829412,158.2062154197069,0.0035620676474011187,0.22494574830383512,0.40492365923526435,51,0.15833681747731954,137.274827164067,0.0005149785210683123,0.2311635335528829,0.501977587455074,62
isaac_bigarena_gmpc_scan__seed1__v2_off_093455,1,OFF,dyn_obs_1,73.99999834632769,0.12514491905937347,8.549999808999985,0.1264852280838508,143.22531008979544,0.0011564879121479178,0.2166028158457628,0.5039832283336954,35,0.17253659706164243,130.46367262370717,0.003457168890595641,0.22157088062764901,0.12514491905937347,88,0.1896753397848531,125.55685651879134,0.001377520924126397,0.2281419049908737,0.5061505443881991,49
isaac_bigarena_gmpc_scan__seed1__r2_s1_off_173052,1,OFF,dyn_obs_4,32.30999927824314,0.11209414464580442,9.599999785999984,0.19634739633742032,120.94454936498751,0.0021910335220300206,0.2192125043927628,0.5064049343835508,38,0.16647411117741973,130.64268056340984,0.0010907140410904503,0.22172563281044688,0.11209414464580442,114,0.09515650490269462,153.22464921013585,0.001278758863907531,0.21991370580923333,0.5057332589106267,41
isaac_bigarena_gmpc_scan__seed1__r2_s1_off_173052,1,OFF,dyn_obs_7,34.809999222243135,0.40857900487453197,7.549999831000008,0.16571773148499055,133.33715289645053,0.0011745189810401402,0.22209441252550752,0.501758078872977,41,0.0849871356825803,157.69897727016823,0.001539396322606523,0.22130538593444432,0.40857900487453197,54,0.15416654370356073,137.68622180247726,0.00020724960039403053,0.23105976413923815,0.5007307454748875,57
isaac_bigarena_gmpc_scan__seed1__r2_s1_off_173052,1,OFF,dyn_obs_1,73.55999835624314,0.17226097741253205,8.399999812999994,0.13383472666675347,140.7563553644953,0.0018954757640416895,0.22228219980023983,0.5100353223712148,35,0.17375764829717097,129.592938031427,0.004102031015552676,0.22546852151340424,0.17226097741253205,78,0.16021177073764187,132.6366910155898,0.0013207794820959706,0.22451274183830955,0.5053311334584298,56
isaac_bigarena_gmpc_scan__seed1__r3_s1_off_173646,1,OFF,dyn_obs_4,32.41999927536202,0.09782709300182729,9.599999786000012,0.19554684800690872,121.4627837148023,0.0018916060003151903,0.22799526943733978,0.5042771703972535,39,0.16779237391134388,129.76259710751964,0.0013073342998504084,0.22308479700241396,0.09782709300182729,113,0.10767234064116919,152.29763027099443,0.0012438486973024646,0.22887566141679294,0.5015458369420052,41
isaac_bigarena_gmpc_scan__seed1__r3_s1_off_173646,1,OFF,dyn_obs_7,34.969999218362005,0.4154098406899354,7.599999830000002,0.16376669524795076,133.9850006083776,0.001786519876948766,0.22603713903554984,0.5047099038678795,41,0.09327333587508263,155.10047873905592,0.0012375776150521703,0.22922472846991604,0.4154098406899354,50,0.1552275169804612,135.30231222013435,0.0010064215451754273,0.22181378158576076,0.5020745155938959,62
isaac_bigarena_gmpc_scan__seed1__r3_s1_off_173646,1,OFF,dyn_obs_1,73.569998355362,0.16974236309074714,8.449999811000026,0.14482847232280877,139.91293434439302,0.0020293825066130984,0.22694484979506283,0.5001364946439484,36,0.18023341662173145,124.3574761694144,0.0037164814763564597,0.22809117234914708,0.16974236309074714,79,0.17092585638290825,130.82262069323156,0.0010566348217616523,0.2229143826800907,0.5088146961769628,55
isaac_bigarena_gmpc_scan__seed7__b5_s7_off_161259,7,OFF,dyn_obs_5,37.36999916441826,0.1494547663203029,19.749999557999985,0.166205892461449,48.64579250071651,0.0028707493954639625,0.2206191436857905,0.5019398441849579,80,0.19401026191590315,56.829159880069184,0.003590654266654054,0.22514703079103962,0.1494547663203029,259,0.20455392784742518,67.44480930653418,0.0007242972921247306,0.2222185040811051,0.5036231717498123,57
