method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
mppi,mppi_seed1,True,93.36839652061462,96.1682858467102,24.164519289284044,0.05387490012792966,0.215595877407755,0.026142715968459067,0.19246350177088603,0.1743913999987745,0.5594498174722543,0.2694146771748648,0.12544599479511265,0,False,gt_pose+static,nan,nan,nan,6.950000125914812,13.20000021904707,0.06631344730064218,0.004796739265159944,map_tf,bag_pose,nan,2441,1923,94,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed1
mppi,mppi_seed2,True,81.3018844127655,84.05796241760254,22.851786905085543,0.04593328476717612,0.1398821126052089,0.03587712820208164,0.18177158987077974,0.22557552054669966,0.621808043180895,0.42526823303689615,0.09229537429275059,0,False,gt_pose+static,nan,nan,nan,9.000000156462193,17.30000028014183,0.041492898074122105,0.01454848337206602,map_tf,bag_pose,nan,2221,1670,81,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed2
mppi,mppi_seed3,True,58.623268842697144,61.502968311309814,17.942550408420125,0.06630554348589751,0.14222339601075729,0.01882583547076019,0.2436546082835885,0.16806977199216316,0.5738138632530216,0.4559452005930746,0.1949747468305833,0,False,gt_pose+static,nan,nan,nan,1.5500000454485416,7.450000133365393,0.14426747838806145,0.12158444327913243,map_tf,bag_pose,nan,1578,1230,61,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed3
mppi,mppi_seed4,True,64.77241730690002,67.2930920124054,20.770660160714293,0.04996812098455181,0.1420474457066836,0.017644924566613707,0.19678413800347563,0.13972800700693674,0.5264221902790329,0.3355102217565795,0.1609772228646444,0,False,gt_pose+static,nan,nan,nan,2.2500000558793545,7.2500001303851604,0.14719673485206788,0.050768673946768914,map_tf,bag_pose,nan,1754,1345,66,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed4
mppi,mppi_seed5,True,68.86386442184448,71.50429773330688,22.150548254238927,0.0487274599870689,0.19154643692794968,0.025143094315015768,0.18628819842157854,0.14142370582142458,0.5540663308030608,0.4189221510331408,0.08306690578931697,0,False,gt_pose+static,nan,nan,nan,-0.3999999836087227,7.750000137835741,0.05556574025865754,0.020592104530396973,map_tf,bag_pose,nan,1836,1451,70,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed5
mppi,mppi_seed6,True,82.94363069534302,85.58349990844727,21.057164791403864,0.06921502347148474,0.21408602500430518,0.041314649243865055,0.18586883321279474,0.29556768585808985,0.5552540812236432,0.3568025757518456,0.05791300936727556,0,False,gt_pose+static,nan,nan,nan,-0.09999997913837433,0.45000002905726433,0.11740670799472916,0.08745392523148376,map_tf,bag_pose,nan,2186,1711,84,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed6
mppi,mppi_seed7,True,71.61645078659058,74.29661822319031,20.859173768100362,0.05532647677162789,0.17804876539498155,0.03450022037252127,0.27215086666544014,0.17050377820745935,0.5759240633374044,0.32282806782545265,0.11271278205995006,0,False,gt_pose+static,nan,nan,nan,16.900000274181366,10.650000181049109,0.057374558713383914,0.004192699376934671,map_tf,bag_pose,nan,1906,1486,73,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed7
mppi,mppi_seed8,True,52.87234950065613,55.47179460525513,17.425196702816418,0.05682178082880269,0.08095337172006212,0.0234235425000736,0.15169781255846299,0.11123184478682861,0.5502013671582732,0.38154701046847167,0.22201532544552754,0,False,gt_pose+static,nan,nan,nan,16.900000274181366,16.850000273436308,0.05956819600554845,0.026232908878555884,map_tf,bag_pose,nan,1376,1109,54,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed8
mppi,mppi_seed9,True,55.898056745529175,58.57818579673767,17.301610932168586,0.05548784563643699,0.08247622759793553,0.02510897764547661,0.22512252092035936,0.1718420588435037,0.5676588897562311,0.48657707284397983,0.1419585113483226,0,False,gt_pose+static,nan,nan,nan,8.700000151991844,0.30000002682209015,0.04496330114161225,0.02301274704386483,map_tf,bag_pose,nan,1523,1171,58,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed9
mppi,mppi_seed10,True,51.91212797164917,54.672183990478516,16.07810517573367,0.06524870651310088,0.21563516238272754,0.03735714272969814,0.18465155747250936,0.22750521016718384,0.6108884143265307,0.5199338558655,0.11157297557281459,0,False,gt_pose+static,nan,nan,nan,3.1500000692903996,4.150000084191561,0.06519886251487894,0.048948712911117256,map_tf,bag_pose,nan,1435,1093,54,0,0,/home/howardchen/masterthesis/evaluation/bags/mppi__mppi_seed10
