method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
rpp,rpp_seed1,True,64.50483894348145,67.22530150413513,18.35363235564799,0.02699241044739582,0.09385792846074634,0.0,0.23757332634429698,0.0,0.0,0.7078330974682557,0.07753945895615588,0,False,gt_pose+static,nan,nan,nan,8.12,0.48,0.2795366926774981,0.2713730105954811,map_tf,bag_pose,nan,1707,1359,63,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed1
rpp,rpp_seed2,True,60.34623456001282,63.06613326072693,17.73225057763959,0.02595677808460504,0.08681906097039407,0.0,0.2125103797248311,0.09193792502674462,0.0,1.3991673502259592,0.19244289008980525,0,False,gt_pose+static,nan,nan,nan,8.59,0.85,0.28390608838189113,0.27761108877159923,map_tf,bag_pose,nan,1644,1262,62,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed2
rpp,rpp_seed3,False,nan,247.60808801651,16.010136324812258,0.04014637451986249,0.12718911647782907,0.0,0.2555427318333505,0.13059319407831155,0.0,1.8411927184150578,-0.3,1,True,gt_pose+static,nan,nan,nan,9.05,13.75,3.526131087492775,3.4259380986878716,map_tf,none,nan,6239,1327,59,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed3
rpp,rpp_seed4,True,52.575443267822266,55.25498127937317,14.926620010209518,0.036183037920291324,0.09650062802505889,0.0,0.2878132060912482,0.08352651797824252,0.0,0.965502837091188,0.1609772228646444,0,False,gt_pose+static,nan,nan,nan,3.58,14.55,0.26918707742514697,0.25755235997424447,map_tf,bag_pose,nan,1429,1105,54,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed4
rpp,rpp_seed5,False,nan,244.0865182876587,23.80600199081649,0.10264273099075011,0.10594053878467742,0.0,0.30672807694510706,0.1144859633337782,0.0,1.4119012890546234,-0.3,1,True,gt_pose+static,nan,nan,nan,1.57,4.7,1.6898130560946767,1.6492678667955274,map_tf,none,nan,6239,1821,85,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed5
rpp,rpp_seed6,True,60.819106340408325,63.45917749404907,14.692925771913725,0.03804290279973948,0.12769133804674115,0.0,0.2717491814642059,0.0,0.0,0.8740073455205504,-0.38029452638998884,1,True,gt_pose+static,nan,nan,nan,-0.56,1.04,0.27100379875532504,0.2641021711077066,map_tf,bag_pose,nan,1691,1177,55,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed6
rpp,rpp_seed7,False,nan,247.27021074295044,14.519891079632359,0.06985828903877785,0.12694147475777,0.0,0.25351654123200457,1.4989296688195872,0.0,1.9990977544861372,-0.4241059212680898,1,True,gt_pose+static,nan,nan,nan,9.64,-0.26,6.820245932849842,6.735947093861136,map_tf,none,nan,6239,1224,56,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed7
rpp,rpp_seed8,False,nan,247.67471194267273,8.896105018611959,0.08153770430777699,0.16069394886721772,0.0,0.24279500324585493,1.49899288166272,0.0,1.9993193129047055,-0.09057420025674645,2,True,gt_pose+static,nan,nan,nan,11.28,15.38,8.665863071748262,8.298295719335062,map_tf,none,nan,6235,883,37,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed8
rpp,rpp_seed9,True,76.53393578529358,79.25386381149292,19.477264910139077,0.03837487717276051,0.10235793450212191,0.0,0.27023036256264826,0.1712082566704045,0.0,1.7478190624953156,-0.21976124046674606,1,True,gt_pose+static,nan,nan,nan,13.33,15.11,0.292640265103889,0.27932847037643915,map_tf,bag_pose,nan,2052,1502,72,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed9
rpp,rpp_seed10,False,nan,245.9225878715515,17.858453275867753,0.04091478014942677,0.14048302082909833,0.0,0.32712575076682004,1.4995952745984913,0.0,2.000214600901155,-0.3637139650340204,5,True,gt_pose+static,nan,nan,nan,1.96,5.75,5.358575059300168,5.33661747652623,map_tf,none,nan,6217,1567,70,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed10
rpp,rpp_seed11,True,123.68487191200256,126.32520580291748,29.253303797128684,0.04942127177712097,0.1288168951618371,0.0,0.3322585556649141,1.497477964443713,0.0,1.999431296279651,0.11020509304564363,0,False,gt_pose+static,nan,nan,nan,3.38,-0.18,0.2764290170566991,0.27188355811087733,map_tf,bag_pose,nan,3204,2431,114,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed11
rpp,rpp_seed12,False,nan,246.75376105308533,13.420965092118857,0.02344500216069447,0.13121983235181345,0.0,0.29977204427737564,0.15255260675792046,0.0,1.6801592230846973,0.035593601128848684,0,False,gt_pose+static,nan,nan,nan,1.51,10.23,4.290734970487765,4.288738818493469,map_tf,none,nan,6215,1190,52,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed12
rpp,rpp_seed13,True,50.56706953048706,53.207619428634644,14.152131931059982,0.05010359212821974,0.09076851754783254,0.0,0.24131585437273145,0.21699629648101534,0.0,1.3641463195940722,0.017521638091958114,0,False,gt_pose+static,nan,nan,nan,8.88,16.44,0.293927621567539,0.27153049257481454,map_tf,bag_pose,nan,1430,1046,49,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed13
rpp,rpp_seed14,False,nan,248.07040190696716,18.76614214610041,0.037716871421923426,0.1242233766742679,0.0,0.27702315708488495,1.498072006309067,0.0,1.9984581445322738,-0.1253893907028622,1,True,gt_pose+static,nan,nan,nan,8.61,14.51,5.278324785254054,4.045026102278038,map_tf,none,nan,6232,1502,69,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed14
rpp,rpp_seed15,True,66.05593395233154,68.89566159248352,16.888475357758928,0.04751476816977256,0.0960588932319545,0.0,0.22143386174386712,0.3306551053897113,0.0,1.9605543129501948,-0.04954263297965528,1,True,gt_pose+static,nan,nan,nan,16.94,10.3,0.2781196773816129,0.2699884993486225,map_tf,bag_pose,nan,1843,1265,61,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed15
rpp,rpp_seed17,True,55.06572961807251,57.705490589141846,16.291531081386083,0.02782442598924801,0.07938861753022991,0.0,0.20608921767812924,0.0,0.0,0.960612774380457,0.1949747468305833,0,False,gt_pose+static,nan,nan,nan,0.54,1.41,0.28742435965684165,0.27123003137404406,map_tf,bag_pose,nan,1461,1154,57,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed17
rpp,rpp_seed18,True,74.45592927932739,77.09646224975586,14.204027719788392,0.04347258990034769,0.13074143819167178,0.0,0.32182936000742507,1.4964906021207662,0.0,1.9949506789925733,-0.08132308257493862,2,True,gt_pose+static,nan,nan,nan,4.33,3.33,0.2845069462051627,0.27587520840734586,map_tf,bag_pose,nan,2009,1252,58,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed18
rpp,rpp_seed19,True,51.01629066467285,53.736023902893066,14.795729352693812,0.03554968943943906,0.08954699600365879,0.0,0.2534921013082769,0.0,0.0,0.7930895772032196,0.05228253556443929,0,False,gt_pose+static,nan,nan,nan,3.87,13.97,0.2931562145103785,0.27521528995089156,map_tf,bag_pose,nan,1401,1074,53,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed19
rpp,rpp_seed20,True,88.05043053627014,90.69001388549805,17.231975264066286,0.039682721612073715,0.13406694801182326,0.0,0.2456964070764196,0.09811119639138995,0.0,2.000195090876203,-0.04496355548636283,1,True,gt_pose+static,nan,nan,nan,7.92,13.4,0.30141120064363797,0.273881568341625,map_tf,bag_pose,nan,2384,1548,71,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed20
rpp,rpp_seed21,True,51.459047079086304,54.05922245979309,15.09536833331869,0.038078670044614585,0.07292484352290508,0.0,0.19728341948640835,0.0,0.0,0.6720920423667035,0.11231056256176608,0,False,gt_pose+static,nan,nan,nan,15.8,17.25,0.27422182722077454,0.27339926793458236,map_tf,bag_pose,nan,1378,1065,52,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed21
rpp,rpp_seed22,True,56.53907918930054,59.29921340942383,15.978419707297656,0.024930717664792164,0.09485858850014356,0.0,0.253911801914351,0.0,0.0,0.49281163116738635,-0.052445368452967156,1,True,gt_pose+static,nan,nan,nan,0.12,7.88,0.2921883829863482,0.2724970349017739,map_tf,bag_pose,nan,1539,1185,58,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed22
rpp,rpp_seed23,True,57.77659511566162,60.49734354019165,16.9192254342209,0.03299391485141347,0.0838795588740452,0.0,0.22485729595108983,0.07854252496399028,0.0,1.134502466610865,0.16387542068512434,0,False,gt_pose+static,nan,nan,nan,8.22,1.21,0.2735304131404641,0.2699571313666659,map_tf,bag_pose,nan,1613,1210,60,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed23
rpp,rpp_seed24,False,nan,245.65839886665344,9.292677040103817,0.04923268991331336,0.15398291063691139,0.0,0.23733378985883521,0.0,0.0,1.991210375009215,-0.08318541105405586,1,True,gt_pose+static,nan,nan,nan,0.47,17.16,14.765851404154924,14.282914425701124,map_tf,none,nan,6187,939,40,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed24
rpp,rpp_seed25,True,88.94760584831238,91.7073106765747,19.751351103884957,0.04387284248980074,0.13601848532502683,0.0,0.3178034308739149,0.23859700729327676,0.0,2.0008214519764094,0.12720018726587656,0,False,gt_pose+static,nan,nan,nan,15.09,1.93,0.2805569122040488,0.26223248118402587,map_tf,bag_pose,nan,2308,1727,79,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed25
