method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
gmpc_cbf,scan_seed1,True,189.58727860450745,192.34724855422974,42.50925947539875,0.07816787681481367,0.11795428114657597,0.0677359985213695,0.23374953167365217,0.7991297294046144,0.5996340231957767,1.2009517517944082,0.06055512754639897,0,False,gt_pose+static,2.3885058453348296,14.846176338195786,48.350181579589844,17.000000275671482,17.000000275671482,0.25092500334827317,0.249608206584721,map_tf,controller_log,0.294,5944,4735,69,2141,3793,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed1
gmpc_cbf,scan_seed2,False,nan,203.47275233268738,45.527568692635604,0.11247045073031635,0.1240273172012673,0.08253841417125085,0.2724605855662076,0.8000389096906088,0.6002204284936888,1.2015478310028531,5.551115123125783e-17,0,False,gt_pose+static,3.283257976977992,27.51670274734492,47.880043029785156,17.000000275671482,17.000000275671482,0.4165554803699242,0.4165554803699242,map_tf,none,nan,6175,4986,146,2334,4070,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed2
gmpc_cbf,scan_seed3,True,198.3411602973938,201.02093720436096,45.168433036088786,0.0976121975826559,0.12489345344796836,0.07956595966825555,0.2721769486411969,0.7997026184593792,0.599994122682836,1.200829055749263,0.050000000000000044,0,False,gt_pose+static,3.4861406908678494,28.059264659881503,50.647857666015625,17.000000275671482,17.000000275671482,0.2571334753749309,0.2556223748223263,map_tf,controller_log,0.296,6173,4939,71,2260,3968,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed3
gmpc_cbf,scan_seed4,True,174.5375759601593,177.21741032600403,39.499677515598975,0.09586156359388844,0.11310672706906114,0.07333469141928922,0.22012647695840315,0.7997782305217761,0.5997116966827131,1.2018228701109026,0.050000000000000044,0,False,gt_pose+static,2.7984840383223437,22.444158649444436,47.30558395385742,17.000000275671482,17.000000275671482,0.2762431962501182,0.2748076391531844,map_tf,controller_log,0.3,5583,4486,62,2075,3488,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed4
gmpc_cbf,scan_seed5,True,186.38291692733765,188.98229575157166,42.64719559378268,0.0810692982226644,0.1210671820995931,0.07681903353565914,0.24835353780984828,0.7988313605241357,0.5996256262472248,1.2019793694882812,5.551115123125783e-17,0,False,gt_pose+static,3.1764582077365033,28.98652162551873,50.673606872558594,17.000000275671482,17.000000275671482,0.25195266782822345,0.25060090862172474,map_tf,controller_log,0.284,5880,4701,67,2152,3728,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed5
gmpc_cbf,scan_seed6,True,172.38506865501404,175.06503582000732,38.60441053339778,0.09325894325838927,0.11619933794870518,0.0698468628571665,0.2264914645573587,0.7994187979692465,0.5991003006248306,1.2013421375851292,0.050000000000000044,0,False,gt_pose+static,2.9835560776881027,25.15877504348754,44.550174713134766,17.000000275671482,17.000000275671482,0.2630858810942927,0.2614168837620927,map_tf,controller_log,0.295,5466,4411,62,2035,3448,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed6
gmpc_cbf,scan_seed7,True,161.98211455345154,164.54252409934998,35.85751945302948,0.06340916332543234,0.10266901154421601,0.061461509939047324,0.22126855555492886,0.7988747396416032,0.5994550210988602,1.2000667524894195,0.10000000000000003,0,False,gt_pose+static,1.9050045253341028,10.600926208496086,41.82746124267578,17.000000275671482,17.000000275671482,0.26212281591051445,0.26035117436708627,map_tf,controller_log,0.293,5207,4166,118,1917,3240,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed7
gmpc_cbf,scan_seed8,True,159.07630896568298,161.71608304977417,35.69188345172618,0.06668978718157809,0.10773377513283311,0.06143663891152063,0.21432356793786328,0.7992644404319531,0.5997044615759929,1.2008036480482145,0.08078865529319545,0,False,gt_pose+static,2.307389297778038,15.44584770202615,40.527076721191406,17.000000275671482,17.000000275671482,0.26684249100775465,0.2657057315025366,map_tf,controller_log,0.297,5132,4093,58,1892,3183,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed8
gmpc_cbf,scan_seed9,True,167.24819779396057,169.92782378196716,38.08648608955349,0.09588722424883589,0.10892831116595401,0.06977472702237578,0.23383224702209518,0.799184877268631,0.5990289337550179,1.2006401830342257,0.050000000000000044,0,False,gt_pose+static,2.274194450241787,14.094411849975586,45.505123138427734,17.000000275671482,17.000000275671482,0.2689181360491915,0.26727704099394417,map_tf,controller_log,0.297,5333,4265,61,1975,3346,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed9
gmpc_cbf,scan_seed10,True,169.23093271255493,171.91070532798767,38.37149843250943,0.08228792349934262,0.11331912235662184,0.06877289586727275,0.23146258979238524,0.7994656957818651,0.5997332032105691,1.200609895222723,0.09051248379533272,0,False,gt_pose+static,2.837343467503081,22.450728797912568,45.64349365234375,17.000000275671482,17.000000275671482,0.27103136530590294,0.26979344455952625,map_tf,controller_log,0.294,5386,4310,62,1993,3380,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed10
