method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
gmpc_cbf,scan_seed1,True,67.0518250465393,69.89715838432312,16.195977916879364,0.18623289047741942,0.14930590112196832,0.11871228757940734,0.2474170875659411,0.7998803136150527,0.6001506643041223,1.200724057833176,-0.03138249117209252,9,True,gt_pose+static,4.837609967451968,34.55680923461914,70.189453125,6.600000165402889,6.600000165402889,0.26069416503955173,0.25955878902320983,map_tf,controller_log,0.288,2025,1420,46,651,1323,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed1
gmpc_cbf,scan_seed2,True,51.32115387916565,53.92352247238159,11.622759293534696,0.13053550749484197,0.10925182403778597,0.0866020535629001,0.24811408317601036,0.7449792696068878,0.5532685768186207,1.2006402108001504,0.04248996611823158,0,False,gt_pose+static,2.22533563086346,13.019386482238751,60.03397750854492,6.600000165402889,6.600000165402889,0.277304344631461,0.27574085449484015,map_tf,controller_log,0.299,1519,1025,18,509,1005,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed2
gmpc_cbf,scan_seed3,True,50.792635917663574,53.44121050834656,11.628296699133493,0.10127525761645308,0.11055598465187898,0.06897581048772645,0.25275460433829594,0.7934915035859272,0.5996431754755869,1.200637232365738,-0.06100650069555569,9,True,gt_pose+static,3.2114659973084927,22.499045181274404,72.1506576538086,6.600000165402889,6.600000165402889,0.27545473529351744,0.274051876297597,map_tf,controller_log,0.295,1610,1089,36,496,1000,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed3
gmpc_cbf,scan_seed4,True,52.1337730884552,54.91274166107178,12.608727994130867,0.15242524652783482,0.12749055876940743,0.09350897588614317,0.26187483981653936,0.6944643802014693,0.5999483203995285,1.2007275992719595,-0.021858201193444338,19,True,gt_pose+static,3.233876475527508,23.325740051269527,61.170230865478516,6.600000165402889,6.600000165402889,0.2786347764356656,0.2770595648040803,map_tf,controller_log,0.3,1595,1125,36,498,1034,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed4
gmpc_cbf,scan_seed5,True,66.89502787590027,69.52926111221313,15.352044447760061,0.14059219028470024,0.14381976332407492,0.09941431542453458,0.2882364560989794,0.799213025011644,0.6001126073274414,1.2006607990729872,0.009228934215820661,0,False,gt_pose+static,3.234283238615528,22.773136138916016,61.33418273925781,6.600000165402889,6.600000165402889,0.2684566460344063,0.26717643553147946,map_tf,controller_log,0.29,2064,1369,23,608,1321,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed5
gmpc_cbf,scan_seed6,True,49.92413282394409,52.700206995010376,11.22666349230035,0.06885632603023618,0.09629405386324685,0.06712880734447525,0.2649468562735501,0.6251666930092721,0.39412377204858606,1.2006165960327753,0.014084637614320716,0,False,gt_pose+static,2.4462799883099056,9.239441728591709,64.13886260986328,6.600000165402889,6.600000165402889,0.2739502771987982,0.27252829727590244,map_tf,controller_log,0.291,1587,1072,16,485,978,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed6
gmpc_cbf,scan_seed7,True,51.56126070022583,54.196951150894165,11.993957608975151,0.11909590395310307,0.1070226929217093,0.07835615577852155,0.2788114789504059,0.6415436371170798,0.5998883846226591,1.2018431252681803,0.03973594902590599,0,False,gt_pose+static,2.3290612949445695,8.311056566238394,65.39814758300781,6.600000165402889,6.600000165402889,0.27386208619255453,0.27266368518591505,map_tf,controller_log,0.291,1651,1098,36,545,1010,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed7
gmpc_cbf,scan_seed8,True,51.99572467803955,54.74815273284912,12.135627396767806,0.12777629971372495,0.10522998069198183,0.08071713638538139,0.27199559310233395,0.783392663688055,0.5996582636233295,1.2004536438328324,0.023689405079917403,0,False,gt_pose+static,2.909452578640986,21.367180252075183,62.74216079711914,6.600000165402889,6.600000165402889,0.2652222780980464,0.26385267196056317,map_tf,controller_log,0.286,1642,1117,36,517,1023,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed8
gmpc_cbf,scan_seed9,True,51.03602457046509,53.744964599609375,11.414709801195553,0.10035290926738265,0.09238641671244131,0.07598295022724821,0.25605236563517153,0.6416902975253219,0.5996686557390327,1.2004774598955337,0.05629421129591833,0,False,gt_pose+static,1.6157261050697471,6.7742479801177975,58.1495361328125,6.600000165402889,6.600000165402889,0.27654320700303286,0.27509421922833377,map_tf,controller_log,0.293,1532,1055,17,511,1007,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed9
gmpc_cbf,scan_seed10,True,48.96572494506836,51.672703981399536,10.915709507396226,0.03574948840304094,0.086002177162907,0.06218432501478023,0.27602653570838537,0.5936136695005223,0.4041416544070069,1.2006576312003543,-0.011280165528533337,4,True,gt_pose+static,1.45531014599847,2.3519446849823,57.41668701171875,6.600000165402889,6.600000165402889,0.26170658688008197,0.2605108098350921,map_tf,controller_log,0.296,1473,1063,34,444,966,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed10
