method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
gmpc_cbf,scan_seed1,True,45.6377637386322,48.37764382362366,10.609007707050507,0.03066549508978783,0.06106915144628424,0.04937517153656754,0.24058209707953868,0.6001119216198957,0.36756005147097537,1.2005077066088297,0.12426406871192852,0,False,gt_pose+static,0.6003606810424867,0.897552192211151,53.37135696411133,6.600000165402889,6.600000165402889,0.27114788933348305,0.2697171837042232,map_tf,controller_log,0.291,1526,987,16,446,905,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed1
gmpc_cbf,scan_seed2,True,47.41945457458496,50.08806848526001,10.79808095417318,0.04507323197181418,0.08116124613486356,0.0648938237182196,0.261258266464667,0.6769571112083717,0.4490636385140771,1.2018516768137772,0.06356544068848974,0,False,gt_pose+static,1.5360479571710761,5.630589962005609,45.7026252746582,6.600000165402889,6.600000165402889,0.2768847018304653,0.26952532490601944,map_tf,controller_log,0.295,1427,982,17,413,939,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed2
gmpc_cbf,scan_seed3,True,47.418838024139404,50.095024824142456,10.905675061706308,0.046933712418196834,0.07468461101454336,0.072524773418272,0.24833175668643165,0.7996586430639809,0.5997955086051059,1.200321346798244,0.10210905352742,0,False,gt_pose+static,1.7651461501150054,4.433492112159726,57.12520217895508,6.600000165402889,6.600000165402889,0.2699935945883137,0.26878023751415486,map_tf,controller_log,0.296,1466,1008,17,428,940,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed3
gmpc_cbf,scan_seed4,True,46.721906900405884,49.41344666481018,10.77804880975351,0.038446965920121576,0.06576108852687364,0.05514102324412598,0.23716708316817767,0.7182810221351927,0.4969949435685698,1.2002667156448772,0.10905718956137972,0,False,gt_pose+static,0.9046548998176988,1.3509876012802104,52.73957061767578,6.600000165402889,6.600000165402889,0.2665836827315626,0.26540860711996805,map_tf,controller_log,0.292,1528,991,32,461,933,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed4
gmpc_cbf,scan_seed5,True,48.10227847099304,50.863518476486206,11.269177145032803,0.044302822748784915,0.08763523480461118,0.0675534544567882,0.2602177906947332,0.702951018114837,0.5991875062705505,1.2011106459814456,0.09278851683561012,0,False,gt_pose+static,1.6669090232732544,3.3832640647888184,49.324317932128906,6.600000165402889,6.600000165402889,0.2714540378074593,0.27034578406975357,map_tf,controller_log,0.297,1526,1055,17,428,951,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed5
gmpc_cbf,scan_seed6,True,48.53532004356384,51.517094135284424,11.359356032593674,0.08127655506100616,0.09320334213406897,0.08452575422331152,0.23888615597843088,0.7995047284868608,0.5999876215488955,1.2008587009000395,0.11121185788484217,0,False,gt_pose+static,1.9186978121536278,3.9814926147460796,76.5196762084961,6.600000165402889,6.600000165402889,0.287346943719758,0.28188673700462696,map_tf,controller_log,0.291,1455,1004,17,459,957,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed6
gmpc_cbf,scan_seed7,True,45.19515776634216,47.89912438392639,10.526681235433829,0.028849536146905712,0.07436555282342872,0.043851464384850485,0.22588313887873104,0.6170658975125595,0.29521033389830476,1.2003110221751248,0.12426406871192852,0,False,gt_pose+static,0.550367908618812,0.9551429748535156,42.622467041015625,6.600000165402889,6.600000165402889,0.28008888275101407,0.27855288801173445,map_tf,controller_log,0.291,1515,1029,16,430,896,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed7
gmpc_cbf,scan_seed8,True,45.66224241256714,48.31720209121704,10.559488804112284,0.03093358000041564,0.0727901993768652,0.0445832884677592,0.2290764299967296,0.5614272319471776,0.2993341064818804,1.2005833683577762,0.12426406871192852,0,False,gt_pose+static,0.6107463928382041,0.925132596492767,33.300411224365234,6.600000165402889,6.600000165402889,0.27526301780350243,0.27398234857123266,map_tf,controller_log,0.288,1516,1034,16,418,905,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed8
gmpc_cbf,scan_seed9,True,45.5842547416687,48.339091062545776,10.479496797770842,0.031419840474476206,0.06027816266602134,0.044660800831297226,0.2319800093119618,0.6236025507485283,0.34707076170990164,1.2006187231140326,0.12426406871192852,0,False,gt_pose+static,0.648029382521902,1.0028942108154244,39.63689041137695,6.600000165402889,6.600000165402889,0.2737505727724495,0.2723643878867411,map_tf,controller_log,0.297,1442,984,32,408,899,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed9
gmpc_cbf,scan_seed10,True,46.83699893951416,49.523144483566284,10.898765743520404,0.07440989156346359,0.08724196173425912,0.07074389979609007,0.2794434030806998,0.6517986162688104,0.5096285883325197,1.2012100237351782,0.12426406871192852,0,False,gt_pose+static,0.7271734545837878,2.1749241828918424,21.063079833984375,6.600000165402889,6.600000165402889,0.2781781012819686,0.27670632494404757,map_tf,controller_log,0.299,1507,1045,16,445,924,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed10
