method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
gmpc_cbf,scan_seed1,True,46.8498740196228,49.64441227912903,10.874569692087647,0.04245847080938622,0.05420869257486041,0.048586599735287034,0.2499560164153928,0.6071059115120228,0.3269295612715301,1.2011850664023922,-0.013738285551151364,1,True,gt_pose+static,0.5560261871158819,0.9639537334442139,35.38065719604492,6.600000165402889,6.600000165402889,0.27775924851177697,0.26993214579949953,map_tf,controller_log,0.295,1460,981,16,394,926,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed1
gmpc_cbf,scan_seed2,True,45.70000958442688,48.33470392227173,10.864792406218605,0.03444853138037232,0.05887464064433346,0.043960304354055985,0.23160286938872998,0.5943905911323316,0.23283990627448695,1.2001802526282677,0.04750588540637707,0,False,gt_pose+static,0.32875330666139935,0.724717205762863,2.9100348949432373,6.600000165402889,6.600000165402889,0.2660401046986088,0.2647980813656735,map_tf,controller_log,0.294,1432,981,32,364,903,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed2
gmpc_cbf,scan_seed3,True,45.26294755935669,47.93505787849426,10.475508253934677,0.03053591552306684,0.06441494707130685,0.04473889850694041,0.2478191185594758,0.5675819477473522,0.30549559897362455,1.2008176849899332,0.06400549446402592,0,False,gt_pose+static,0.9891679709743675,0.9049936562776563,60.9766731262207,6.600000165402889,6.600000165402889,0.29241286251484433,0.2909684109256307,map_tf,controller_log,0.3,1430,990,32,363,888,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed3
gmpc_cbf,scan_seed4,True,47.045557260513306,49.80263066291809,10.774928160555666,0.03567005903288289,0.05610656981188822,0.059192535799759846,0.24975867766803062,0.5369471502711909,0.33421268811378213,1.200813568910129,0.10311288741492747,0,False,gt_pose+static,0.7814260286522196,0.8728060066699981,50.399505615234375,6.600000165402889,6.600000165402889,0.27389422829575616,0.2724446321130127,map_tf,controller_log,0.298,1481,1002,17,411,923,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed4
gmpc_cbf,scan_seed5,True,47.67177391052246,50.31671619415283,11.098044712967106,0.046004909135294154,0.05969934130705216,0.07270934790326829,0.254809547444193,0.6184543200611992,0.5996381407883837,1.2005571509679493,0.08078865529319545,0,False,gt_pose+static,1.6279614902953519,1.6816012322902631,82.44084167480469,6.600000165402889,6.600000165402889,0.266428863625017,0.26492988700770487,map_tf,controller_log,0.283,1532,1002,16,405,940,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed5
gmpc_cbf,scan_seed6,True,45.78185677528381,48.463993072509766,9.99253295135097,0.03132638180884171,0.05240445980152814,0.04615926711268109,0.2526166527495486,0.5374911849948524,0.26648558681238216,1.2011902397738061,0.12426406871192852,0,False,gt_pose+static,0.3890540264051267,0.8972915798425669,2.2658579349517822,6.600000165402889,6.600000165402889,0.2796447239659248,0.2750151348089484,map_tf,controller_log,0.3,1345,968,32,385,902,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed6
gmpc_cbf,scan_seed7,True,46.77814984321594,49.375693559646606,10.9119763155129,0.05269988051737603,0.05751390738818802,0.05066092506473132,0.23070039803701775,0.6517693583492211,0.37914102948460543,1.2001434574099785,-0.019167650806390102,1,True,gt_pose+static,0.5907881093607736,0.889377772808075,46.18053436279297,6.600000165402889,6.600000165402889,0.23964245997176348,0.23823483312752203,map_tf,controller_log,0.274,1467,988,16,359,926,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed7
gmpc_cbf,scan_seed8,True,45.762165784835815,48.54978895187378,10.62936916817767,0.03401988540028215,0.06771314282835089,0.0535819375909578,0.2573449342452827,0.5807801935515601,0.45100530665746885,1.2006047486524758,0.08078865529319545,0,False,gt_pose+static,1.3073359056563838,1.301714819669723,65.87428283691406,6.600000165402889,6.600000165402889,0.27374805703986294,0.2722670972014076,map_tf,controller_log,0.299,1454,1007,16,397,902,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed8
gmpc_cbf,scan_seed9,True,46.428428411483765,49.10265851020813,10.51689524220226,0.03072754288590231,0.051792479709742906,0.04482857216205195,0.25157231146891945,0.5670736526187021,0.2680510592402575,1.2006264075321234,0.12426406871192852,0,False,gt_pose+static,0.39586370247400965,0.8120095968246459,27.273923873901367,6.600000165402889,6.600000165402889,0.26011949987088684,0.25886966209046186,map_tf,controller_log,0.292,1448,960,32,376,917,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed9
gmpc_cbf,scan_seed10,True,47.83053278923035,50.519046783447266,10.985084225552137,0.047834338378695364,0.0645399697735449,0.053962042909807176,0.24106116052609036,0.6659935769083037,0.5997310919191099,1.2004239111177126,-0.019382296500833507,1,True,gt_pose+static,0.9733124631398087,1.3918314218521117,48.855865478515625,6.600000165402889,6.600000165402889,0.2784173362225717,0.277309794319172,map_tf,controller_log,0.299,1478,989,17,408,948,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed10
