method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
gmpc_cbf,scan_seed1,True,56.90369200706482,59.548659563064575,12.56118946411814,0.0907039335349483,0.1203143610463251,0.07736978832973336,0.267360673466492,0.6474858070364302,0.5995820375507559,1.2006742500508696,0.007146576191860821,0,False,gt_pose+static,1.6940396991438336,5.050364685058594,53.19217300415039,6.600000165402889,6.600000165402889,0.26815406663612523,0.26667418479368676,map_tf,controller_log,0.287,1839,1265,20,520,1125,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed1
gmpc_cbf,scan_seed2,True,67.12206530570984,69.80596041679382,13.934388113656642,0.0991757593912768,0.11532679255208346,0.07775513277507037,0.31313529833641046,0.7987819704085966,0.5990824342119384,1.2006224988300138,-0.2546420308180183,4,True,gt_pose+static,1.8102623833912723,6.366548538208008,55.60089111328125,6.600000165402889,6.600000165402889,0.2659537804755542,0.26448282070642565,map_tf,controller_log,0.293,2069,1407,22,551,1325,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed2
gmpc_cbf,scan_seed3,True,57.9424614906311,60.56339383125305,12.979402922208056,0.07928060244682919,0.11381161075927833,0.07962472135312267,0.2601535703928625,0.6510773642308613,0.5184700627277301,1.2006020480863486,0.013839580354599146,0,False,gt_pose+static,1.3690127266951257,6.108231425285339,48.931217193603516,6.600000165402889,6.600000165402889,0.2775463817918348,0.27596244165497497,map_tf,controller_log,0.297,1781,1202,40,529,1146,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed3
gmpc_cbf,scan_seed4,True,53.47021436691284,56.09154415130615,12.016962033509305,0.05110921810756307,0.09297656876834866,0.06426006638605336,0.24800731725522746,0.6409795644710051,0.5996132403685607,1.200317043423813,0.07465901892495869,0,False,gt_pose+static,0.9924375729043902,2.8523998260498034,41.835018157958984,6.600000165402889,6.600000165402889,0.2692018420234278,0.26785512320881677,map_tf,controller_log,0.299,1692,1140,18,494,1055,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed4
gmpc_cbf,scan_seed5,True,57.37784695625305,60.111534118652344,12.300377425455151,0.08990953319236787,0.11526562143743115,0.0864128902188969,0.31305883603936946,0.6728189566969961,0.5993233888945877,1.2007487988768226,0.0693006738948661,0,False,gt_pose+static,1.4402780259147456,4.817558145523069,59.51914978027344,6.600000165402889,6.600000165402889,0.26314138605290593,0.26199999818942477,map_tf,controller_log,0.286,1742,1208,20,531,1139,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed5
gmpc_cbf,scan_seed6,True,49.74295973777771,52.51513409614563,10.957546280440475,0.0514095290013507,0.07549888838284345,0.07308298299660529,0.22252389875992307,0.5837582689257601,0.5359450800387027,1.200404223552303,0.23851648071345039,0,False,gt_pose+static,2.460235106152553,7.813134908676117,66.13331604003906,6.600000165402889,6.600000165402889,0.2750699129230343,0.27375136830804475,map_tf,controller_log,0.3,1547,1067,17,429,974,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed6
gmpc_cbf,scan_seed7,True,46.62138628959656,49.23341155052185,10.759362219173582,0.039194361805307616,0.07092219913143194,0.060822621084816016,0.24625819799417306,0.5861709878829886,0.45293935283120756,1.2008426620150918,0.23150729063673253,0,False,gt_pose+static,1.1954782471819534,1.9456064939498898,47.187347412109375,6.600000165402889,6.600000165402889,0.2718390407847295,0.2705974329291126,map_tf,controller_log,0.294,1538,1037,16,446,923,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed7
gmpc_cbf,scan_seed8,True,49.780500411987305,52.55504655838013,11.345733897823926,0.050090322602174234,0.07931717061362024,0.07416415099153435,0.23947504621393578,0.7994272417261453,0.6000211363278457,1.2007799965214174,0.1949747468305833,0,False,gt_pose+static,2.938262708630915,24.21320915222168,65.76039123535156,6.600000165402889,6.600000165402889,0.2679257637932113,0.2665235120937373,map_tf,controller_log,0.293,1569,1060,17,438,971,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed8
gmpc_cbf,scan_seed9,True,49.08881998062134,51.74350190162659,10.771887019352427,0.04649409404216887,0.0686165611034706,0.0630152545260827,0.2401218509879244,0.7997999569981673,0.5998023684451212,1.200409369072463,0.23150729063673253,0,False,gt_pose+static,3.033024033702666,16.74492282867415,87.3022232055664,6.600000165402889,6.600000165402889,0.2683589485945998,0.26723383054372274,map_tf,controller_log,0.298,1477,1015,33,449,947,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed9
gmpc_cbf,scan_seed10,True,50.241981983184814,52.87207007408142,11.303309052824495,0.03584093413819372,0.07086136076585951,0.0568969789991355,0.25009761844468886,0.6051891915304065,0.3524143606918886,1.200637361389764,0.09051248379533272,0,False,gt_pose+static,1.0956068060345001,3.669638991355884,44.19779586791992,6.600000165402889,6.600000165402889,0.27383136574484196,0.2694952862333755,map_tf,controller_log,0.294,1587,1085,18,435,999,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed10
