method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
gmpc_cbf,scan_seed1,True,48.98861789703369,51.82860708236694,10.85733697868308,0.04586800235884818,0.08318157747653587,0.07215432952122315,0.22772425725186954,0.7998847111962251,0.6000881187596935,1.2006795859796775,-0.011152704711696493,1,True,gt_pose+static,4.893242152219757,40.609806060791016,58.578983306884766,6.600000165402889,6.600000165402889,0.26147595411462154,0.26031856705257816,map_tf,controller_log,0.289,1487,1007,17,454,961,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed1
gmpc_cbf,scan_seed2,True,50.28894281387329,53.00887608528137,10.367460773012745,0.04615267816752807,0.07207630457791947,0.060357949459239175,0.24697596649630255,0.7998524438632338,0.6000769652355391,1.200637667554506,-0.012129505847277122,2,True,gt_pose+static,3.5667090379351225,34.22659339904782,54.00586700439453,6.600000165402889,6.600000165402889,0.26729954046545346,0.2660359493586893,map_tf,controller_log,0.299,1459,1020,17,453,975,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed2
gmpc_cbf,scan_seed3,True,55.246073722839355,57.957966327667236,10.912761587514268,0.052914798820501874,0.08823465916850519,0.06733860151620467,0.25826014802948566,0.80009222684006,0.599941068980023,1.2020614275068218,-0.02437166177887462,1,True,gt_pose+static,4.5048643720830235,35.44942321777338,64.01815032958984,6.600000165402889,6.600000165402889,0.2666420318517671,0.2650380516908447,map_tf,controller_log,0.287,1621,1138,19,533,1069,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed3
gmpc_cbf,scan_seed4,True,52.569886922836304,55.331873655319214,11.329986092880684,0.05182831473695745,0.08802529728014087,0.06830024698581133,0.268016524827873,0.799960161001683,0.5999431539067334,1.2010208812467644,-0.03253203164927998,1,True,gt_pose+static,3.423068747064007,26.389200019836398,89.55994415283203,6.600000165402889,6.600000165402889,0.280857166457213,0.27977713313832026,map_tf,controller_log,0.3,1619,1125,18,477,1014,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed4
gmpc_cbf,scan_seed5,True,47.394373416900635,50.080018281936646,10.742128023504087,0.0434001832594054,0.06413370163893878,0.05727104235352275,0.28265370491245173,0.7998642650185945,0.5999118934330097,1.2007363042481345,-0.004148178849902151,1,True,gt_pose+static,2.143802617670522,9.233205318450928,71.13914489746094,6.600000165402889,6.600000165402889,0.26689016867374205,0.2656027467839208,map_tf,controller_log,0.293,1488,1022,32,449,926,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed5
gmpc_cbf,scan_seed6,True,47.964433431625366,50.69483804702759,10.660777156739549,0.04457085547912096,0.07931211032439904,0.0641863930499455,0.2586021493080634,0.7880950735497354,0.599645040558157,1.2011503581054481,-0.006376389886547762,1,True,gt_pose+static,2.9696707661245383,19.720742225646962,67.74584197998047,6.600000165402889,6.600000165402889,0.27386905066976514,0.27240312843800774,map_tf,controller_log,0.298,1559,1072,17,450,918,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed6
gmpc_cbf,scan_seed7,True,46.78115749359131,49.61340260505676,10.630247101374604,0.04729484173171507,0.07224558003077929,0.06487740141632463,0.2580177382947703,0.8000064854881339,0.6000753208198525,1.2012137997647276,-0.012122815366633177,1,True,gt_pose+static,3.2999583783479323,28.90192699432373,74.98001861572266,6.600000165402889,6.600000165402889,0.2750352040882497,0.27355138814732144,map_tf,controller_log,0.289,1462,1013,32,443,906,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed7
gmpc_cbf,scan_seed8,True,90.19109153747559,92.97456812858582,10.31662108241943,0.04270810123078217,0.06337310008794873,0.07029758849472995,0.22816475352920726,0.5286192914018084,0.3580412727242197,1.1991868552773877,-0.005708333549637845,1,True,gt_pose+static,6.254362336189851,20.867248535156207,236.50790405273438,6.600000165402889,6.600000165402889,0.26762230417362504,0.2661566561526359,map_tf,controller_log,0.293,1416,1798,17,448,920,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed8
gmpc_cbf,scan_seed9,True,47.16573405265808,49.82465147972107,10.647771829350358,0.04228406466272079,0.06460275227549145,0.06041476219845008,0.24479422653866753,0.7996154730072227,0.5997640584077253,1.200941601923799,0.0143705688981145,0,False,gt_pose+static,2.539597280363954,7.166400909423828,70.99684143066406,6.600000165402889,6.600000165402889,0.2658998196602462,0.2644646583866182,map_tf,controller_log,0.293,1547,1021,16,455,921,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed9
gmpc_cbf,scan_seed10,True,57.983861684799194,60.57684516906738,11.660685431419964,0.053302317466888315,0.09990307574742333,0.06880241966427783,0.2522721518500835,0.8002499189792849,0.6003643316943775,1.2011793759019849,0.014491656227863192,0,False,gt_pose+static,4.287614929678695,29.960102462768326,65.7081069946289,6.600000165402889,6.600000165402889,0.2797782573726394,0.27844259474156474,map_tf,controller_log,0.296,1808,1252,40,533,1129,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed10
