method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
gmpc_cbf,scan_seed1,True,151.91285872459412,154.51300978660583,35.012175529623846,0.06557961259598498,0.07099632915145697,0.07103118713068172,0.23543768294825915,0.7977528200300723,0.5998250399769095,1.2016782507118509,0.06400549446402592,0,False,gt_pose+static,2.474001830813806,26.566739654541003,106.89338684082031,17.000000275671482,17.000000275671482,0.25692048510834503,0.2556795433299571,map_tf,controller_log,0.297,3910,3120,52,1309,3025,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed1
gmpc_cbf,scan_seed2,True,156.29043006896973,158.89019322395325,36.15125146539428,0.07147398046845804,0.07814833931520782,0.07654329783955151,0.27631116018309054,0.7985638467095886,0.6004174273649046,1.201813833448342,0.016675521923759706,0,False,gt_pose+static,2.5985415277648682,27.643511295318604,45.684024810791016,17.000000275671482,17.000000275671482,0.26441349183045876,0.26312456272131235,map_tf,controller_log,0.294,4015,3216,53,1326,3126,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed2
gmpc_cbf,scan_seed3,True,160.82312560081482,163.4232211112976,36.215104337496136,0.07822473216537433,0.08291662687087156,0.07948566824831248,0.27346012173638207,0.7995927977592082,0.6003619948279912,1.201679298395736,0.04326780096474564,0,False,gt_pose+static,3.162206999061547,30.81335706710812,45.49755859375,17.000000275671482,17.000000275671482,0.2586810749526707,0.25723543716598435,map_tf,controller_log,0.289,4135,3297,55,1375,3218,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed3
gmpc_cbf,scan_seed4,True,146.6446499824524,149.3649365901947,33.91420657546135,0.0738388659425492,0.06351433528233322,0.07255812391533516,0.24960821790217297,0.7986597590543567,0.5999802236158519,1.2029634200586043,0.050000000000000044,0,False,gt_pose+static,2.254476101831357,21.529501533508228,45.11708450317383,17.000000275671482,17.000000275671482,0.2567533747822806,0.2551347649716329,map_tf,controller_log,0.292,3743,3000,98,1265,2939,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed4
gmpc_cbf,scan_seed5,True,181.3425440788269,184.0623700618744,41.12216260400899,0.10318404138112762,0.09985236594628343,0.07902526028878333,0.26354103767518966,0.799810124396079,0.6000384889951682,1.2007874896433257,5.551115123125783e-17,0,False,gt_pose+static,3.2429508814955788,30.518645095825185,51.41935348510742,17.000000275671482,17.000000275671482,0.2610203240785846,0.25960787202276764,map_tf,controller_log,0.291,4620,3706,61,1608,3628,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed5
gmpc_cbf,scan_seed6,True,177.08139872550964,179.68152046203613,40.59745274060575,0.09937557664346984,0.10064240506598789,0.08905629156499469,0.25084726372747396,0.8001820175644849,0.6006375406358735,1.2036784732774668,-0.032500292039614076,1,True,gt_pose+static,3.173416564582633,29.509329795837402,46.35676193237305,17.000000275671482,17.000000275671482,0.2576073864052614,0.2563182625941942,map_tf,controller_log,0.292,4539,3631,60,1502,3539,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed6
gmpc_cbf,scan_seed7,True,209.24055337905884,211.88031387329102,48.468747152455656,0.13415925655193267,0.11674884394761458,0.09959096007161104,0.26730131016796077,0.8004034168344214,0.6006714037434125,1.201680182817282,0.00033464926334297873,0,False,gt_pose+static,4.491942227828531,31.584151458740234,49.638397216796875,17.000000275671482,17.000000275671482,0.25598305301426855,0.25444350119357995,map_tf,controller_log,0.3,5325,4232,138,1828,4185,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed7
gmpc_cbf,scan_seed8,True,181.50637555122375,184.26659727096558,41.072374561249916,0.1038075226158994,0.09612187293754715,0.08948449943662459,0.2526389056677458,0.7997466886800932,0.6000867015233696,1.2007706819687147,-0.005149118226867977,1,True,gt_pose+static,3.094920071737598,30.396464538574204,43.00413513183594,17.000000275671482,17.000000275671482,0.2630045821871932,0.2617146853202863,map_tf,controller_log,0.295,4624,3620,61,1531,3633,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed8
gmpc_cbf,scan_seed9,False,nan,247.56089067459106,58.85899231193244,0.10800620473834022,0.15974974481318163,0.11719648047844805,0.28117205352498503,0.8012067143593276,0.601151767980112,1.2018119786041845,-0.09999999999999998,28,True,gt_pose+static,8.75662629675084,33.07776756286621,43.60859680175781,17.000000275671482,17.000000275671482,3.8300894402435883,3.8300894402435883,map_tf,none,nan,6237,4987,73,2030,4952,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed9
gmpc_cbf,scan_seed10,True,187.0066421031952,189.76629781723022,43.03372211620749,0.1014624933253836,0.11311917119011837,0.09910474970529813,0.3110342270533636,0.8015502339245044,0.6016400437727973,1.2039406513027928,-0.09414547159194508,2,True,gt_pose+static,4.8334612921477795,32.08212661743164,45.029388427734375,17.000000275671482,17.000000275671482,0.2554075599657761,0.25399370052289205,map_tf,controller_log,0.298,4789,3817,63,1554,3741,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed10
