method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
gmpc_cbf,scan_seed1,True,46.48459792137146,49.09014058113098,10.472285336562013,0.03131741876308172,0.05279388872967933,0.04937011309405024,0.27313992004769205,0.6527304564849683,0.35522228597856936,1.2017451283521874,0.2,0,False,gt_pose+static,0.5307927898242013,0.8095069766044615,36.21210861206055,6.600000165402889,6.600000165402889,0.2633549293658337,0.2622509126315332,map_tf,controller_log,0.296,1469,969,16,390,917,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed1
gmpc_cbf,scan_seed2,True,46.73436498641968,49.317237854003906,10.442761689016741,0.028128878037775373,0.06546605157662372,0.04225081122651272,0.2393540349199729,0.6891409652100885,0.29105023288983795,1.2005280349640608,0.10279767468926143,0,False,gt_pose+static,0.6396438759243166,0.7712324023246765,40.8477897644043,6.600000165402889,6.600000165402889,0.27543336860039147,0.2743070517657364,map_tf,controller_log,0.3,1497,1002,17,438,925,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed2
gmpc_cbf,scan_seed3,True,47.512548208236694,50.09987759590149,10.804955790251267,0.04102634344466,0.06970570208722351,0.06610897626510084,0.2787958742372955,0.7997370177827773,0.5998002589003204,1.2010229977539042,0.2,0,False,gt_pose+static,1.446319128623994,2.4473550796508783,47.05730438232422,6.600000165402889,6.600000165402889,0.26789558838188654,0.2667642396546151,map_tf,controller_log,0.298,1492,1029,16,397,934,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed3
gmpc_cbf,scan_seed4,True,45.75744581222534,48.513418674468994,10.444022491336597,0.03364144429874155,0.07576968905206843,0.050437058977584305,0.22135353718274825,0.6711829234206586,0.49786834589309104,1.2003157359467933,0.1949747468305833,0,False,gt_pose+static,1.048665526999973,0.7602463096380233,42.27448272705078,6.600000165402889,6.600000165402889,0.2695213480172836,0.2681182741288495,map_tf,controller_log,0.292,1504,1047,16,365,908,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed4
gmpc_cbf,scan_seed5,True,45.50624871253967,48.107423305511475,10.273326401183375,0.030050039462677022,0.059665347023607526,0.04755705758684511,0.24342569665690728,0.6537134938936765,0.29378805120421203,1.2010203961764565,0.1301162633521314,0,False,gt_pose+static,0.6877606902230025,0.713018289208412,43.697181701660156,6.600000165402889,6.600000165402889,0.2784556352242502,0.2772534515687583,map_tf,controller_log,0.299,1441,982,32,369,898,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed5
gmpc_cbf,scan_seed6,True,46.457900285720825,49.137107610702515,10.52942247052823,0.03133825354238578,0.06630630764057026,0.05047788633262916,0.24620054608554293,0.6621267804405019,0.3669078781179616,1.2007111049516999,0.1949747468305833,0,False,gt_pose+static,0.8323651262446509,0.7422623872756954,48.77259063720703,6.600000165402889,6.600000165402889,0.2631469137076025,0.2616945291338798,map_tf,controller_log,0.286,1534,1025,16,386,919,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed6
gmpc_cbf,scan_seed7,True,46.29404282569885,48.916128396987915,10.63024876811285,0.032076352275557496,0.06716127986912598,0.05278748024593593,0.2453561125527636,0.715707439885267,0.5173031806300434,1.2007371856761486,0.1949747468305833,0,False,gt_pose+static,0.9980952632132111,0.7761133909225448,45.962669372558594,6.600000165402889,6.600000165402889,0.27116519115562465,0.2699104318327137,map_tf,controller_log,0.292,1476,1005,32,367,919,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed7
gmpc_cbf,scan_seed8,True,46.11051821708679,48.72163510322571,10.439434845135496,0.030280885997381064,0.060648748543156994,0.049882418928673206,0.22994933647513557,0.6790695563875909,0.38436936999286003,1.2005404307631056,0.1949747468305833,0,False,gt_pose+static,0.7681708869357664,0.9392279982566833,48.55058670043945,6.600000165402889,6.600000165402889,0.25940462401008474,0.25825710241383726,map_tf,controller_log,0.292,1489,994,16,373,911,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed8
gmpc_cbf,scan_seed9,True,46.7126841545105,49.3047993183136,10.253403581532485,0.030582795818913044,0.054524991988123106,0.04610757450402188,0.22008237852705562,0.7005485702554453,0.4947120843404076,1.200406815780054,0.1949747468305833,0,False,gt_pose+static,1.1604159284140105,1.1828946948051444,47.4086799621582,6.600000165402889,6.600000165402889,0.2625928217528009,0.26115610900326197,map_tf,controller_log,0.285,1395,967,16,376,920,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed9
gmpc_cbf,scan_seed10,True,48.01054525375366,50.71849036216736,10.878183232401865,0.058144949627968234,0.078821514663886,0.06389226280830976,0.254306714940146,0.7991524047370455,0.5998761519067605,1.2008070555602424,0.2,0,False,gt_pose+static,1.4221957381165644,2.270696163177474,48.59379577636719,6.600000165402889,6.600000165402889,0.2850564222710539,0.2830177778205589,map_tf,controller_log,0.3,1525,1052,17,409,947,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed10
