step,t,base_x,base_y,base_z,base_yaw_deg,cmd_joint1,cmd_joint2,cmd_joint3,cmd_joint4,cmd_joint5,cmd_joint6,q_joint1,q_joint2,q_joint3,q_joint4,q_joint5,q_joint6,qd_joint1,qd_joint2,qd_joint3,qd_joint4,qd_joint5,qd_joint6,meff_joint1,meff_joint2,meff_joint3,meff_joint4,meff_joint5,meff_joint6
0,10.49000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021201,1.051748633,1.724584699,0.000450185,-0.894474685,-1.570633531,0.000096543,-0.015478895,0.006047239,-0.004334049,-0.005908730,-0.001670612,0.000010,-14.337555,6.113463,0.274909,-0.536142,0.067335
1,10.50000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021201,1.051748753,1.724584818,0.000450186,-0.894474566,-1.570633650,0.000096561,-0.015479157,0.006047513,-0.004334440,-0.005933860,-0.001684253,0.000011,-14.337608,6.113489,0.274909,-0.536145,0.067335
2,10.51000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021202,1.051748872,1.724584937,0.000450187,-0.894474566,-1.570633531,0.000096538,-0.015479316,0.006048011,-0.004335109,-0.005906783,-0.001669573,0.000009,-14.337572,6.113470,0.274910,-0.536143,0.067335
3,10.52000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021202,1.051748991,1.724585056,0.000450187,-0.894474387,-1.570633411,0.000096620,-0.015479587,0.006047340,-0.004334047,-0.005938646,-0.001686739,0.000011,-14.337589,6.113480,0.274910,-0.536143,0.067335
4,10.53000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021203,1.051749110,1.724585176,0.000450175,-0.894473672,-1.570633054,0.000096855,-0.015480060,0.006043820,-0.004328996,-0.005923583,-0.001678366,0.000012,-14.337496,6.113421,0.274909,-0.536137,0.067335
5,10.54000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021204,1.051749229,1.724585295,0.000450171,-0.894473553,-1.570632815,0.000094680,-0.015486373,0.006073385,-0.004380351,-0.004418590,-0.000869620,0.000010,-14.337661,6.113523,0.274909,-0.536149,0.067335
6,10.55000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021205,1.051749349,1.724585414,0.000450167,-0.894473433,-1.570632696,0.000094680,-0.015486537,0.006073548,-0.004380784,-0.004418531,-0.000869643,0.000010,-14.337587,6.113480,0.274910,-0.536144,0.067335
7,10.56000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021205,1.051749468,1.724585533,0.000450160,-0.894473314,-1.570632458,0.000094719,-0.015486803,0.006073257,-0.004380328,-0.004421304,-0.000871138,0.000011,-14.337578,6.113472,0.274909,-0.536143,0.067335
8,10.57000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021206,1.051749587,1.724585652,0.000450155,-0.894473076,-1.570632219,0.000094748,-0.015487112,0.006073084,-0.004380197,-0.004418701,-0.000869772,0.000011,-14.337582,6.113475,0.274910,-0.536143,0.067335
9,10.58000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021207,1.051749706,1.724585772,0.000450150,-0.894472897,-1.570631981,0.000096704,-0.015481204,0.006047707,-0.004334973,-0.005897766,-0.001664802,0.000009,-14.337595,6.113484,0.274909,-0.536144,0.067335
10,10.59000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021207,1.051749825,1.724585891,0.000450153,-0.894473016,-1.570632696,0.000096693,-0.015481202,0.006048447,-0.004335873,-0.005943954,-0.001689787,0.000010,-14.337622,6.113498,0.274909,-0.536146,0.067335
11,10.60000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021207,1.051749945,1.724586010,0.000450152,-0.894472897,-1.570632577,0.000096745,-0.015481412,0.006047968,-0.004334749,-0.005908198,-0.001670061,0.000010,-14.337553,6.113457,0.274910,-0.536141,0.067335
12,10.61000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021207,1.051750064,1.724586129,0.000450155,-0.894472957,-1.570632935,0.000096748,-0.015481709,0.006048644,-0.004335570,-0.005937858,-0.001686104,0.000011,-14.337626,6.113502,0.274910,-0.536146,0.067335
13,10.62000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021208,1.051750064,1.724586248,0.000450154,-0.894472837,-1.570632815,0.000096806,-0.015481989,0.006047944,-0.004334450,-0.005902101,-0.001666609,0.000010,-14.337550,6.113455,0.274910,-0.536141,0.067335
