name,seed,rep,cond,stop,arrived,arrival_time_s,path_m,ang_med,ang_lt15,turn_abs_deg,old_disc_min,old_disc_who,full_sdf_min,full_sdf_who,exec_min,exec_who,t_exec_min,d_exec_lt_050,d_exec_lt_020,d_exec_lt_005,delta_old,delta_full,n_samples
isaac_bigarena_gmpc_scan__seed10__c10_s10_r1_off_050145,10,r1,off,task_timeout,False,,19.203350000878345,142.93957541614492,0.0,12.625581443350912,0.2870088609879658,dyn_obs_8,0.43204393499144905,dyn_obs_8,0.43204393499144905,dyn_obs_8,22.999999485961467,0,0,0,0.14503507400348326,0.0,3597
isaac_bigarena_gmpc_scan__seed10__c10_s10_r2_off_052525,10,r2,off,goal_reached_truth,True,99.02999778650701,19.270488972647996,144.0300881411072,0.0,12.499814763981284,0.23999675566857742,dyn_obs_8,0.42353082791071656,dyn_obs_8,0.42353082791071656,dyn_obs_8,23.399999477309137,0,0,0,0.18353407224213913,0.0,1979
isaac_bigarena_gmpc_scan__seed18__c10_s18_r1_off_044217,18,r1,off,goal_reached_truth,True,67.95999848097563,15.298680181081567,151.24096912898327,0.0,14.404844219829902,0.06291279542424427,dyn_obs_3,0.06291279542424427,dyn_obs_3,0.06291279542424427,dyn_obs_3,26.529999407165178,0,0,0,0.0,0.0,1357
isaac_bigarena_gmpc_scan__seed18__c10_s18_r2_off_045627,18,r2,off,goal_reached_truth,True,68.24999847449362,15.289931856751787,151.66921291788924,0.0,14.790441127331455,0.062256334031200844,dyn_obs_3,0.062256334031200844,dyn_obs_3,0.062256334031200844,dyn_obs_3,26.419999409444927,0,0,0,0.0,0.0,1362
isaac_bigarena_gmpc_scan__seed20__c10_s20_r1_off_064302,20,r1,off,goal_reached_truth,True,73.31999836117029,16.313626184088527,68.01071375815096,2.800546448087432,11.380556874780588,0.26336703578882764,dyn_obs_8,0.39968294086896067,dyn_obs_8,0.39968294086896067,dyn_obs_8,72.34999838237559,0,0,0,0.13631590508013303,0.0,1466
isaac_bigarena_gmpc_scan__seed20__c10_s20_r2_off_065821,20,r2,off,goal_reached_truth,True,73.54999835602939,16.28397759086151,71.57492514640921,1.5678254942058625,10.77359637249561,0.3354337807346131,dyn_obs_8,0.44105648760456534,dyn_obs_8,0.44105648760456534,dyn_obs_8,72.61999837688452,0,0,0,0.10562270686995223,0.0,1469
isaac_bigarena_gmpc_scan__seed23__c10_s23_r1_off_062100,23,r1,off,goal_reached_truth,True,75.84999830462039,17.234387962590336,125.63367458144629,0.0,11.049124798787043,0.15297624807831994,dyn_obs_4,0.24059864114969515,dyn_obs_1,0.24059864114969515,dyn_obs_1,72.70999837432282,0,0,0,0.0876223930713752,0.0,1516
isaac_bigarena_gmpc_scan__seed23__c10_s23_r2_off_063736,23,r2,off,goal_reached_truth,True,76.19999829679728,17.111181410258876,126.35613061034977,0.0,12.298091341984314,0.12843613587330943,dyn_obs_1,0.1978121030221957,dyn_obs_1,0.1978121030221957,dyn_obs_1,73.51999835621689,0,0,0,0.06937596714888628,0.0,1524
isaac_bigarena_gmpc_scan__seed27__c10_s27_r1_off_042108,27,r1,off,goal_reached_truth,True,71.61999839916825,15.9191201064924,66.64061543589389,0.0,15.032789836014006,0.059462938858980297,dyn_obs_1,0.10305379194631142,dyn_obs_1,0.10305379194631142,dyn_obs_1,22.069999507179006,0,0,0,0.04359085308733113,0.0,1431
isaac_bigarena_gmpc_scan__seed27__c10_s27_r2_off_043644,27,r2,off,goal_reached_truth,True,72.20999838598073,15.928821855014233,66.71025908224986,0.4857737682165163,14.13441934384631,0.06432061796307326,dyn_obs_1,0.0861501577213395,dyn_obs_1,0.0861501577213395,dyn_obs_1,23.18999948139978,0,0,0,0.021829539758266236,0.0,1443
