run,seed,rep,cond,obs,c_min,t_min,pre_vyb,pre_ang,core_vyb,core_ang,post_vyb,post_ang
isaac_bigarena_gmpc_scan__seed13__b5_s13_off_163419,13,x,off,dyn_obs_5,0.2043045240821451,27.829999377773504,0.15801190835170423,46.06050117503481,0.17206584063934716,51.086445361550105,0.21007280041572074,74.55614200139598
isaac_bigarena_gmpc_scan__seed1__r2_s1_off_173052,1,x,off,dyn_obs_1,0.19956483558018084,73.30999836124315,0.13359831438578193,142.20600554435262,0.17589029946831602,128.89426262051177,0.16231612760461184,132.29307703822812
isaac_bigarena_gmpc_scan__seed1__r2_s1_off_173052,1,x,off,dyn_obs_4,0.4761018208351799,32.45999927424313,0.18110194640804134,125.73753921772331,0.169909624079336,127.68194862472777,0.11920658299842407,154.1866343289225
isaac_bigarena_gmpc_scan__seed1__r2_s1_off_173052,1,x,off,dyn_obs_7,0.40857900487453197,34.809999222243135,0.16571773148499055,133.33715289645053,0.0849871356825803,157.69897727016823,0.15416654370356073,137.68622180247726
isaac_bigarena_gmpc_scan__seed1__r3_s1_off_173646,1,x,off,dyn_obs_1,0.20477134355733045,73.36999836036202,0.144669218526671,141.30640209550788,0.18710157170721317,124.99147433011956,0.17092585638290825,130.82262069323156
isaac_bigarena_gmpc_scan__seed1__r3_s1_off_173646,1,x,off,dyn_obs_4,0.4613418207154178,32.61999927136202,0.19677663765443237,122.91342210039849,0.1772119284723876,126.77997891412382,0.10698688083128084,151.46680839926486
isaac_bigarena_gmpc_scan__seed1__r3_s1_off_173646,1,x,off,dyn_obs_7,0.4154098406899354,34.969999218362005,0.16376669524795076,133.9850006083776,0.09327333587508263,155.10047873905592,0.1552275169804612,135.30231222013435
isaac_bigarena_gmpc_scan__seed1__v2_off_093455,1,x,off,dyn_obs_1,0.19205307930793847,73.39999835932764,0.1252987881736896,144.36829139415715,0.17582106633315414,127.85758485815943,0.1812873401054032,127.73531412541828
isaac_bigarena_gmpc_scan__seed1__v2_off_093455,1,x,off,dyn_obs_4,0.4852839512389628,32.24999927932765,0.1755501416293353,130.1619204227523,0.17145474554924162,129.18125104486074,0.10081586085868749,153.37311802461684
isaac_bigarena_gmpc_scan__seed1__v2_off_093455,1,x,off,dyn_obs_7,0.40492365923526435,34.699999224327655,0.16713651390030135,130.70445566046857,0.08579250249829412,158.2062154197069,0.15833681747731954,137.274827164067
