name,seed,rep,cond,stop,arrived,arrival_time_s,path_m,ang_med,ang_lt15,turn_abs_deg,old_disc_min,old_disc_who,full_sdf_min,full_sdf_who,exec_min,exec_who,t_exec_min,d_exec_lt_050,d_exec_lt_020,d_exec_lt_005,delta_old,delta_full,n_samples
isaac_bigarena_gmpc_scan__seed13__b5_s13_off_163419,13,x,off,task_timeout,False,,13.953321510611953,45.40478112028914,14.20590582601756,13.016420690831435,0.05335724575798856,dyn_obs_2,0.2043045240821451,dyn_obs_5,0.2043045240821451,dyn_obs_5,27.829999377773504,0,0,0,0.15094727832415655,0.0,3597
isaac_bigarena_gmpc_scan__seed1__r2_s1_off_173052,1,x,off,goal_reached_truth,True,78.78999823890626,17.69957392406649,127.93531169431148,0.0,10.037634772060585,0.11209414464580442,dyn_obs_4,0.19956483558018084,dyn_obs_1,0.19956483558018084,dyn_obs_1,73.30999836124315,0,0,0,0.08747069093437643,0.0,1576
isaac_bigarena_gmpc_scan__seed1__r3_s1_off_173646,1,x,off,goal_reached_truth,True,78.86999823711812,17.75069640630387,126.28771542076744,0.0,10.844636206422704,0.09782709300182729,dyn_obs_4,0.20477134355733045,dyn_obs_1,0.20477134355733045,dyn_obs_1,73.36999836036202,0,0,0,0.10694425055550316,0.0,1576
isaac_bigarena_gmpc_scan__seed1__v2_off_093455,1,x,off,goal_reached_truth,True,78.62999824248254,17.732530989957475,126.8109390856958,0.0,12.38522067289377,0.11949167197922234,dyn_obs_4,0.19205307930793847,dyn_obs_1,0.19205307930793847,dyn_obs_1,73.39999835932764,0,0,0,0.07256140732871613,0.0,1571
isaac_bigarena_gmpc_scan__seed24__b5_s24_off_165529,24,x,off,goal_reached_truth,True,109.11999756097794,24.677725705425395,123.66121450758789,0.0,31.997953288553195,0.08285973951053505,dyn_obs_9,0.08285973951053505,dyn_obs_9,0.08285973951053505,dyn_obs_9,88.71999801695097,0,0,0,0.0,0.0,2182
isaac_bigarena_gmpc_scan__seed7__b5_s7_off_161259,7,x,off,goal_reached_truth,True,98.61999779567122,22.298184702889483,55.23716152054624,4.667681380010147,29.599435995017952,0.1494547663203029,dyn_obs_5,0.16197739467839078,dyn_obs_5,0.16197739467839078,dyn_obs_5,35.319999210418246,0,0,0,0.012522628358087873,0.0,1973
isaac_bigarena_gmpc_scan__seed8__b5_s8_off_162908,8,x,off,goal_reached_truth,True,86.81999805942178,19.373759547843555,88.16996913072168,5.360230547550432,17.731293602552334,0.08629971703647349,dyn_obs_4,0.6150816791737417,dyn_obs_4,0.6150816791737417,dyn_obs_4,54.969998771358945,0,0,0,0.5287819621372682,0.0,1737
isaac_bigarena_gmpc_scan__seed8__r2_s8_off_174711,8,x,off,goal_reached_truth,True,87.16999805159867,19.401676312809965,88.13676534235299,5.060379528464635,16.533712519352836,0.08950178793351032,dyn_obs_4,0.6328804888901667,dyn_obs_4,0.6328804888901667,dyn_obs_4,68.84999846157794,0,0,0,0.5433787009566564,0.0,1741
isaac_bigarena_gmpc_scan__seed8__r3_s8_off_181023,8,x,off,goal_reached_truth,True,87.12999805249274,19.292727008503512,87.41338748821096,4.370327774583094,16.655075612656304,0.06795526376173472,dyn_obs_4,0.6159530662504185,dyn_obs_4,0.6159530662504185,dyn_obs_4,69.00999845746813,0,0,0,0.5479978024886838,0.0,1741
isaac_bigarena_gmpc_scan_heading__seed13__b5_s13_on_164143,13,x,on,task_timeout,False,,13.840353298951282,10.447809725648563,71.72034564021995,359.24976468411194,0.04638669847988114,dyn_obs_2,0.2682151368825803,dyn_obs_5,0.2682151368825803,dyn_obs_5,27.46999938614843,0,0,0,0.22182843840269917,0.0,3599
isaac_bigarena_gmpc_scan_heading__seed1__r2_s1_on_172515,1,x,on,goal_reached_truth,True,80.2599982060492,17.762849571399265,8.249399671788755,70.95959595959596,351.75141667141435,0.05362656903343194,dyn_obs_4,0.08963660604023982,dyn_obs_1,0.08963660604023982,dyn_obs_1,73.9099983476224,0,0,0,0.03601003700680788,0.0,1603
isaac_bigarena_gmpc_scan_heading__seed1__r3_s1_on_174149,1,x,on,goal_reached_truth,True,80.33999820426106,17.75337539411718,8.185093312845806,72.90485192186516,354.76288097689184,0.04959654569739752,dyn_obs_4,0.10800840315116778,dyn_obs_1,0.10800840315116778,dyn_obs_1,73.93999834701117,0,0,0,0.058411857453770255,0.0,1606
isaac_bigarena_gmpc_scan_heading__seed1__v2_on_154856,1,x,on,goal_reached_truth,True,80.42999820224941,17.743503374982758,8.248656957742519,71.14051669817265,354.95451501294383,0.052402651254652766,dyn_obs_4,0.09018809829566987,dyn_obs_1,0.09018809829566987,dyn_obs_1,73.95999834694032,0,0,0,0.037785447041017106,0.0,1607
isaac_bigarena_gmpc_scan_heading__seed24__b5_s24_on_164932,24,x,on,goal_reached_truth,True,116.18999740295112,25.482602864863114,12.596546283961906,57.011393514461,725.1775922021261,0.10262027459919298,dyn_obs_9,0.10262027459919298,dyn_obs_9,0.10262027459919298,dyn_obs_9,91.5099979541643,0,0,0,0.0,0.0,2322
isaac_bigarena_gmpc_scan_heading__seed7__b5_s7_on_161817,7,x,on,goal_reached_truth,True,100.2999977581203,22.290713818690058,11.522604824720602,63.38661338661339,539.1310289266424,0.14383577816576015,dyn_obs_5,0.1586108250837726,dyn_obs_5,0.1586108250837726,dyn_obs_5,37.10999917043634,0,0,0,0.014775046918012458,0.0,2004
isaac_bigarena_gmpc_scan_heading__seed8__b5_s8_on_162400,8,x,on,goal_reached_truth,True,90.0799979865551,19.801565525029194,13.11780922495754,54.56071628427532,627.3343505899644,0.4204095071225387,dyn_obs_4,0.9551330563617397,dyn_obs_4,0.9551330563617397,dyn_obs_4,72.89999837027429,0,0,0,0.5347235492392011,0.0,1801
isaac_bigarena_gmpc_scan_heading__seed8__r2_s8_on_175219,8,x,on,goal_reached_truth,True,89.2199980057776,19.512730114697067,11.709613146649263,59.31537598204265,613.5839981958503,0.37586635481969505,dyn_obs_4,0.9178900462441659,dyn_obs_4,0.9178900462441659,dyn_obs_4,72.21999838572921,0,0,0,0.5420236914244709,0.0,1784
isaac_bigarena_gmpc_scan_heading__seed8__r3_s8_on_175812,8,x,on,goal_reached_truth,True,89.28999800421298,19.554062113648534,12.350983588384489,56.14035087719298,593.9425312404943,0.35691117129781796,dyn_obs_4,0.8957262277270834,dyn_obs_4,0.8957262277270834,dyn_obs_4,72.14999838774872,0,0,0,0.5388150564292655,0.0,1784
