t,raw_deg,ref_deg,yaw_ctrl_deg
81.510,90.001,90.001,-0.000
81.560,90.001,90.001,0.000
81.610,90.001,90.001,0.000
81.660,90.149,90.149,0.000
81.710,90.380,90.380,3.884
81.760,90.384,90.384,5.628
81.810,88.123,88.123,12.507
81.860,87.995,87.995,16.390
81.910,87.995,87.995,18.337
81.960,87.997,87.997,20.266
82.010,88.080,88.080,25.701
82.060,90.442,90.442,27.542
82.110,90.340,90.340,31.020
82.160,90.356,90.356,32.749
82.210,90.387,90.387,36.137
82.260,90.386,90.386,36.200
82.310,89.924,89.924,42.525
82.360,89.933,89.933,45.627
82.410,92.269,92.269,47.143
82.460,92.271,92.271,48.602
82.510,92.858,92.858,51.102
82.560,92.850,92.850,52.471
82.610,92.624,92.624,56.481
82.660,92.597,92.597,57.785
82.710,92.892,92.892,60.311
82.760,92.846,92.846,61.497
82.810,92.730,92.730,63.739
82.860,92.660,92.660,64.805
82.910,92.083,92.083,67.668
82.960,91.988,91.988,68.657
83.010,91.769,91.769,70.507
83.060,91.812,91.812,71.395
83.110,91.539,91.539,73.227
83.160,91.417,91.417,74.014
83.210,90.932,90.932,76.341
83.260,90.825,90.825,77.051
83.310,90.613,90.613,78.432
83.360,90.588,90.588,79.038
83.410,90.228,90.228,79.982
83.460,90.170,90.170,80.490
83.510,90.022,90.022,81.888
83.560,89.983,89.983,82.309
83.610,89.934,89.934,83.040
83.660,89.815,89.815,83.387
83.710,89.775,89.775,84.051
83.760,89.757,89.757,84.368
83.810,89.735,89.735,85.161
83.860,89.573,89.573,85.402
83.910,89.619,89.619,85.761
83.960,89.618,89.618,85.959
84.010,89.616,89.616,86.336
84.060,89.900,89.900,86.810
84.110,89.900,89.900,86.960
84.160,89.901,89.901,87.222
84.210,89.901,89.901,87.348
84.260,89.901,89.901,87.464
84.310,89.804,89.804,87.689
84.360,89.803,89.803,87.790
84.410,89.668,89.668,87.836
84.460,89.667,89.667,87.923
84.510,89.510,89.510,88.084
84.560,89.511,89.511,88.158
84.610,89.515,89.515,88.295
84.660,89.517,89.517,88.357
84.710,89.274,89.274,88.530
84.760,89.277,89.277,88.632
84.810,89.278,89.278,88.672
84.860,89.279,89.279,88.711
84.910,89.247,89.247,88.848
84.960,89.246,89.246,88.881
85.010,88.859,88.859,88.961
85.060,91.513,91.513,88.982
85.110,91.535,91.535,89.019
85.160,91.546,91.546,89.029
85.210,90.926,90.926,89.082
85.260,90.846,90.846,89.145
85.310,90.538,90.538,89.358
85.360,90.419,90.419,89.434
85.410,90.193,90.193,89.561
85.460,89.330,89.330,89.628
85.510,89.090,89.090,89.745
85.560,88.978,88.978,89.794
85.610,88.662,88.662,89.873
85.660,88.561,88.561,89.889
85.710,87.486,87.486,89.908
85.760,87.391,87.391,89.911
85.810,87.235,87.235,89.879
85.860,87.162,87.162,89.859
85.910,86.447,86.447,89.668
85.960,86.395,86.395,89.602
86.010,86.296,86.296,89.461
86.060,89.872,89.161,89.376
86.110,89.809,89.809,89.200
86.160,89.453,89.453,89.103
86.210,89.365,89.365,88.876
86.260,89.340,89.340,88.840
86.310,89.294,89.294,88.802
86.360,89.275,89.275,88.795
86.410,88.283,88.283,88.924
86.460,88.262,88.262,88.930
86.510,88.219,88.219,88.949
86.560,88.212,88.212,88.947
86.610,88.213,88.213,88.927
86.660,87.552,87.552,88.917
86.710,87.562,87.562,88.882
86.760,87.569,87.569,88.862
86.810,87.595,87.595,88.778
86.860,86.764,86.764,88.742
86.910,86.519,86.519,88.728
86.960,86.519,86.519,88.688
87.010,86.518,86.518,88.658
87.060,91.152,89.382,88.604
87.110,90.699,90.699,88.347
87.160,90.722,90.722,88.279
87.210,90.664,90.664,88.217
87.260,90.599,90.599,88.229
87.310,89.673,89.673,88.309
87.360,89.571,89.571,88.368
87.410,89.011,89.011,88.532
87.460,88.896,88.896,88.597
87.510,88.680,88.680,88.711
87.560,87.695,87.695,88.758
87.610,87.511,87.511,88.831
87.660,87.430,87.430,88.856
87.710,87.195,87.195,88.893
87.760,86.226,86.226,88.883
87.810,86.091,86.091,88.850
87.860,85.941,85.941,88.763
87.910,85.888,85.888,88.710
87.960,85.841,85.841,88.644
88.010,84.953,84.953,88.420
88.060,91.443,87.818,88.337
88.110,91.446,90.683,88.164
88.160,91.446,91.446,88.066
88.210,91.346,91.346,87.938
88.260,90.680,90.680,87.929
88.310,90.363,90.363,88.074
88.360,90.249,90.249,88.142
88.410,89.594,89.594,88.532
88.460,88.733,88.733,88.615
88.510,88.495,88.495,88.781
88.560,88.378,88.378,88.863
88.610,88.102,88.102,89.027
88.660,88.026,88.026,89.057
88.710,86.985,86.985,89.086
88.760,86.930,86.930,89.086
88.810,86.829,86.829,89.074
88.860,86.789,86.789,89.042
88.910,85.716,85.716,88.752
88.960,85.682,85.682,88.696
89.010,85.620,85.620,88.578
89.060,86.492,86.492,88.501
89.110,86.445,86.445,88.339
89.160,85.379,85.379,88.254
89.210,85.186,85.186,88.010
89.260,85.071,85.071,87.943
89.310,84.793,84.793,87.800
89.360,84.641,84.641,87.724
89.410,83.018,83.018,87.250
89.460,82.865,82.865,87.168
89.510,82.423,82.423,86.896
89.560,82.282,82.282,86.793
89.610,81.056,81.056,86.551
89.660,80.940,80.940,86.425
89.710,80.730,80.730,86.157
89.760,80.627,80.627,86.006
89.810,79.482,79.482,85.513
89.860,79.110,79.110,85.480
89.910,79.023,79.023,85.307
89.960,78.935,78.935,85.124
90.010,78.767,78.767,84.747
90.060,79.562,79.562,84.552
90.110,78.729,78.729,83.942
90.160,78.672,78.672,83.737
90.210,78.469,78.469,83.365
90.260,78.332,78.332,83.187
90.310,78.031,78.031,82.838
90.360,77.861,77.861,82.674
90.410,77.415,77.415,82.249
90.460,77.232,77.232,82.091
90.510,76.861,76.861,81.779
90.560,76.183,76.183,81.623
90.610,75.857,75.857,81.310
90.660,75.706,75.706,81.152
90.710,75.251,75.251,80.651
90.760,75.109,75.109,80.477
90.810,74.456,74.456,80.127
90.860,74.230,74.230,79.378
90.910,74.119,74.119,79.201
90.960,74.008,74.008,79.024
91.010,73.381,73.381,78.485
91.060,73.277,73.277,78.310
91.110,73.074,73.074,77.961
91.160,72.969,72.969,77.789
91.210,72.756,72.756,77.445
91.260,72.653,72.653,77.277
91.310,72.339,72.339,76.777
91.360,72.228,72.228,76.613
91.410,72.204,72.204,76.356
91.460,72.094,72.094,76.199
91.510,71.883,71.883,75.890
91.560,71.763,71.763,75.741
91.610,71.383,71.383,75.311
91.660,71.256,71.256,75.170
91.710,71.002,71.002,74.891
91.760,70.869,70.869,74.755
91.810,70.599,70.599,74.484
91.860,70.467,70.467,74.351
91.910,69.885,69.885,73.810
91.960,69.767,69.767,73.678
92.010,69.512,69.512,73.415
92.060,69.392,69.392,73.283
92.110,69.164,69.164,73.018
92.160,69.061,69.061,72.885
92.210,68.759,68.759,72.488
92.260,68.652,68.652,72.357
92.310,68.433,68.433,72.094
92.360,68.326,68.326,71.965
92.410,68.214,68.214,71.903
92.460,68.104,68.104,71.776
92.510,67.766,67.766,71.398
92.560,67.654,67.654,71.273
92.610,67.433,67.433,71.024
92.660,67.320,67.320,70.900
92.710,67.091,67.091,70.653
92.760,66.775,66.775,70.286
92.810,66.679,66.679,70.165
92.860,66.583,66.583,70.043
92.910,67.285,67.285,69.314
92.960,67.202,67.202,69.194
93.010,67.045,67.045,68.956
93.060,66.965,66.965,68.837
93.110,66.640,66.640,68.561
93.160,66.517,66.517,68.483
93.210,66.212,66.212,68.335
93.260,66.016,66.016,68.271
93.310,65.572,65.572,68.146
93.360,65.313,65.313,68.084
93.410,64.959,64.959,68.194
93.460,64.687,64.687,68.125
93.510,64.152,64.152,67.975
93.560,63.863,63.863,67.891
93.610,63.266,63.266,67.706
93.660,62.398,62.398,67.379
93.710,62.093,62.093,67.256
93.760,61.785,61.785,67.132
93.810,61.178,61.178,66.857
93.860,60.135,60.135,66.582
93.910,59.844,59.844,66.423
93.960,59.549,59.549,66.264
94.010,58.735,58.735,65.723
