seg,step,t,cmd_joint1,cmd_joint2,cmd_joint3,cmd_joint4,cmd_joint5,cmd_joint6,q_joint1,q_joint2,q_joint3,q_joint4,q_joint5,q_joint6,qd_joint1,qd_joint2,qd_joint3,qd_joint4,qd_joint5,qd_joint6,meff_joint1,meff_joint2,meff_joint3,meff_joint4,meff_joint5,meff_joint6,aeff_joint1,aeff_joint2,aeff_joint3,aeff_joint4,aeff_joint5,aeff_joint6,grav_joint1,grav_joint2,grav_joint3,grav_joint4,grav_joint5,grav_joint6,cor_joint1,cor_joint2,cor_joint3,cor_joint4,cor_joint5,cor_joint6,base_vx,base_vy,base_vz,base_wx,base_wy,base_wz
A,0,5.09000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017071,1.053126812,1.724495530,0.000433424,-0.894473493,-1.570638418,-0.031533930,0.057811543,0.080616087,-0.069403395,-0.015814191,0.065187789,-0.232402,-13.467148,5.818024,0.255607,-0.528177,0.066248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.050301,1.810950,0.000000,0.004268,-0.004568,-0.007397,0.001802,0.002563,-0.001557,0.00882241,-0.00298010,0.01807555,0.00462782,-0.03212451,0.00170753
A,1,5.10000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000016992,1.053124070,1.724496007,0.000432642,-0.894472599,-1.570638180,0.002159774,-0.052006580,-0.045740776,-0.037851386,-0.054957036,0.048944123,-0.054502,-14.500313,6.059333,0.267615,-0.536521,0.069210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.050268,1.810368,0.000000,-0.001130,-0.001234,-0.002512,0.000352,-0.000843,0.000657,0.00305507,0.00179938,0.00595313,-0.00516447,-0.01296160,-0.00974851
A,2,5.11000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000015704,1.053136230,1.724493980,0.000435409,-0.894472957,-1.570637465,0.004368382,0.111958459,0.081981815,0.034430608,-0.051632941,-0.047424488,1.100143,-14.851795,6.310197,0.272931,-0.549658,0.065407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049950,1.812055,0.000000,0.001575,-0.006683,-0.012490,0.001190,0.000419,-0.000240,-0.00129204,0.01042353,0.02606752,0.03342679,-0.00666627,0.00476599
A,3,5.12000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017462,1.053128839,1.724494576,0.000433548,-0.894473076,-1.570637822,-0.016699808,0.051287476,0.039327633,-0.030665863,-0.076552115,0.031914063,-1.198610,-13.799672,5.984992,0.288403,-0.525427,0.068118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049911,1.810899,0.000000,0.001689,-0.004712,-0.003176,0.001602,0.000940,-0.000508,0.01062213,0.00053474,0.02378418,0.00215240,-0.01622594,0.01569462
A,4,5.13000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000018069,1.053136468,1.724494338,0.000432963,-0.894474030,-1.570638061,0.006772030,-0.002142076,-0.017720446,-0.009870187,-0.046699315,0.006040185,-0.152982,-14.690673,6.236927,0.291242,-0.530175,0.066776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049906,1.810941,0.000000,0.000168,-0.000152,-0.000399,0.000048,0.000087,-0.000058,0.00506218,0.00421543,0.01974558,-0.00191430,-0.00657843,-0.00232660
A,5,5.14000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017496,1.053129673,1.724495173,0.000433047,-0.894473016,-1.570637584,0.000436299,0.073797241,0.062801577,-0.019250683,-0.076447569,0.016477726,0.091248,-13.894201,5.995213,0.258862,-0.538680,0.067909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049786,1.810950,0.000000,-0.000319,-0.005300,-0.002638,0.002138,-0.000288,0.000293,0.00632627,-0.00039958,0.02718376,0.00134430,-0.00274875,0.01093965
A,6,5.15000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000018070,1.053139687,1.724492908,0.000434061,-0.894472897,-1.570637345,-0.009905699,-0.071913444,-0.086255409,-0.020588936,-0.080869578,0.012716209,0.055644,-15.015840,6.275572,0.293224,-0.543357,0.067295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049793,1.810941,0.000000,-0.001507,-0.003606,-0.006119,0.001108,-0.001047,0.000759,0.00286685,-0.00209668,0.01837080,-0.02317403,-0.01271246,-0.00015012
A,7,5.16000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017522,1.053129673,1.724494457,0.000433978,-0.894473076,-1.570636988,-0.019946026,0.057623103,0.043922972,-0.034148313,-0.068239771,0.030560257,0.118932,-13.836746,5.944240,0.258056,-0.532822,0.066536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049946,1.811135,0.000000,0.003208,-0.004103,-0.005230,0.001285,0.001866,-0.001125,0.00932451,0.00126073,0.02431890,0.00569902,-0.02386108,0.00639647
A,8,5.17000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000018246,1.053134561,1.724494696,0.000432176,-0.894472420,-1.570637465,-0.006572032,0.041259352,0.039505180,-0.049064368,-0.017128211,0.058587756,-0.738229,-14.537094,6.191169,0.280050,-0.530946,0.069727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049932,1.810469,0.000000,0.001135,-0.002167,-0.002184,0.000542,0.000546,-0.000302,0.01317768,0.00266879,0.02098431,0.00644517,-0.01169447,0.00940138
A,9,5.18000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017522,1.053129077,1.724495053,0.000433230,-0.894472480,-1.570637345,0.028865635,0.033367008,0.035971012,0.025371242,-0.075003371,-0.023344813,0.544605,-14.074118,6.023452,0.265213,-0.539439,0.066029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049957,1.810440,0.000000,-0.001641,-0.002931,-0.000916,0.001768,-0.000962,0.000665,0.00595989,-0.00405934,0.02145266,-0.00693671,0.00902349,0.00519734
