seed,start_x,start_y,goal_x,goal_y,straight_m
1,1.88,2.59,13.88,12.88,15.81
2,15.67,1.87,16.91,15.57,13.76
3,17.4,16.27,0.37,6.88,19.45
4,1.61,17.45,14.67,16.17,13.12
5,4.72,4.56,16.57,17.25,17.36
6,12.43,-0.5,1.29,7.32,13.61
7,11.15,16.52,4.44,4.3,13.94
8,10.83,5.46,16.96,17.36,13.39
9,12.77,-0.15,17.39,12.98,13.92
10,8.67,-0.35,12.52,13.19,14.08
11,12.42,0.5,0.28,4.49,12.78
12,17.01,16.38,8.7,1.48,17.06
13,5.85,4.24,13.94,13.76,12.49
14,12.54,14.53,0.51,0.02,18.85
15,15.82,1.95,4.13,12.83,15.97
16,4.23,0.0,17.33,4.11,13.73
17,17.18,12.39,4.31,2.54,16.21
18,12.49,14.29,-0.4,1.19,18.38
19,8.91,15.14,16.32,4.31,13.12
20,6.98,15.94,0.22,4.28,13.48
21,17.18,0.16,4.25,12.72,18.03
22,8.5,15.22,1.85,-0.43,17.0
23,17.34,15.95,3.63,4.51,17.86
24,17.31,0.41,11.85,12.39,13.17
25,1.88,2.56,9.02,14.02,13.5
26,17.26,0.48,14.84,16.45,16.15
27,12.31,-0.03,0.79,10.37,15.52
28,17.49,8.22,2.95,4.3,15.06
29,4.11,-0.09,14.25,14.18,17.51
30,4.07,0.23,6.4,12.82,12.8
31,17.22,9.01,6.63,16.55,13.0
32,16.84,0.53,13.25,13.19,13.16
33,0.33,7.98,14.9,6.49,14.65
34,17.43,14.64,8.9,2.24,15.05
35,0.59,8.16,13.02,13.5,13.53
36,1.47,17.11,0.07,0.64,16.53
37,17.25,4.6,3.56,10.06,14.74
38,6.95,16.42,11.36,4.96,12.28
39,17.43,9.43,3.55,4.24,14.82
40,2.61,-0.27,16.94,15.81,21.54
41,0.46,17.2,14.65,7.06,17.44
42,11.51,15.02,5.69,4.07,12.4
43,17.04,16.89,5.71,3.31,17.69
44,-0.22,8.32,15.19,11.38,15.71
45,17.47,17.33,12.89,4.53,13.59
46,5.38,4.44,17.11,0.84,12.27
47,16.03,1.79,1.49,4.24,14.74
48,17.3,8.3,4.54,3.92,13.49
49,12.23,0.07,-0.23,14.4,18.99
50,3.36,0.1,5.5,13.09,13.17
51,4.64,-0.47,8.7,15.5,16.48
52,13.89,-0.51,14.2,15.26,15.77
