method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
gmpc_cbf,scan_nosm_seed1,True,181.9594841003418,184.6396484375,40.194624747032876,0.08553589000199995,0.11919660465212466,0.06978917531193567,0.24546554403377055,0.5535053332394703,0.3122382633148355,0.651225087365428,0.08078865529319545,0,False,gt_pose+static,4.005255366448354,27.56198225021362,31.52813720703125,17.000000275671482,17.000000275671482,0.27029188199396575,0.268646511887627,map_tf,controller_log,0.287,5754,4581,124,1948,3640,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_nosm_seed1
gmpc_cbf,scan_nosm_seed2,True,159.20992040634155,161.92979955673218,35.6191420641797,0.0580053111405284,0.11184465656779416,0.06869079744600363,0.2577597752761448,0.5413170457448611,0.27870892908247985,0.6486183740277898,-0.030741759643274802,1,True,gt_pose+static,3.5994749002991684,26.965545082092284,31.3387508392334,17.000000275671482,17.000000275671482,0.27417101557698215,0.27288936000671943,map_tf,controller_log,0.3,5064,4054,58,1784,3184,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_nosm_seed2
gmpc_cbf,scan_nosm_seed3,True,184.01294612884521,186.81294298171997,41.61674917320694,0.09115386182959115,0.11913618285149438,0.07813966436970665,0.23719243025136855,0.5599627732303747,0.29623392053186237,0.6387958964576118,0.10000000000000003,0,False,gt_pose+static,4.066030122904439,26.781496047973633,31.84516143798828,17.000000275671482,17.000000275671482,0.2835201789882135,0.28200942312192634,map_tf,controller_log,0.292,5646,4521,132,1947,3681,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_nosm_seed3
gmpc_cbf,scan_nosm_seed4,False,nan,205.812926530838,45.76398921332121,0.11782788803179274,0.13333067137172952,0.09843451264648306,0.2939182045511579,0.5702844595605174,0.3468648598397653,0.696393709030468,0.050000000000000044,0,False,gt_pose+static,5.979457318871482,27.338003921508786,32.17670822143555,17.000000275671482,17.000000275671482,4.998504712270197,4.998504712270197,map_tf,none,nan,6202,4964,144,2280,4117,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_nosm_seed4
gmpc_cbf,scan_nosm_seed5,True,196.544673204422,199.18475341796875,43.51179230725502,0.10710637218895025,0.12351518817943727,0.0821070813551463,0.25226560124219155,0.5493960571440896,0.2952325517402371,0.7036427310117964,5.551115123125783e-17,0,False,gt_pose+static,4.368261610813812,26.818588256835938,33.32966613769531,17.000000275671482,17.000000275671482,0.27855337462075863,0.2773663388074078,map_tf,controller_log,0.298,5959,4768,142,2060,3931,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_nosm_seed5
gmpc_cbf,scan_nosm_seed6,True,180.591224193573,183.23128843307495,40.07218707139646,0.09380012451968338,0.11758918516923597,0.07790672710256273,0.24660694185622667,0.5500460031280701,0.285631922104732,0.65414527640969,0.050000000000000044,0,False,gt_pose+static,3.9721417798148106,26.744078254699705,32.47370910644531,17.000000275671482,17.000000275671482,0.2801462678876548,0.2786877330543829,map_tf,controller_log,0.298,5670,4555,63,1946,3612,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_nosm_seed6
gmpc_cbf,scan_nosm_seed7,True,181.4258885383606,184.02591347694397,41.030447256383916,0.11167666846057658,0.11870024876467271,0.07788570229303793,0.24078959914915968,0.5622237700817659,0.2824798199243205,0.6759992567503678,0.050000000000000044,0,False,gt_pose+static,3.9834400491979407,26.95568618774414,33.00645065307617,17.000000275671482,17.000000275671482,0.26663021439175094,0.2652265339452944,map_tf,controller_log,0.287,5621,4500,130,1939,3629,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_nosm_seed7
gmpc_cbf,scan_nosm_seed8,False,nan,207.91724848747253,46.44512706063287,0.12550940971315774,0.13637816926266194,0.09588521021036761,0.2734088514547242,0.569723776078246,0.33011331830935725,0.6756695620890566,5.551115123125783e-17,0,False,gt_pose+static,6.612404588505906,27.406208515167236,30.612459182739258,17.000000275671482,17.000000275671482,7.592960577108454,7.592960577108454,map_tf,none,nan,6229,4980,148,2236,4154,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_nosm_seed8
gmpc_cbf,scan_nosm_seed9,True,185.97858023643494,188.61854195594788,40.79763748039018,0.09056938161349154,0.11445920899593755,0.07201728207144517,0.24112128967959795,0.5551416279142835,0.28767811650233244,0.6596168989106614,0.10311288741492747,0,False,gt_pose+static,3.633989815422762,26.633651733398438,31.8586368560791,17.000000275671482,17.000000275671482,0.26693349875000283,0.2653977640379741,map_tf,controller_log,0.288,5768,4617,66,1963,3721,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_nosm_seed9
gmpc_cbf,scan_nosm_seed10,True,188.57042169570923,191.25051093101501,41.42048662018408,0.07505024372510594,0.11332064667721632,0.06939141203481575,0.23892685961143836,0.5517217199989022,0.29842827667436683,0.6567791404033027,0.050000000000000044,0,False,gt_pose+static,3.6847062210037844,27.148553371429443,33.447235107421875,17.000000275671482,17.000000275671482,0.27451289192869,0.2727354369717556,map_tf,controller_log,0.297,5801,4644,67,1983,3772,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_nosm_seed10
gmpc_cbf,scan_nosm_seed11,True,197.51388716697693,200.23383808135986,44.87334134063362,0.09895846861241588,0.12314729664616567,0.08717541356564082,0.2934736836713641,0.5655696131013295,0.32019566148879164,0.6810111424135207,0.08078865529319545,0,False,gt_pose+static,4.701698865985695,27.16541576385498,30.54848861694336,17.000000275671482,17.000000275671482,0.26683401210708024,0.26570748592139837,map_tf,controller_log,0.294,6038,4836,70,2079,3951,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_nosm_seed11
gmpc_cbf,scan_nosm_seed12,False,nan,208.58205699920654,46.63187165846925,0.11463123782019063,0.12871600019070376,0.08342501662606143,0.2687311178636477,0.5573453487810742,0.2987840243059276,0.6573270975023009,0.10000000000000003,0,False,gt_pose+static,5.159230314682694,27.468566608428954,33.411014556884766,17.000000275671482,17.000000275671482,1.3855954912226223,1.3855954912226223,map_tf,none,nan,6228,4985,75,2194,4172,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_nosm_seed12
gmpc_cbf,scan_nosm_seed13,True,180.43677234649658,183.03682899475098,40.63329499312164,0.08513969230422384,0.11659087121513274,0.07206679327219692,0.24753158873896966,0.5578920018067296,0.29785356827275844,0.6810941933021798,0.08078865529319545,0,False,gt_pose+static,3.7430883149732512,26.871165657043456,33.64094543457031,17.000000275671482,17.000000275671482,0.2663397779905176,0.2649462732324602,map_tf,controller_log,0.286,5598,4482,130,1907,3610,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_nosm_seed13
gmpc_cbf,scan_nosm_seed14,True,194.95916962623596,197.71927309036255,43.66388055343995,0.09412288566682935,0.12237582316331588,0.07891841410748598,0.267343276621191,0.5632631668559488,0.31443564668017276,0.6679969213091017,0.050000000000000044,0,False,gt_pose+static,4.337039188315688,26.85659294128418,30.538347244262695,17.000000275671482,17.000000275671482,0.27202029377367865,0.27054503518908846,map_tf,controller_log,0.299,6008,4823,69,2111,3895,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_nosm_seed14
gmpc_cbf,scan_nosm_seed15,True,188.37479543685913,191.13474011421204,41.5076723930068,0.09422414949096133,0.11816739346175456,0.07559333572199746,0.25218167173187755,0.5448317670288334,0.27287613545697803,0.6463397573453944,5.551115123125783e-17,0,False,gt_pose+static,3.6847893742591364,26.66758632659912,34.23003387451172,17.000000275671482,17.000000275671482,0.26697793899262084,0.2658632677344863,map_tf,controller_log,0.286,5745,4593,136,1939,3768,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_nosm_seed15
