method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
rpp,rpp_seed1,True,116.6420533657074,119.24215245246887,30.29061979592062,0.042082018330795744,0.10080189491953702,0.0,0.2501555328224715,0.11904304235626666,0.0,1.9990639301507278,0.015140060275812661,0,False,gt_pose+static,nan,nan,nan,17.0,17.0,0.27047552379783507,0.27047552379783507,map_tf,bag_pose,nan,3952,2283,109,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed1
rpp,rpp_seed2,False,nan,204.95598649978638,6.085667330845025,0.3137758921079921,0.1503053558284042,0.0,0.3816864562563845,0.33920181250090364,0.0,2.000608629401507,-0.2968597560425959,2,True,gt_pose+static,nan,nan,nan,17.0,17.0,20.748202059371074,20.748201929877027,map_tf,none,nan,6170,697,27,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed2
rpp,rpp_seed3,False,nan,208.57794737815857,27.90732238028531,0.036811012013361136,0.12249846199108237,0.0,0.2623225611645102,0.0,0.0,1.3165314240127357,-0.11444414778049516,1,True,gt_pose+static,nan,nan,nan,17.0,17.0,3.422260716449755,3.3639035169509657,map_tf,none,nan,6201,2221,102,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed3
rpp,rpp_seed4,True,95.45890188217163,98.05892276763916,28.08112867383597,0.03771716018830505,0.061604317327282006,0.0,0.18999231198054903,0.10187474675174084,0.0,1.0353856137327664,-0.027011998092761724,1,True,gt_pose+static,nan,nan,nan,17.0,17.0,0.2816619840150927,0.26794764698856005,map_tf,bag_pose,nan,3543,1950,95,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed4
rpp,rpp_seed5,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,False,none,nan,nan,nan,nan,nan,nan,nan,map_tf,none,nan,6173,56,0,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed5
rpp,rpp_seed6,False,nan,208.35004711151123,28.166519689665815,0.040537717468133914,0.12667276216774342,0.0,0.2389305505595409,0.2662202329146004,0.0,1.9996872437401072,-0.003770377606824582,1,True,gt_pose+static,nan,nan,nan,17.0,17.0,3.149757183222601,3.1488498302341443,map_tf,none,nan,6190,2225,102,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed6
rpp,rpp_seed7,False,nan,208.57024717330933,5.965716220425808,0.02500630548461134,0.15678344565302196,0.0,0.3381091302986123,0.7333167273301175,0.0,2.000371048176078,-0.2822805584984927,1,True,gt_pose+static,nan,nan,nan,17.0,17.0,21.956599760672926,21.41750642919302,map_tf,none,nan,6191,788,32,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed7
rpp,rpp_seed8,False,nan,207.788756608963,28.601653794602374,0.04149592934097256,0.12063223953988879,0.0,0.24105642578488023,0.0,0.0,1.833404884044499,0.06055512754639897,0,False,gt_pose+static,nan,nan,nan,17.0,17.0,3.246535813432975,3.210751637352322,map_tf,none,nan,6184,2268,104,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed8
rpp,rpp_seed9,True,132.16774201393127,134.84760308265686,31.935234849105342,0.03777751282347092,0.11419194248640757,0.0,0.23828700453534205,0.11739370094131273,0.0,1.9992859529637368,-0.14819673753605578,1,True,gt_pose+static,nan,nan,nan,17.0,17.0,0.29039929464348285,0.2708353847129372,map_tf,bag_pose,nan,4347,2490,117,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed9
rpp,rpp_seed10,False,nan,208.54649758338928,28.330705293259484,0.03501508112134179,0.11871656973512584,0.0,0.25649601483375817,0.38838558592325656,0.0,1.9988305258528476,-0.2432912491396345,2,True,gt_pose+static,nan,nan,nan,17.0,17.0,3.3299026653874275,3.3287319678846172,map_tf,none,nan,6231,2251,104,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed10
rpp,rpp_seed11,False,nan,205.65825128555298,5.750256832842812,0.4205627310267573,0.14557902999146483,0.0,0.341598985560324,0.04539672881982779,0.0,2.0005222730484533,-0.18812834012374047,2,True,gt_pose+static,nan,nan,nan,17.0,17.0,20.60592672373959,20.40125805251649,map_tf,none,nan,6238,549,22,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed11
rpp,rpp_seed12,False,nan,208.5419898033142,9.2907322989473,0.0626238268390383,0.14274362090817266,0.0,0.3438878459269526,1.4995967042467868,0.0,2.0006525260653962,-0.18851700208124822,1,True,gt_pose+static,nan,nan,nan,17.0,17.0,19.385146975481558,19.344276766247095,map_tf,none,nan,6202,936,40,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed12
rpp,rpp_seed13,False,nan,208.2464542388916,18.746643053812367,0.029670759061993603,0.1204953330062127,0.0,0.24964680023543473,0.0,0.0,1.9992678469745089,-0.4016763052458372,4,True,gt_pose+static,nan,nan,nan,17.0,17.0,11.250918061890662,11.204225761800263,map_tf,none,nan,6242,1496,68,0,0,/home/howardchen/masterthesis/evaluation/bags/rpp__rpp_seed13
