method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
gmpc_cbf,horizon_dyn,True,144.55305695533752,237.84904408454895,32.59388627523243,0.08367829570608605,0.11317733300368156,0.053496838068906004,0.209880965923308,0.916435114727567,0.2571223989335021,0.9589538590295967,0.28603944774180856,0,False,2.4092161895821023,6.106870174407952,128.5000457763672,17.000000275671482,17.000000275671482,0.1895453022344265,0.1895453022344265,map_tf,4940,4900,96,4932,2865,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__horizon_dyn
gmpc_cbf,horizon_final,True,147.1732041835785,153.17500042915344,33.315284332506295,0.09895716805649406,0.09549748752995783,0.06556281580454544,0.24167465195687685,0.996595056749658,0.33032783866080884,1.065092865553956,0.2075533318240002,0,False,2.276319049488894,6.682408857345567,76.58937072753906,17.000000275671482,17.000000275671482,0.1740009529134941,0.1740009529134941,map_tf,3241,3233,50,3241,2939,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__horizon_final
gmpc_cbf,seed0,True,143.37743186950684,144.07564878463745,32.98446803440565,0.11182122988859461,0.08852380771255794,0.07222719002643636,0.2900750377926946,70.9464040519899,24.366703297301314,141.89013355446647,0.23335621159423986,0,False,1.7698969853507889,4.976288843154901,75.98858642578125,17.000000275671482,17.000000275671482,0.17301158432066063,0.170976462549385,map_tf,2950,2939,48,2953,2860,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__seed0
gmpc_cbf,seed1,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,False,nan,nan,nan,nan,nan,nan,nan,map_tf,4979,4985,0,4984,0,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__seed1
gmpc_cbf,seed2,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,False,nan,nan,nan,nan,nan,nan,nan,map_tf,4967,4990,0,4991,0,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__seed2
gmpc_cbf,seed3,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,False,nan,nan,nan,nan,nan,nan,nan,map_tf,4987,4991,0,4990,0,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__seed3
gmpc_cbf,seed4,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,False,nan,nan,nan,nan,nan,nan,nan,map_tf,4989,4991,0,4990,0,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__seed4
gmpc_cbf,seed5,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,False,nan,nan,nan,nan,nan,nan,nan,odom_raw,4988,4991,0,4990,0,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__seed5
gmpc_cbf,seed6,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,False,nan,nan,nan,nan,nan,nan,nan,map_tf,4988,4989,0,4989,0,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__seed6
gmpc_cbf,seed7,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,False,nan,nan,nan,nan,nan,nan,nan,map_tf,4981,4985,0,4984,0,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__seed7
