frame,sim_t
0,0.33
1,0.36
2,0.39
3,0.42
4,0.45
5,0.48
6,0.51
7,0.54
8,0.57
9,0.6
10,0.63
11,0.66
12,0.69
13,0.72
14,0.75
15,0.78
16,0.81
17,0.84
18,0.87
19,0.9
20,0.93
21,0.96
22,0.99
23,1.02
24,1.05
25,1.08
26,1.11
27,1.14
28,1.17
29,1.2
30,1.23
31,1.26
32,1.29
33,1.32
34,1.35
35,1.38
36,1.41
37,1.44
38,1.47
39,1.5
40,1.53
41,1.56
42,1.59
43,1.62
44,1.65
45,1.68
46,1.71
47,1.74
48,1.77
49,1.8
50,1.83
51,1.86
52,1.89
53,1.92
54,1.95
55,1.98
56,2.01
57,2.04
58,2.07
59,2.1
60,2.13
61,2.16
62,2.19
63,2.22
64,2.25
65,2.28
66,2.31
67,2.34
68,2.37
69,2.4
70,2.43
71,2.46
72,2.49
73,2.52
74,2.55
75,2.58
76,2.61
77,2.64
78,2.67
79,2.7
80,2.73
81,2.76
82,2.79
83,2.82
84,2.85
85,2.88
86,2.91
87,2.94
88,2.97
89,3.0
90,3.03
91,3.06
92,3.09
93,3.12
94,3.15
95,3.18
96,3.21
97,3.24
98,3.27
99,3.3
100,3.33
101,3.36
102,3.39
103,3.42
104,3.45
105,3.48
106,3.51
107,3.54
108,3.57
109,3.6
110,3.63
111,3.66
112,3.69
113,3.72
114,3.75
115,3.78
116,3.81
117,3.84
118,3.87
119,3.9
120,3.93
121,3.96
122,3.99
123,4.02
124,4.05
125,4.08
126,4.11
127,4.14
128,4.17
129,4.2
130,4.23
131,4.26
132,4.29
133,4.32
134,4.35
135,4.38
136,4.41
137,4.44
138,4.47
139,4.5
140,4.53
141,4.56
142,4.59
143,4.62
144,4.65
145,4.68
146,4.71
147,4.74
148,4.77
149,4.8
150,4.83
151,4.86
152,4.89
153,4.92
154,4.95
155,4.98
156,5.01
157,5.04
158,5.07
159,5.1
160,5.13
161,5.16
162,5.19
163,5.22
164,5.25
165,5.28
166,5.31
167,5.34
168,5.37
169,5.4
170,5.43
171,5.46
172,5.49
173,5.52
174,5.55
175,5.58
176,5.61
177,5.64
178,5.67
179,5.7
180,5.73
181,5.76
182,5.79
183,5.82
184,5.85
185,5.88
186,5.91
187,5.94
188,5.97
189,6.0
190,6.03
191,6.06
192,6.09
193,6.12
194,6.15
195,6.18
196,6.21
197,6.24
198,6.27
199,6.3
200,6.33
201,6.36
202,6.39
203,6.42
204,6.45
205,6.48
206,6.51
207,6.54
208,6.57
209,6.6
210,6.63
211,6.66
212,6.69
213,6.72
214,6.75
215,6.78
216,6.81
217,6.84
218,6.87
219,6.9
220,6.93
221,6.96
222,6.99
223,7.02
224,7.05
225,7.08
226,7.11
227,7.14
228,7.17
229,7.2
230,7.23
231,7.26
232,7.29
233,7.32
234,7.35
235,7.38
236,7.41
237,7.44
238,7.47
239,7.5
240,7.53
241,7.56
242,7.59
243,7.62
244,7.65
245,7.68
246,7.71
247,7.74
248,7.77
249,7.8
250,7.83
251,7.86
252,7.89
253,7.92
254,7.95
255,7.98
256,8.01
257,8.04
258,8.07
259,8.1
260,8.13
261,8.16
262,8.19
263,8.22
264,8.25
265,8.28
266,8.31
267,8.34
268,8.37
269,8.4
270,8.43
271,8.46
272,8.49
273,8.52
274,8.55
275,8.58
276,8.61
277,8.64
278,8.67
279,8.7
280,8.73
281,8.76
282,8.79
283,8.82
284,8.85
285,8.88
286,8.91
287,8.94
288,8.97
289,9.0
290,9.03
291,9.06
292,9.09
293,9.12
294,9.15
295,9.18
296,9.21
297,9.24
298,9.27
299,9.3
300,9.33
301,9.36
302,9.39
303,9.42
304,9.45
305,9.48
306,9.51
307,9.54
308,9.57
309,9.6
310,9.63
311,9.66
312,9.69
313,9.72
314,9.75
315,9.78
316,9.81
317,9.84
318,9.87
319,9.9
320,9.93
321,9.96
322,9.99
323,10.02
324,10.05
325,10.08
326,10.11
327,10.14
328,10.17
329,10.2
330,10.23
331,10.26
332,10.29
333,10.32
334,10.35
335,10.38
336,10.41
337,10.44
338,10.47
339,10.5
340,10.53
341,10.56
342,10.59
343,10.62
344,10.65
345,10.68
346,10.71
347,10.74
348,10.77
349,10.8
350,10.83
351,10.86
352,10.89
353,10.92
354,10.95
355,10.98
356,11.01
357,11.04
358,11.07
359,11.1
360,11.13
361,11.16
362,11.19
363,11.22
364,11.25
365,11.28
366,11.31
367,11.34
368,11.37
369,11.4
370,11.43
371,11.46
372,11.49
373,11.52
374,11.55
375,11.58
376,11.61
377,11.64
378,11.67
379,11.7
380,11.73
381,11.76
382,11.79
383,11.82
384,11.85
385,11.88
386,11.91
387,11.94
388,11.97
389,12.0
390,12.03
391,12.06
392,12.09
393,12.12
394,12.15
395,12.18
396,12.21
397,12.24
398,12.27
399,12.3
400,12.33
401,12.36
402,12.39
403,12.42
404,12.45
405,12.48
406,12.51
407,12.54
408,12.57
409,12.6
410,12.63
411,12.66
412,12.69
413,12.72
414,12.75
415,12.78
416,12.81
417,12.84
418,12.87
419,12.9
420,12.93
421,12.96
422,13.0
423,13.03
424,13.06
425,13.09
426,13.12
427,13.15
428,13.18
429,13.21
430,13.24
431,13.27
432,13.3
433,13.33
434,13.36
435,13.39
436,13.42
437,13.45
438,13.48
439,13.51
440,13.54
441,13.57
442,13.6
443,13.63
444,13.66
445,13.69
446,13.72
447,13.75
448,13.78
449,13.81
450,13.84
451,13.87
452,13.9
453,13.93
454,13.96
455,13.99
456,14.02
457,14.05
458,14.08
459,14.11
460,14.14
461,14.17
462,14.2
463,14.23
464,14.26
465,14.29
466,14.32
467,14.35
468,14.38
469,14.41
470,14.44
471,14.47
472,14.5
473,14.53
474,14.56
475,14.59
476,14.62
477,14.65
478,14.68
479,14.71
480,14.74
481,14.77
482,14.8
483,14.83
484,14.86
485,14.89
486,14.92
487,14.95
488,14.98
489,15.01
490,15.04
491,15.07
492,15.1
493,15.13
494,15.16
495,15.19
496,15.22
497,15.25
498,15.28
499,15.31
500,15.34
501,15.37
502,15.4
503,15.43
504,15.46
505,15.49
506,15.52
507,15.55
508,15.58
509,15.61
510,15.64
511,15.67
512,15.7
513,15.73
514,15.76
515,15.79
516,15.82
517,15.85
518,15.88
519,15.91
520,15.94
521,15.97
522,16.0
523,16.03
524,16.06
525,16.09
526,16.12
527,16.15
528,16.18
529,16.21
530,16.24
531,16.27
532,16.3
533,16.33
534,16.36
535,16.39
536,16.42
537,16.45
538,16.48
539,16.51
540,16.54
541,16.57
542,16.6
543,16.63
544,16.66
545,16.69
546,16.72
547,16.75
548,16.78
549,16.81
550,16.84
551,16.87
552,16.9
553,16.93
554,16.96
555,16.99
556,17.02
557,17.05
558,17.08
559,17.11
560,17.14
561,17.17
562,17.2
563,17.23
564,17.26
565,17.29
566,17.32
567,17.35
568,17.38
569,17.41
570,17.44
571,17.47
572,17.5
573,17.53
574,17.56
575,17.59
576,17.62
577,17.65
578,17.68
579,17.71
580,17.74
581,17.77
582,17.8
583,17.83
584,17.86
585,17.89
586,17.92
587,17.95
588,17.98
589,18.01
590,18.04
591,18.07
592,18.1
593,18.13
594,18.16
595,18.19
596,18.22
597,18.25
598,18.28
599,18.31
600,18.34
601,18.37
602,18.4
603,18.43
604,18.46
605,18.49
606,18.52
607,18.55
608,18.58
609,18.61
610,18.64
611,18.67
612,18.7
613,18.73
614,18.76
615,18.79
616,18.82
617,18.85
618,18.88
619,18.91
620,18.94
621,18.97
622,19.0
623,19.03
624,19.06
625,19.09
626,19.12
627,19.15
628,19.18
629,19.21
630,19.24
631,19.27
632,19.3
633,19.33
634,19.36
635,19.39
636,19.42
637,19.45
638,19.48
639,19.51
640,19.54
641,19.57
642,19.6
643,19.63
644,19.66
645,19.69
646,19.72
647,19.75
648,19.78
649,19.81
650,19.84
651,19.87
652,19.9
653,19.93
654,19.96
655,19.99
656,20.02
657,20.05
658,20.08
659,20.11
660,20.14
661,20.17
662,20.2
663,20.23
664,20.26
665,20.29
666,20.32
667,20.35
668,20.38
669,20.41
670,20.44
671,20.47
672,20.5
673,20.53
674,20.56
675,20.59
676,20.62
677,20.65
678,20.68
679,20.71
680,20.74
681,20.77
682,20.8
683,20.83
684,20.86
685,20.89
686,20.92
687,20.95
688,20.98
689,21.01
690,21.04
691,21.07
692,21.1
693,21.13
694,21.16
695,21.19
696,21.22
697,21.25
698,21.28
699,21.31
700,21.34
701,21.37
702,21.4
703,21.43
704,21.46
705,21.49
706,21.52
707,21.55
708,21.58
709,21.61
710,21.64
711,21.67
712,21.7
713,21.73
714,21.76
715,21.79
716,21.82
717,21.85
718,21.88
719,21.91
720,21.94
721,21.97
722,22.0
723,22.03
724,22.06
725,22.09
726,22.12
727,22.15
728,22.18
729,22.21
730,22.24
731,22.27
732,22.3
733,22.33
734,22.36
735,22.39
736,22.42
737,22.45
738,22.48
739,22.51
740,22.54
741,22.57
742,22.6
743,22.63
744,22.66
745,22.69
746,22.72
747,22.75
748,22.78
749,22.81
750,22.84
751,22.87
752,22.9
753,22.93
754,22.96
755,22.99
756,23.02
757,23.05
758,23.08
759,23.11
760,23.14
761,23.17
762,23.2
763,23.23
764,23.26
765,23.29
766,23.32
767,23.35
768,23.38
769,23.41
770,23.44
771,23.47
772,23.5
773,23.53
774,23.56
775,23.59
776,23.62
777,23.65
778,23.68
779,23.71
780,23.74
781,23.77
782,23.8
783,23.83
784,23.86
785,23.89
786,23.92
787,23.95
788,23.98
789,24.01
790,24.04
791,24.07
792,24.1
793,24.13
794,24.16
795,24.19
796,24.22
797,24.25
798,24.28
799,24.31
800,24.35
801,24.38
802,24.41
803,24.44
804,24.47
805,24.5
806,24.53
807,24.56
808,24.59
809,24.62
810,24.65
811,24.68
812,24.71
813,24.74
814,24.77
815,24.8
816,24.83
817,24.86
818,24.89
819,24.92
820,24.95
821,24.98
822,25.01
823,25.04
824,25.07
825,25.1
826,25.13
827,25.16
828,25.19
829,25.22
830,25.25
831,25.28
832,25.31
833,25.34
834,25.37
835,25.4
836,25.43
837,25.46
838,25.49
839,25.52
840,25.55
841,25.58
842,25.61
843,25.64
844,25.67
845,25.7
846,25.73
847,25.76
848,25.79
849,25.82
850,25.85
851,25.88
852,25.91
853,25.94
854,25.97
855,26.0
856,26.03
857,26.06
858,26.09
859,26.12
860,26.15
861,26.18
862,26.21
863,26.24
864,26.27
865,26.3
866,26.33
867,26.36
868,26.39
869,26.42
870,26.45
871,26.48
872,26.51
873,26.54
874,26.57
875,26.6
876,26.63
877,26.66
878,26.69
879,26.72
880,26.75
881,26.78
882,26.81
883,26.84
884,26.87
885,26.9
886,26.93
887,26.96
888,26.99
889,27.02
890,27.05
891,27.08
892,27.11
893,27.14
894,27.17
895,27.2
896,27.23
897,27.26
898,27.29
899,27.32
900,27.35
901,27.38
902,27.41
903,27.44
904,27.47
905,27.5
906,27.53
907,27.56
908,27.59
909,27.62
910,27.65
911,27.68
912,27.71
913,27.74
914,27.77
915,27.8
916,27.83
917,27.86
918,27.89
919,27.92
920,27.95
921,27.98
922,28.01
923,28.04
924,28.07
925,28.1
926,28.13
927,28.16
928,28.19
929,28.22
930,28.25
931,28.28
932,28.31
933,28.34
934,28.37
935,28.4
936,28.43
937,28.46
938,28.49
939,28.52
940,28.55
941,28.58
942,28.61
943,28.64
944,28.67
945,28.7
946,28.73
947,28.76
948,28.79
949,28.82
950,28.85
951,28.88
952,28.91
953,28.94
954,28.97
955,29.0
956,29.03
957,29.06
958,29.09
959,29.12
960,29.15
961,29.18
962,29.21
963,29.24
964,29.27
965,29.3
966,29.33
967,29.36
968,29.39
969,29.42
970,29.45
971,29.48
972,29.51
973,29.54
974,29.57
975,29.6
976,29.63
977,29.66
978,29.69
979,29.72
980,29.75
981,29.78
982,29.81
983,29.84
984,29.87
985,29.9
986,29.93
987,29.96
988,29.99
989,30.02
990,30.05
991,30.08
992,30.11
