wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,16:34:20,77,3.72,1,40
1,16:34:21,76,3.72,1,40
2,16:34:22,77,3.72,1,40
3,16:34:23,77,3.50,1,40
4,16:34:24,78,3.50,14,41
5,16:34:25,78,3.50,0,42
6,16:34:26,80,3.50,1,41
7,16:34:27,80,3.38,1,41
8,16:34:28,80,3.38,1,41
9,16:34:29,80,3.38,13,42
10,16:34:30,80,3.38,1,41
11,16:34:31,81,3.38,12,41
12,16:34:32,81,3.27,7,41
13,16:34:33,80,3.27,6,41
14,16:34:34,81,3.27,6,42
15,16:34:35,80,3.27,9,41
16,16:34:36,80,3.27,17,42
17,16:34:37,80,3.25,6,41
18,16:34:38,80,3.25,6,41
19,16:34:39,80,3.25,6,42
20,16:34:40,81,3.25,6,42
21,16:34:41,81,3.25,17,42
22,16:34:42,81,4.59,6,41
23,16:34:43,81,4.59,11,41
24,16:34:44,81,4.59,6,42
25,16:34:45,81,4.59,6,41
27,16:34:47,81,4.59,17,43
28,16:34:48,81,4.46,11,42
29,16:34:49,81,4.46,23,42
30,16:34:50,81,4.46,8,41
31,16:34:51,81,4.46,12,41
32,16:34:52,82,4.46,6,41
33,16:34:53,82,4.35,6,41
34,16:34:54,82,4.35,18,42
35,16:34:55,82,4.35,6,42
36,16:34:56,81,4.35,11,41
37,16:34:57,81,4.16,7,41
38,16:34:58,81,4.16,6,41
39,16:34:59,81,4.16,18,42
40,16:35:00,81,4.16,6,41
41,16:35:01,81,4.16,6,43
42,16:35:02,82,5.03,6,41
43,16:35:03,82,5.03,1,41
44,16:35:04,82,5.03,6,41
45,16:35:05,82,5.03,6,41
46,16:35:06,82,5.03,18,43
47,16:35:07,81,4.86,12,41
48,16:35:08,81,4.86,6,41
49,16:35:09,81,4.86,6,41
50,16:35:10,81,4.86,6,43
51,16:35:11,82,4.86,22,42
52,16:35:12,82,4.87,6,41
53,16:35:13,81,4.87,7,41
54,16:35:14,81,4.87,7,41
55,16:35:15,81,4.87,6,41
56,16:35:16,82,4.87,18,43
58,16:35:18,82,4.80,6,41
59,16:35:19,82,4.80,18,42
60,16:35:20,82,4.80,6,42
61,16:35:21,82,4.80,6,41
62,16:35:22,82,4.80,6,41
63,16:35:23,82,4.66,6,41
64,16:35:24,82,4.66,18,43
65,16:35:25,82,4.66,10,41
66,16:35:26,82,4.66,11,41
67,16:35:27,82,5.49,6,41
68,16:35:28,82,5.49,6,42
69,16:35:29,82,5.49,23,42
70,16:35:30,82,5.49,6,41
71,16:35:31,82,5.49,6,41
72,16:35:32,83,5.37,6,41
73,16:35:33,82,5.37,7,41
74,16:35:34,82,5.37,6,41
75,16:35:35,82,5.37,6,41
76,16:35:36,82,5.37,18,42
77,16:35:37,82,5.26,7,41
78,16:35:38,82,5.26,6,41
79,16:35:39,82,5.26,6,41
80,16:35:40,82,5.26,11,41
81,16:35:41,82,5.26,18,42
82,16:35:42,83,6.36,6,43
83,16:35:43,82,6.36,6,43
84,16:35:44,82,6.36,11,41
85,16:35:45,82,6.36,6,42
86,16:35:46,82,6.36,22,42
88,16:35:48,82,7.05,6,41
89,16:35:49,82,7.05,18,42
90,16:35:50,82,7.05,6,41
91,16:35:51,82,7.05,6,42
92,16:35:52,83,7.05,7,41
93,16:35:53,82,6.73,6,41
94,16:35:54,82,6.73,18,43
95,16:35:55,82,6.73,6,44
96,16:35:56,82,6.73,8,41
97,16:35:57,82,6.67,6,41
98,16:35:58,82,6.67,6,41
99,16:35:59,82,6.67,18,44
100,16:36:00,82,6.67,11,41
101,16:36:01,82,6.67,6,41
102,16:36:02,82,6.61,6,42
103,16:36:03,82,6.61,11,41
104,16:36:04,82,6.61,6,41
105,16:36:05,82,6.61,6,42
106,16:36:06,82,6.61,23,42
107,16:36:07,82,6.33,6,41
108,16:36:08,82,6.33,6,42
109,16:36:09,82,6.33,6,41
110,16:36:10,82,6.33,6,41
111,16:36:11,82,6.33,18,42
112,16:36:12,83,6.54,6,42
113,16:36:13,83,6.54,12,41
114,16:36:14,83,6.54,6,41
115,16:36:15,82,6.54,6,42
116,16:36:16,83,6.54,19,42
117,16:36:17,82,6.18,7,41
119,16:36:19,82,6.18,6,42
120,16:36:20,82,6.18,6,41
121,16:36:21,82,6.18,6,42
122,16:36:22,82,6.18,10,41
123,16:36:23,83,5.92,6,41
124,16:36:24,83,5.92,18,42
125,16:36:25,83,5.92,6,45
126,16:36:26,83,5.92,11,41
127,16:36:27,83,5.92,6,41
128,16:36:28,83,6.89,6,41
129,16:36:29,83,6.89,18,44
130,16:36:30,83,6.89,11,41
131,16:36:31,83,6.89,6,41
132,16:36:32,83,6.74,1,41
133,16:36:33,82,6.74,6,41
134,16:36:34,82,6.74,17,42
135,16:36:35,82,6.74,6,41
136,16:36:36,82,6.74,18,43
137,16:36:37,82,8.20,6,41
138,16:36:38,82,8.20,6,41
139,16:36:39,83,8.20,7,41
140,16:36:40,83,8.20,6,41
141,16:36:41,83,8.20,12,42
142,16:36:42,83,7.86,6,41
143,16:36:43,82,7.86,6,42
144,16:36:44,82,7.86,6,41
145,16:36:45,82,7.86,6,42
146,16:36:46,82,7.86,13,42
147,16:36:47,82,9.48,6,41
148,16:36:48,82,9.48,6,41
150,16:36:50,82,9.48,6,41
151,16:36:51,82,9.48,6,41
152,16:36:52,82,9.48,7,41
153,16:36:53,82,9.44,6,41
154,16:36:54,83,9.44,15,42
155,16:36:55,83,9.44,6,41
156,16:36:56,82,9.44,6,41
157,16:36:57,82,8.84,3,41
158,16:36:58,82,8.84,6,41
159,16:36:59,82,8.84,17,42
160,16:37:00,82,8.84,6,41
161,16:37:01,82,8.84,6,41
162,16:37:02,82,8.37,6,41
163,16:37:03,82,8.37,6,41
164,16:37:04,83,8.37,6,41
165,16:37:05,82,8.37,6,41
166,16:37:06,82,8.37,18,42
167,16:37:07,82,7.94,6,41
168,16:37:08,82,7.94,6,41
169,16:37:09,82,7.94,6,41
170,16:37:10,82,7.94,6,41
171,16:37:11,82,7.94,18,42
172,16:37:12,83,8.03,6,41
173,16:37:13,83,8.03,6,41
174,16:37:14,82,8.03,6,41
175,16:37:15,82,8.03,6,41
