wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,21:45:40,63,0.72,11,43
1,21:45:41,62,0.82,14,43
2,21:45:42,61,0.82,14,43
3,21:45:43,62,0.82,14,43
4,21:45:44,66,0.82,15,43
5,21:45:45,70,0.82,3,44
6,21:45:46,74,1.08,13,44
7,21:45:47,76,1.08,13,44
8,21:45:48,76,1.08,13,43
10,21:45:50,76,1.08,14,43
11,21:45:51,77,1.08,15,44
12,21:45:52,78,1.71,15,44
13,21:45:53,78,1.71,14,44
14,21:45:54,77,1.71,20,44
15,21:45:55,79,1.71,20,44
16,21:45:56,80,1.71,14,44
17,21:45:57,79,1.82,19,44
18,21:45:58,79,1.82,19,44
19,21:45:59,81,1.82,17,44
20,21:46:00,80,1.82,18,44
21,21:46:01,79,1.82,17,45
22,21:46:02,80,1.99,17,44
23,21:46:03,80,1.99,17,44
24,21:46:04,80,1.99,17,44
25,21:46:05,80,1.99,18,45
26,21:46:06,79,1.99,18,44
27,21:46:07,80,1.99,18,45
28,21:46:08,80,1.99,11,44
29,21:46:09,81,1.99,18,44
30,21:46:10,80,1.99,13,44
31,21:46:11,80,1.99,18,44
32,21:46:12,81,1.99,12,44
33,21:46:13,80,1.99,18,44
34,21:46:14,80,1.99,17,44
35,21:46:15,79,1.99,12,44
36,21:46:16,79,2.23,18,44
37,21:46:17,79,2.23,15,44
38,21:46:18,78,2.23,18,44
40,21:46:20,78,2.23,18,44
41,21:46:21,78,2.23,12,44
42,21:46:22,79,3.66,18,44
43,21:46:23,79,3.66,18,44
44,21:46:24,80,3.66,12,44
45,21:46:25,80,3.66,12,44
46,21:46:26,79,3.66,18,44
47,21:46:27,79,3.52,18,45
48,21:46:28,78,3.52,18,44
49,21:46:29,77,3.52,15,44
50,21:46:30,77,3.52,18,44
51,21:46:31,78,3.48,18,44
52,21:46:32,78,3.48,18,44
53,21:46:33,78,3.48,12,44
54,21:46:34,78,3.48,18,44
55,21:46:35,78,3.48,15,44
56,21:46:36,79,3.36,19,44
57,21:46:37,80,3.36,18,44
58,21:46:38,81,3.36,12,44
59,21:46:39,81,3.36,18,45
60,21:46:40,81,3.36,17,44
61,21:46:41,81,3.81,20,44
62,21:46:42,80,3.81,15,44
63,21:46:43,80,3.81,23,44
64,21:46:44,80,3.81,17,44
65,21:46:45,79,3.81,18,44
