wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,03:19:37,68,1.71,12,43
1,03:19:38,68,1.71,12,43
2,03:19:39,68,1.71,12,43
3,03:19:40,68,1.71,12,43
4,03:19:41,71,1.89,17,44
5,03:19:42,72,1.89,2,44
6,03:19:43,75,1.89,12,44
7,03:19:44,76,1.89,12,43
8,03:19:45,77,2.06,12,43
9,03:19:46,77,2.06,7,43
10,03:19:47,78,2.06,14,44
11,03:19:48,79,2.06,12,43
12,03:19:49,79,2.06,13,43
13,03:19:50,79,2.38,25,43
14,03:19:51,79,2.38,12,44
15,03:19:52,80,2.38,12,45
16,03:19:53,80,2.38,11,43
17,03:19:54,81,2.38,12,45
18,03:19:55,81,2.67,22,47
19,03:19:56,81,2.67,23,44
20,03:19:57,80,2.67,24,44
21,03:19:58,80,2.67,22,44
22,03:19:59,80,2.67,23,44
24,03:20:01,81,3.17,12,45
25,03:20:02,81,3.17,22,44
26,03:20:03,82,3.17,24,44
27,03:20:04,81,3.17,15,44
28,03:20:05,81,3.17,11,44
29,03:20:06,82,3.48,22,44
30,03:20:07,82,3.48,22,44
31,03:20:08,82,3.48,10,44
32,03:20:09,82,3.48,11,44
33,03:20:10,82,3.48,10,45
34,03:20:11,82,3.44,23,44
35,03:20:12,82,3.44,23,44
36,03:20:13,82,3.44,14,44
37,03:20:14,82,3.44,22,44
38,03:20:15,81,3.73,23,44
39,03:20:16,81,3.73,21,44
40,03:20:17,80,3.73,11,44
41,03:20:18,80,3.73,10,44
42,03:20:19,80,3.73,10,44
43,03:20:20,80,3.67,10,44
44,03:20:21,80,3.67,11,45
45,03:20:22,81,3.67,16,44
46,03:20:23,81,3.67,23,44
47,03:20:24,81,3.67,22,44
48,03:20:25,82,3.62,13,44
49,03:20:26,81,3.62,11,44
50,03:20:27,80,3.62,12,44
51,03:20:28,80,3.62,22,44
52,03:20:29,80,3.62,13,44
53,03:20:30,79,4.37,11,44
55,03:20:32,80,4.37,10,45
56,03:20:33,79,4.37,23,44
57,03:20:34,79,4.37,22,44
58,03:20:35,79,4.37,10,47
59,03:20:36,79,4.34,11,44
60,03:20:37,79,4.34,23,44
61,03:20:38,79,4.34,11,44
62,03:20:39,79,4.34,11,45
63,03:20:40,79,4.34,11,44
64,03:20:41,79,4.31,24,45
65,03:20:42,79,4.31,29,45
66,03:20:43,79,4.31,11,44
67,03:20:44,79,4.31,10,45
68,03:20:45,79,4.31,22,44
69,03:20:46,79,4.69,22,44
70,03:20:47,80,4.69,11,44
71,03:20:48,80,4.69,11,45
72,03:20:49,80,4.69,22,44
73,03:20:50,79,5.67,11,44
74,03:20:51,79,5.67,10,45
75,03:20:52,79,5.67,22,44
76,03:20:53,79,5.67,11,44
77,03:20:54,79,5.67,11,45
78,03:20:55,79,6.18,22,44
79,03:20:56,79,6.18,10,44
80,03:20:57,79,6.18,12,44
81,03:20:58,79,6.18,22,44
82,03:20:59,79,6.18,11,44
83,03:21:00,79,6.65,20,45
84,03:21:01,79,6.65,22,44
86,03:21:03,79,6.65,12,44
87,03:21:04,78,6.65,22,45
88,03:21:05,79,6.65,22,44
89,03:21:06,79,6.83,10,44
90,03:21:07,79,6.83,10,45
91,03:21:08,79,6.83,23,45
92,03:21:09,79,6.83,11,44
93,03:21:10,79,6.83,22,45
94,03:21:11,79,6.53,22,44
95,03:21:12,80,6.53,10,45
96,03:21:13,80,6.53,11,45
97,03:21:14,79,6.53,22,45
98,03:21:15,79,6.53,11,44
99,03:21:16,79,6.24,22,48
100,03:21:17,79,6.24,22,45
101,03:21:18,79,6.24,23,45
102,03:21:19,79,6.24,11,44
103,03:21:20,79,6.06,11,45
104,03:21:21,79,6.06,12,45
105,03:21:22,79,6.06,12,44
106,03:21:23,79,6.06,11,46
107,03:21:24,79,6.06,24,45
108,03:21:25,79,5.82,23,45
109,03:21:26,79,5.82,11,45
110,03:21:27,79,5.82,11,45
111,03:21:28,79,5.82,23,45
112,03:21:29,79,5.82,35,46
113,03:21:30,79,6.55,13,45
114,03:21:31,80,6.55,10,45
115,03:21:32,80,6.55,11,45
117,03:21:34,80,6.55,10,46
118,03:21:35,80,6.55,18,45
119,03:21:36,80,6.43,23,45
120,03:21:37,80,6.43,19,45
121,03:21:38,80,6.43,11,45
122,03:21:39,81,6.43,23,45
123,03:21:40,81,6.43,22,45
124,03:21:41,81,6.88,11,45
125,03:21:42,82,6.88,11,45
126,03:21:43,81,6.88,10,46
127,03:21:44,80,6.88,22,45
128,03:21:45,80,6.88,11,45
129,03:21:46,80,7.21,12,45
130,03:21:47,80,7.21,10,45
131,03:21:48,80,7.21,21,45
132,03:21:49,80,7.21,21,45
133,03:21:50,80,7.03,10,45
134,03:21:51,79,7.03,16,45
135,03:21:52,79,7.03,21,45
136,03:21:53,79,7.03,13,45
137,03:21:54,79,7.03,15,45
138,03:21:55,79,6.87,14,45
139,03:21:56,79,6.87,11,45
140,03:21:57,79,6.87,22,45
141,03:21:58,79,6.87,13,45
142,03:21:59,79,6.87,10,46
143,03:22:00,79,6.80,10,45
144,03:22:01,79,6.80,22,45
145,03:22:02,79,6.80,16,45
147,03:22:04,79,6.80,12,45
148,03:22:05,79,6.80,12,46
149,03:22:06,79,6.49,21,45
150,03:22:07,79,6.49,23,45
151,03:22:08,79,6.49,12,45
152,03:22:09,79,6.49,11,46
153,03:22:10,79,6.49,21,45
154,03:22:11,79,6.29,11,45
155,03:22:12,79,6.29,11,47
156,03:22:13,79,6.29,20,45
157,03:22:14,79,6.29,21,45
158,03:22:15,79,6.29,11,45
159,03:22:16,79,6.19,10,45
160,03:22:17,79,6.19,21,45
161,03:22:18,79,6.19,32,45
162,03:22:19,79,6.19,32,46
163,03:22:20,79,5.85,11,45
164,03:22:21,79,5.85,21,46
165,03:22:22,79,5.85,12,45
166,03:22:23,79,5.85,10,45
167,03:22:24,79,5.85,11,45
168,03:22:25,79,5.54,21,45
169,03:22:26,79,5.54,13,45
170,03:22:27,79,5.54,11,45
171,03:22:28,79,5.54,10,45
172,03:22:29,79,5.54,21,46
173,03:22:30,79,5.50,12,45
174,03:22:31,79,5.50,21,46
175,03:22:32,79,5.50,23,45
176,03:22:33,79,5.50,24,46
178,03:22:35,79,5.50,10,45
179,03:22:36,79,5.86,11,45
180,03:22:37,79,5.86,22,46
181,03:22:38,79,5.86,13,45
182,03:22:39,79,5.86,10,45
183,03:22:40,79,5.86,11,45
184,03:22:41,79,5.71,22,46
185,03:22:42,79,5.71,11,45
186,03:22:43,79,5.71,19,45
187,03:22:44,79,5.71,12,45
188,03:22:45,79,5.71,11,45
189,03:22:46,79,5.49,10,45
190,03:22:47,79,5.49,21,48
191,03:22:48,79,5.49,22,46
192,03:22:49,79,5.49,11,45
193,03:22:50,79,5.29,14,45
194,03:22:51,79,5.29,22,46
195,03:22:52,79,5.29,11,45
196,03:22:53,79,5.29,11,45
197,03:22:54,79,5.29,20,45
198,03:22:55,79,5.03,22,46
199,03:22:56,79,5.03,21,45
200,03:22:57,79,5.03,12,45
201,03:22:58,79,5.03,10,45
202,03:22:59,79,5.03,21,46
203,03:23:00,79,4.95,11,45
204,03:23:01,79,4.95,11,45
205,03:23:02,79,4.95,22,45
206,03:23:03,79,4.95,21,46
208,03:23:05,79,4.95,11,45
209,03:23:06,79,4.79,11,45
210,03:23:07,79,4.79,21,45
211,03:23:08,78,4.79,12,45
212,03:23:09,78,4.79,22,46
213,03:23:10,79,4.79,11,45
214,03:23:11,79,4.81,10,45
215,03:23:12,79,4.81,11,45
216,03:23:13,79,4.81,11,45
217,03:23:14,79,4.81,10,45
218,03:23:15,79,4.81,21,46
219,03:23:16,79,4.66,10,45
220,03:23:17,79,4.66,11,45
221,03:23:18,79,4.66,21,45
222,03:23:19,79,4.66,22,45
223,03:23:20,79,4.66,11,45
224,03:23:21,79,4.77,11,45
225,03:23:22,79,4.77,21,47
226,03:23:23,79,4.77,18,45
227,03:23:24,79,4.77,11,45
228,03:23:25,78,4.87,11,45
229,03:23:26,79,4.87,21,45
230,03:23:27,79,4.87,12,46
231,03:23:28,79,4.87,10,45
232,03:23:29,79,4.87,22,45
233,03:23:30,79,5.20,21,46
234,03:23:31,79,5.20,11,45
235,03:23:32,79,5.20,12,45
236,03:23:33,79,5.20,21,45
237,03:23:34,79,5.20,18,45
239,03:23:36,79,6.87,11,45
240,03:23:37,79,6.87,21,45
241,03:23:38,79,6.87,20,46
242,03:23:39,79,6.87,10,45
243,03:23:40,80,6.87,9,45
244,03:23:41,79,6.48,11,45
245,03:23:42,79,6.48,12,45
