wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,02:34:17,61,1.90,9,43
1,02:34:18,61,1.90,22,44
2,02:34:19,60,1.90,10,43
3,02:34:20,61,1.74,10,43
4,02:34:21,67,1.74,12,43
5,02:34:22,70,1.74,2,43
6,02:34:23,73,1.74,11,44
7,02:34:24,76,1.74,9,44
8,02:34:25,77,1.68,9,44
9,02:34:26,76,1.68,5,43
10,02:34:27,76,1.68,8,44
11,02:34:28,78,1.68,8,43
12,02:34:29,77,1.68,8,43
13,02:34:30,77,1.63,25,45
14,02:34:31,77,1.63,25,44
15,02:34:32,80,1.63,8,44
16,02:34:33,79,1.63,17,44
17,02:34:34,79,1.63,19,45
18,02:34:35,79,2.38,26,45
19,02:34:36,80,2.38,17,45
20,02:34:37,80,2.38,26,46
21,02:34:38,79,2.38,24,45
22,02:34:39,81,2.38,9,44
23,02:34:40,81,2.43,8,44
24,02:34:41,81,2.43,16,44
25,02:34:42,80,2.43,16,44
26,02:34:43,80,2.43,7,43
28,02:34:45,80,3.04,8,44
29,02:34:46,80,3.04,27,45
30,02:34:47,82,3.04,15,44
31,02:34:48,82,3.04,25,46
32,02:34:49,82,3.04,8,44
33,02:34:50,82,4.31,18,44
34,02:34:51,82,4.31,10,44
35,02:34:52,81,4.31,20,46
36,02:34:53,82,4.31,10,45
37,02:34:54,81,4.31,17,45
38,02:34:55,81,4.53,19,45
39,02:34:56,81,4.53,18,45
40,02:34:57,81,4.53,24,45
41,02:34:58,81,4.53,17,45
42,02:34:59,81,4.53,18,45
43,02:35:00,81,5.85,18,45
44,02:35:01,81,5.85,19,44
45,02:35:02,80,5.85,19,45
46,02:35:03,79,5.85,22,45
47,02:35:04,79,5.85,12,44
48,02:35:05,78,5.62,19,44
49,02:35:06,78,5.62,15,45
50,02:35:07,78,5.62,12,45
51,02:35:08,77,5.62,12,44
52,02:35:09,78,5.62,8,44
53,02:35:10,78,5.41,11,44
54,02:35:11,78,5.41,19,44
55,02:35:12,78,5.41,19,45
56,02:35:13,78,5.41,19,45
57,02:35:14,78,5.38,20,46
59,02:35:16,77,5.38,12,44
60,02:35:17,77,5.38,25,45
61,02:35:18,78,5.38,20,46
62,02:35:19,78,5.38,22,45
63,02:35:20,78,5.35,18,45
64,02:35:21,78,5.35,19,46
65,02:35:22,78,5.35,12,44
66,02:35:23,78,5.35,20,45
67,02:35:24,78,5.35,14,44
68,02:35:25,78,6.04,10,44
69,02:35:26,79,6.04,12,45
70,02:35:27,80,6.04,13,44
71,02:35:28,80,6.04,16,46
72,02:35:29,79,6.04,19,45
73,02:35:30,79,6.04,11,45
74,02:35:31,79,6.04,21,45
75,02:35:32,79,6.04,11,45
76,02:35:33,79,6.04,18,45
77,02:35:34,78,6.04,17,45
78,02:35:35,79,6.27,18,45
79,02:35:36,78,6.27,14,45
80,02:35:37,78,6.27,13,46
81,02:35:38,78,6.27,12,45
82,02:35:39,78,6.27,12,44
83,02:35:40,78,6.97,12,45
84,02:35:41,78,6.97,23,45
85,02:35:42,78,6.97,18,45
86,02:35:43,78,6.97,12,45
87,02:35:44,78,6.97,26,45
88,02:35:45,79,8.26,25,45
90,02:35:47,78,8.26,17,45
91,02:35:48,78,8.26,22,45
92,02:35:49,78,8.26,27,45
93,02:35:50,78,7.84,25,46
94,02:35:51,79,7.84,27,45
95,02:35:52,79,7.84,19,45
96,02:35:53,79,7.84,22,45
97,02:35:54,80,7.84,18,46
98,02:35:55,79,8.33,20,45
99,02:35:56,79,8.33,18,45
100,02:35:57,79,8.33,19,46
101,02:35:58,79,8.33,16,45
102,02:35:59,79,8.33,19,46
103,02:36:00,79,9.50,21,45
104,02:36:01,79,9.50,12,45
105,02:36:02,79,9.50,28,45
106,02:36:03,80,9.50,22,47
107,02:36:04,81,9.50,19,46
108,02:36:05,80,9.06,20,45
109,02:36:06,80,9.06,21,45
110,02:36:07,79,9.06,29,47
111,02:36:08,79,9.06,20,45
112,02:36:09,79,9.06,22,46
113,02:36:10,79,8.66,20,45
114,02:36:11,79,8.66,28,46
115,02:36:12,79,8.66,19,46
116,02:36:13,79,8.66,15,45
117,02:36:14,79,8.66,21,49
118,02:36:15,79,8.20,11,45
119,02:36:16,79,8.20,10,45
120,02:36:17,79,8.20,27,46
122,02:36:19,79,8.20,17,46
123,02:36:20,79,7.79,17,45
124,02:36:21,79,7.79,18,46
125,02:36:22,79,7.79,18,45
126,02:36:23,79,7.79,19,46
127,02:36:24,79,7.79,17,46
128,02:36:25,78,7.40,19,46
129,02:36:26,79,7.40,18,46
130,02:36:27,79,7.40,15,46
131,02:36:28,78,7.40,20,46
132,02:36:29,79,7.40,11,46
133,02:36:30,79,7.21,18,49
134,02:36:31,79,7.21,21,46
135,02:36:32,79,7.21,18,46
136,02:36:33,79,7.21,19,47
137,02:36:34,79,7.21,37,47
138,02:36:35,79,7.51,18,47
139,02:36:36,79,7.51,19,46
140,02:36:37,79,7.51,26,48
141,02:36:38,79,7.51,19,46
142,02:36:39,79,7.51,18,48
143,02:36:40,79,7.23,21,46
144,02:36:41,79,7.23,18,46
145,02:36:42,79,7.23,19,47
146,02:36:43,79,7.23,25,46
147,02:36:44,79,7.23,18,46
148,02:36:45,79,6.97,18,46
149,02:36:46,78,6.97,11,46
150,02:36:47,78,6.97,19,46
151,02:36:48,78,6.97,18,46
153,02:36:50,78,6.66,22,46
154,02:36:51,79,6.66,18,47
155,02:36:52,79,6.66,18,46
156,02:36:53,79,6.66,12,46
157,02:36:54,79,6.66,26,46
158,02:36:55,79,6.28,19,46
159,02:36:56,78,6.28,18,47
160,02:36:57,78,6.28,18,46
161,02:36:58,78,6.28,19,46
162,02:36:59,78,6.28,18,48
163,02:37:00,79,6.02,17,46
164,02:37:01,78,6.02,24,46
165,02:37:02,79,6.02,18,46
166,02:37:03,79,6.02,19,46
167,02:37:04,78,6.02,18,46
168,02:37:05,78,5.94,26,46
169,02:37:06,78,5.94,25,46
170,02:37:07,79,5.94,18,47
171,02:37:08,79,5.94,20,47
172,02:37:09,79,5.94,18,46
173,02:37:10,79,6.10,16,46
174,02:37:11,79,6.10,18,46
175,02:37:12,78,6.10,24,46
176,02:37:13,79,6.10,27,46
177,02:37:14,79,6.10,18,46
178,02:37:15,79,6.41,19,47
179,02:37:16,79,6.41,17,46
180,02:37:17,79,6.41,18,46
181,02:37:18,79,6.41,19,47
182,02:37:19,79,6.30,24,47
184,02:37:21,79,6.30,18,46
185,02:37:22,79,6.30,25,46
186,02:37:23,78,6.30,12,46
187,02:37:24,78,6.30,18,48
188,02:37:25,78,6.04,18,46
189,02:37:26,78,6.04,18,46
190,02:37:27,78,6.04,25,46
191,02:37:28,79,6.04,22,46
192,02:37:29,79,6.04,17,46
193,02:37:30,78,5.87,25,46
194,02:37:31,78,5.87,18,46
195,02:37:32,78,5.87,10,46
196,02:37:33,78,5.87,19,46
197,02:37:34,78,5.87,18,47
198,02:37:35,78,5.64,10,46
199,02:37:36,78,5.64,18,47
200,02:37:37,78,5.64,18,46
201,02:37:38,78,5.64,19,46
