wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,21:30:04,70,1.84,8,41
1,21:30:05,70,1.84,6,41
2,21:30:06,69,2.10,10,42
3,21:30:07,71,2.10,6,41
4,21:30:08,73,2.10,7,41
5,21:30:09,73,2.10,1,42
6,21:30:10,75,2.10,7,43
7,21:30:11,77,2.25,9,42
8,21:30:12,77,2.25,6,42
9,21:30:13,78,2.25,7,42
10,21:30:14,79,2.25,6,42
11,21:30:15,78,2.25,12,42
12,21:30:16,79,2.31,7,42
13,21:30:17,80,2.31,7,42
14,21:30:18,81,2.31,6,42
15,21:30:19,80,2.31,7,42
16,21:30:20,81,2.31,8,42
17,21:30:21,86,2.45,12,42
19,21:30:23,87,2.45,8,42
20,21:30:24,88,2.45,12,43
21,21:30:25,88,2.45,13,43
22,21:30:26,88,2.45,12,42
23,21:30:27,88,3.13,11,43
24,21:30:28,88,3.13,12,43
25,21:30:29,88,3.13,13,43
26,21:30:30,88,3.13,8,42
27,21:30:31,88,3.13,13,43
28,21:30:32,88,3.20,7,43
29,21:30:33,89,3.20,12,43
30,21:30:34,89,3.20,12,43
31,21:30:35,89,3.20,11,46
32,21:30:36,88,3.27,9,43
33,21:30:37,89,3.27,7,42
34,21:30:38,89,3.27,11,42
35,21:30:39,89,3.27,7,42
36,21:30:40,89,3.27,6,42
37,21:30:41,88,4.29,8,42
38,21:30:42,88,4.29,8,42
39,21:30:43,88,4.29,11,43
40,21:30:44,88,4.29,6,42
41,21:30:45,88,4.29,11,43
42,21:30:46,88,4.66,9,42
43,21:30:47,88,4.66,11,42
44,21:30:48,87,4.66,8,42
45,21:30:49,82,4.66,5,42
46,21:30:50,79,4.66,6,42
47,21:30:51,76,4.29,7,42
48,21:30:52,74,4.29,6,42
49,21:30:53,73,4.29,6,42
51,21:30:55,70,4.29,6,42
52,21:30:56,68,4.29,6,42
53,21:30:57,66,4.03,6,42
54,21:30:58,65,4.03,7,42
55,21:30:59,63,4.03,6,42
56,21:31:00,62,4.03,5,42
57,21:31:01,61,4.03,7,42
58,21:31:02,60,3.86,6,42
59,21:31:03,59,3.86,6,42
60,21:31:04,59,3.86,7,42
61,21:31:05,58,3.86,5,41
62,21:31:06,57,3.55,8,42
63,21:31:07,62,3.55,6,42
64,21:31:08,61,3.55,5,42
65,21:31:09,60,3.55,6,41
66,21:31:10,63,3.55,6,42
67,21:31:11,65,3.35,5,41
68,21:31:12,63,3.35,6,41
69,21:31:13,65,3.35,6,41
70,21:31:14,63,3.35,5,41
71,21:31:15,64,3.35,6,41
72,21:31:16,63,3.24,9,42
73,21:31:17,65,3.24,5,41
74,21:31:18,66,3.24,6,41
75,21:31:19,64,3.24,5,41
76,21:31:20,66,3.24,5,41
77,21:31:21,66,2.98,9,42
78,21:31:22,65,2.98,6,41
79,21:31:23,63,2.98,6,41
80,21:31:24,65,2.98,7,41
81,21:31:25,66,2.98,5,41
82,21:31:26,64,2.90,6,41
83,21:31:27,65,2.90,7,41
84,21:31:28,67,2.90,6,41
85,21:31:29,65,2.90,6,41
87,21:31:31,65,2.90,6,41
88,21:31:32,65,2.67,6,41
89,21:31:33,66,2.67,6,41
90,21:31:34,64,2.67,7,41
91,21:31:35,65,2.67,6,41
92,21:31:36,66,2.67,6,41
93,21:31:37,64,2.46,7,41
94,21:31:38,66,2.46,6,41
95,21:31:39,65,2.46,17,42
96,21:31:40,66,2.46,7,42
97,21:31:41,65,2.58,17,42
98,21:31:42,66,2.58,6,42
99,21:31:43,67,2.58,8,42
100,21:31:44,65,2.58,5,42
101,21:31:45,67,2.58,14,42
102,21:31:46,67,2.37,16,42
103,21:31:47,66,2.37,5,41
104,21:31:48,64,2.37,6,41
105,21:31:49,66,2.37,6,41
106,21:31:50,66,2.37,6,41
107,21:31:51,65,2.18,8,41
108,21:31:52,65,2.18,6,41
109,21:31:53,67,2.18,6,41
110,21:31:54,65,2.18,6,41
111,21:31:55,64,2.18,5,41
112,21:31:56,65,2.17,6,41
113,21:31:57,66,2.17,13,42
114,21:31:58,69,2.17,15,42
115,21:31:59,70,2.17,6,42
116,21:32:00,70,2.17,14,42
117,21:32:01,69,2.07,14,42
118,21:32:02,69,2.07,6,42
119,21:32:03,68,2.07,17,42
120,21:32:04,68,2.07,17,42
122,21:32:06,66,2.07,8,42
123,21:32:07,68,2.07,13,42
124,21:32:08,69,2.07,7,42
125,21:32:09,67,2.07,7,42
126,21:32:10,67,2.07,7,42
127,21:32:11,72,2.07,8,42
128,21:32:12,70,1.90,16,42
129,21:32:13,68,1.90,7,42
130,21:32:14,67,1.90,8,42
131,21:32:15,66,1.90,7,42
132,21:32:16,64,1.75,6,42
133,21:32:17,63,1.75,5,42
134,21:32:18,61,1.75,5,41
135,21:32:19,60,1.75,7,41
136,21:32:20,59,1.75,5,41
137,21:32:21,59,1.61,8,42
138,21:32:22,58,1.61,6,41
139,21:32:23,57,1.61,6,41
140,21:32:24,57,1.61,6,42
141,21:32:25,61,1.61,7,41
142,21:32:26,61,1.48,9,42
143,21:32:27,61,1.48,6,41
144,21:32:28,60,1.48,6,41
145,21:32:29,59,1.48,5,41
146,21:32:30,59,1.48,6,42
147,21:32:31,58,1.52,8,42
148,21:32:32,59,1.52,7,42
149,21:32:33,59,1.52,6,41
150,21:32:34,58,1.52,6,41
151,21:32:35,58,1.52,7,41
152,21:32:36,57,1.40,7,42
153,21:32:37,58,1.40,11,42
154,21:32:38,57,1.40,6,41
156,21:32:40,62,1.40,6,41
157,21:32:41,62,1.40,6,41
158,21:32:42,61,1.29,6,41
159,21:32:43,60,1.29,5,41
160,21:32:44,59,1.29,6,41
161,21:32:45,58,1.29,6,41
162,21:32:46,58,1.29,6,41
163,21:32:47,57,1.18,6,41
164,21:32:48,57,1.18,5,41
165,21:32:49,59,1.18,8,42
166,21:32:50,60,1.18,18,43
167,21:32:51,59,1.17,9,42
168,21:32:52,59,1.17,8,42
169,21:32:53,58,1.17,7,42
170,21:32:54,62,1.17,7,42
171,21:32:55,62,1.17,7,42
172,21:32:56,62,1.16,9,42
173,21:32:57,61,1.16,8,42
174,21:32:58,60,1.16,8,42
175,21:32:59,59,1.16,7,42
176,21:33:00,58,1.16,8,42
177,21:33:01,58,1.22,9,42
178,21:33:02,57,1.22,7,42
179,21:33:03,65,1.22,1,41
