wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,21:23:04,62,1.04,1,38
1,21:23:05,60,1.04,0,38
2,21:23:06,59,0.96,1,38
3,21:23:07,60,0.96,1,38
4,21:23:08,65,0.96,1,38
5,21:23:09,68,0.96,1,40
6,21:23:10,70,0.96,5,40
7,21:23:11,74,1.12,1,39
8,21:23:12,75,1.12,1,39
9,21:23:13,75,1.12,0,39
10,21:23:14,75,1.12,1,39
11,21:23:15,75,1.12,2,39
12,21:23:16,76,1.11,1,39
13,21:23:17,78,1.11,1,39
14,21:23:18,76,1.11,1,39
15,21:23:19,76,1.11,2,39
16,21:23:20,82,1.11,1,39
17,21:23:21,83,1.50,7,40
18,21:23:22,84,1.50,6,40
19,21:23:23,86,1.50,7,40
20,21:23:24,86,1.50,8,40
21,21:23:25,87,1.50,6,41
23,21:23:27,87,1.78,7,40
24,21:23:28,87,1.78,10,40
25,21:23:29,87,1.78,12,40
26,21:23:30,87,1.78,14,40
27,21:23:31,87,1.78,7,40
28,21:23:32,88,2.60,12,40
28,21:23:32,LIMIT_HIT_88C
