wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,21:20:30,60,0.50,0,38
1,21:20:31,59,0.46,1,39
2,21:20:32,58,0.46,1,38
3,21:20:33,59,0.46,2,38
4,21:20:34,65,0.46,1,38
5,21:20:35,68,0.46,1,40
6,21:20:36,72,0.67,0,40
7,21:20:37,75,0.67,2,40
8,21:20:38,75,0.67,3,40
9,21:20:39,76,0.67,1,39
10,21:20:40,76,0.67,1,39
11,21:20:41,76,0.69,7,40
12,21:20:42,76,0.69,2,39
14,21:20:44,78,0.69,1,39
15,21:20:45,78,0.69,0,39
16,21:20:46,76,0.69,7,39
17,21:20:47,81,0.96,13,41
18,21:20:48,83,0.96,2,40
19,21:20:49,85,0.96,6,40
20,21:20:50,85,0.96,0,39
21,21:20:51,85,1.68,0,39
22,21:20:52,86,1.68,6,40
23,21:20:53,86,1.68,7,40
24,21:20:54,86,1.68,6,41
25,21:20:55,87,1.68,16,41
26,21:20:56,87,2.27,17,41
27,21:20:57,87,2.27,6,40
28,21:20:58,87,2.27,7,40
29,21:20:59,86,2.27,6,40
30,21:21:00,87,2.27,14,42
31,21:21:01,87,3.37,5,40
32,21:21:02,87,3.37,6,41
33,21:21:03,87,3.37,0,40
34,21:21:04,88,3.37,6,40
34,21:21:04,LIMIT_HIT_88C
