wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,21:01:02,60,0.52,1,40
1,21:01:03,59,0.52,1,39
2,21:01:04,59,0.52,1,40
3,21:01:05,62,0.52,0,39
4,21:01:06,66,0.64,1,40
5,21:01:07,69,0.64,2,42
6,21:01:08,74,0.64,1,42
7,21:01:09,76,0.64,1,42
8,21:01:10,76,0.64,1,41
9,21:01:11,77,0.75,0,41
10,21:01:12,77,0.75,2,41
11,21:01:13,78,0.75,3,41
12,21:01:14,79,0.75,1,41
13,21:01:15,80,0.75,1,41
14,21:01:16,78,0.85,1,41
15,21:01:17,77,0.85,1,41
16,21:01:18,84,0.85,1,41
17,21:01:19,87,0.85,6,41
18,21:01:20,88,0.85,2,41
18,21:01:20,LIMIT_HIT_88C
