wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,17:32:02,63,2.53,4,43
1,17:32:03,62,2.53,3,43
2,17:32:04,62,2.53,3,43
3,17:32:05,63,2.33,3,43
4,17:32:06,69,2.33,4,44
5,17:32:07,72,2.33,2,45
6,17:32:08,76,2.33,4,45
7,17:32:09,78,2.33,3,45
8,17:32:10,79,2.38,2,44
10,17:32:12,79,2.38,4,44
11,17:32:13,79,2.38,3,44
12,17:32:14,80,2.38,3,44
13,17:32:15,78,2.38,8,44
14,17:32:16,79,2.43,10,45
15,17:32:17,78,2.43,8,45
16,17:32:18,78,2.43,8,46
17,17:32:19,77,2.43,8,45
18,17:32:20,77,2.43,8,45
19,17:32:21,78,2.32,9,45
20,17:32:22,79,2.32,9,45
21,17:32:23,78,2.32,8,46
22,17:32:24,77,2.32,7,46
23,17:32:25,77,2.32,8,46
24,17:32:26,76,2.21,10,46
25,17:32:27,76,2.21,8,45
26,17:32:28,76,2.21,8,45
27,17:32:29,77,2.21,8,45
28,17:32:30,77,2.21,9,46
29,17:32:31,79,2.67,8,46
30,17:32:32,81,2.67,8,44
31,17:32:33,80,2.67,8,44
32,17:32:34,79,2.67,11,44
33,17:32:35,78,3.26,13,44
34,17:32:36,78,3.26,10,44
35,17:32:37,78,3.26,8,44
36,17:32:38,77,3.26,8,44
37,17:32:39,77,3.26,9,44
38,17:32:40,77,3.40,10,44
39,17:32:41,77,3.40,10,45
40,17:32:42,77,3.40,9,44
42,17:32:44,77,3.40,8,44
43,17:32:45,78,3.40,11,44
44,17:32:46,78,3.13,16,44
45,17:32:47,79,3.13,9,44
46,17:32:48,78,3.13,8,44
47,17:32:49,78,3.13,8,44
48,17:32:50,78,3.13,10,45
49,17:32:51,78,3.36,9,45
50,17:32:52,78,3.36,8,45
51,17:32:53,77,3.36,8,46
52,17:32:54,78,3.36,9,44
53,17:32:55,79,3.36,8,44
54,17:32:56,78,3.49,10,45
55,17:32:57,78,3.49,8,47
56,17:32:58,79,3.49,8,44
57,17:32:59,78,3.49,14,44
58,17:33:00,79,3.49,9,44
59,17:33:01,80,3.53,9,45
60,17:33:02,79,3.53,11,44
61,17:33:03,79,3.53,14,44
62,17:33:04,79,3.53,10,44
63,17:33:05,79,3.89,9,44
64,17:33:06,80,3.89,9,44
65,17:33:07,80,3.89,9,45
66,17:33:08,80,3.89,9,45
67,17:33:09,80,3.89,8,44
68,17:33:10,81,4.06,9,44
69,17:33:11,80,4.06,10,45
70,17:33:12,80,4.06,9,45
71,17:33:13,79,4.06,9,44
72,17:33:14,79,4.06,8,44
74,17:33:16,79,4.05,14,44
75,17:33:17,78,4.05,9,44
76,17:33:18,78,4.05,11,44
77,17:33:19,78,4.05,8,44
78,17:33:20,78,4.05,9,45
79,17:33:21,78,4.69,10,45
80,17:33:22,78,4.69,14,44
81,17:33:23,78,4.69,9,44
82,17:33:24,77,4.69,9,44
83,17:33:25,78,4.69,8,44
84,17:33:26,77,4.39,13,45
85,17:33:27,78,4.39,8,44
86,17:33:28,77,4.39,7,44
87,17:33:29,77,4.39,8,44
88,17:33:30,78,4.39,7,44
89,17:33:31,79,4.12,10,45
90,17:33:32,79,4.12,9,45
91,17:33:33,79,4.12,10,44
92,17:33:34,80,4.12,9,44
93,17:33:35,80,4.12,8,45
94,17:33:36,80,3.87,9,45
95,17:33:37,79,3.87,8,45
96,17:33:38,79,3.87,8,45
97,17:33:39,79,3.87,10,45
98,17:33:40,80,3.88,9,45
99,17:33:41,80,3.88,10,46
100,17:33:42,79,3.88,9,45
101,17:33:43,79,3.88,8,45
102,17:33:44,80,3.88,8,44
103,17:33:45,80,4.45,9,44
105,17:33:47,80,4.45,10,44
106,17:33:48,80,4.45,8,44
107,17:33:49,80,4.45,9,44
108,17:33:50,80,4.45,8,44
109,17:33:51,80,4.58,5,44
110,17:33:52,81,4.58,8,44
111,17:33:53,80,4.58,9,45
112,17:33:54,80,4.58,8,44
113,17:33:55,81,4.58,8,44
114,17:33:56,80,4.69,10,44
115,17:33:57,80,4.69,8,45
116,17:33:58,80,4.69,8,45
117,17:33:59,80,4.69,8,44
118,17:34:00,80,4.69,8,45
119,17:34:01,80,5.12,10,45
120,17:34:02,80,5.12,9,45
121,17:34:03,80,5.12,9,44
122,17:34:04,80,5.12,8,44
123,17:34:05,80,5.12,9,44
124,17:34:06,79,5.67,8,44
125,17:34:07,79,5.67,8,44
126,17:34:08,80,5.67,8,44
127,17:34:09,80,5.67,9,48
128,17:34:10,80,5.45,9,45
129,17:34:11,80,5.45,9,44
130,17:34:12,80,5.45,8,44
131,17:34:13,79,5.45,4,44
132,17:34:14,79,5.45,7,44
133,17:34:15,79,6.62,10,44
134,17:34:16,79,6.62,10,44
136,17:34:18,79,6.62,9,44
137,17:34:19,80,6.62,9,44
138,17:34:20,80,6.62,8,44
139,17:34:21,79,6.73,11,44
140,17:34:22,79,6.73,8,44
141,17:34:23,80,6.73,6,44
142,17:34:24,80,6.73,8,45
143,17:34:25,80,6.73,8,44
144,17:34:26,80,7.07,9,45
145,17:34:27,80,7.07,6,44
146,17:34:28,80,7.07,8,44
147,17:34:29,80,7.07,8,44
148,17:34:30,80,7.07,8,44
149,17:34:31,80,7.07,9,45
150,17:34:32,80,7.07,9,44
151,17:34:33,80,7.07,8,44
152,17:34:34,80,7.07,10,44
153,17:34:35,80,7.07,8,44
154,17:34:36,80,6.58,8,44
155,17:34:37,80,6.58,10,45
156,17:34:38,80,6.58,9,45
157,17:34:39,80,6.58,9,46
158,17:34:40,80,6.13,8,47
159,17:34:41,80,6.13,8,44
160,17:34:42,80,6.13,8,44
161,17:34:43,80,6.13,9,44
162,17:34:44,80,6.13,9,44
163,17:34:45,80,5.88,10,44
165,17:34:47,80,5.88,9,44
166,17:34:48,80,5.88,9,44
167,17:34:49,80,5.88,8,45
168,17:34:50,80,5.88,9,45
169,17:34:51,81,6.29,9,44
170,17:34:52,81,6.29,9,44
171,17:34:53,81,6.29,9,44
172,17:34:54,81,6.29,9,44
173,17:34:55,81,6.29,9,44
174,17:34:56,80,5.95,10,45
175,17:34:57,81,5.95,8,44
176,17:34:58,81,5.95,9,44
177,17:34:59,81,5.95,9,45
178,17:35:00,81,5.95,9,45
179,17:35:01,81,6.75,10,47
180,17:35:02,81,6.75,10,44
181,17:35:03,81,6.75,9,44
182,17:35:04,81,6.75,8,44
183,17:35:05,80,6.75,8,45
184,17:35:06,80,6.53,10,45
185,17:35:07,80,6.53,8,44
186,17:35:08,80,6.53,8,44
187,17:35:09,80,6.53,3,45
188,17:35:10,80,6.73,9,46
189,17:35:11,80,6.73,10,44
190,17:35:12,80,6.73,9,44
191,17:35:13,80,6.73,8,44
192,17:35:14,80,6.73,9,44
193,17:35:15,80,6.51,8,45
194,17:35:16,81,6.51,9,45
196,17:35:18,81,6.51,8,45
197,17:35:19,81,6.51,9,44
198,17:35:20,80,6.51,8,44
199,17:35:21,81,7.11,9,45
200,17:35:22,80,7.11,9,45
201,17:35:23,81,7.11,9,47
202,17:35:24,80,7.11,10,44
203,17:35:25,80,7.11,9,44
204,17:35:26,81,6.70,10,45
