wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,17:29:42,64,0.53,3,42
1,17:29:43,63,0.53,4,42
2,17:29:44,62,0.53,4,42
3,17:29:45,63,0.53,4,42
4,17:29:46,67,0.65,5,43
5,17:29:47,71,0.65,1,44
6,17:29:48,76,0.65,3,44
7,17:29:49,78,0.65,3,44
8,17:29:50,79,0.67,3,43
9,17:29:51,79,0.67,5,43
10,17:29:52,79,0.67,4,43
11,17:29:53,79,0.67,3,43
12,17:29:54,78,0.67,6,43
13,17:29:55,78,0.62,9,44
14,17:29:56,77,0.62,8,44
16,17:29:58,77,0.62,7,45
17,17:29:59,76,0.62,8,45
18,17:30:00,77,0.62,8,45
19,17:30:01,78,0.65,10,44
20,17:30:02,79,0.65,14,44
21,17:30:03,78,0.65,12,44
22,17:30:04,77,0.65,14,44
23,17:30:05,76,0.65,14,44
24,17:30:06,76,1.48,15,44
25,17:30:07,76,1.48,10,44
26,17:30:08,76,1.48,8,44
27,17:30:09,76,1.48,9,44
28,17:30:10,77,1.48,8,44
29,17:30:11,78,1.44,9,45
30,17:30:12,80,1.44,8,44
31,17:30:13,79,1.44,8,44
32,17:30:14,78,1.44,9,44
33,17:30:15,78,1.44,9,45
34,17:30:16,77,1.49,8,44
35,17:30:17,77,1.49,3,43
36,17:30:18,77,1.49,9,44
37,17:30:19,77,1.49,9,44
38,17:30:20,77,1.45,9,45
39,17:30:21,77,1.45,9,44
40,17:30:22,77,1.45,8,43
41,17:30:23,77,1.45,12,43
42,17:30:24,77,1.45,14,44
43,17:30:25,77,1.33,10,44
44,17:30:26,78,1.33,14,44
45,17:30:27,78,1.33,10,44
46,17:30:28,77,1.33,10,44
48,17:30:30,77,1.33,8,45
49,17:30:31,77,1.30,11,44
50,17:30:32,77,1.30,9,44
51,17:30:33,77,1.30,11,44
52,17:30:34,77,1.30,14,44
53,17:30:35,78,1.30,8,44
54,17:30:36,78,1.92,11,44
55,17:30:37,78,1.92,9,44
56,17:30:38,79,1.92,9,44
57,17:30:39,78,1.92,9,44
58,17:30:40,79,1.92,9,44
59,17:30:41,79,1.85,13,44
60,17:30:42,79,1.85,8,44
61,17:30:43,79,1.85,8,44
62,17:30:44,79,1.85,10,45
63,17:30:45,80,1.85,8,44
64,17:30:46,80,2.02,8,45
65,17:30:47,79,2.02,8,44
66,17:30:48,79,2.02,9,44
67,17:30:49,79,2.02,14,44
68,17:30:50,78,1.94,15,44
69,17:30:51,78,1.94,8,44
70,17:30:52,78,1.94,9,44
71,17:30:53,79,1.94,8,45
72,17:30:54,78,1.94,9,45
73,17:30:55,78,1.86,12,44
74,17:30:56,78,1.86,8,45
75,17:30:57,78,1.86,9,44
76,17:30:58,78,1.86,12,44
77,17:30:59,78,1.86,8,44
79,17:31:01,78,3.16,8,44
80,17:31:02,77,3.16,8,44
81,17:31:03,77,3.16,3,44
82,17:31:04,77,3.16,11,44
83,17:31:05,78,3.16,9,44
84,17:31:06,78,3.22,10,44
85,17:31:07,78,3.22,9,44
86,17:31:08,78,3.22,9,45
87,17:31:09,78,3.22,8,46
88,17:31:10,77,3.22,8,44
89,17:31:11,77,3.61,10,44
90,17:31:12,77,3.61,8,44
91,17:31:13,79,3.61,9,46
92,17:31:14,78,3.61,9,44
93,17:31:15,79,3.61,12,44
94,17:31:16,79,3.40,10,44
95,17:31:17,79,3.40,8,44
96,17:31:18,79,3.40,9,44
97,17:31:19,79,3.40,11,44
98,17:31:20,79,3.40,9,44
99,17:31:21,78,3.28,8,44
100,17:31:22,78,3.28,9,44
101,17:31:23,79,3.28,13,44
102,17:31:24,79,3.28,11,44
103,17:31:25,79,3.42,9,44
104,17:31:26,80,3.42,8,44
105,17:31:27,80,3.42,9,44
106,17:31:28,80,3.42,15,44
108,17:31:30,80,3.42,8,47
109,17:31:31,80,3.39,10,44
110,17:31:32,80,3.39,7,44
111,17:31:33,79,3.39,8,44
112,17:31:34,80,3.39,10,44
113,17:31:35,80,3.39,9,44
114,17:31:36,80,3.44,10,44
115,17:31:37,80,3.44,9,44
116,17:31:38,81,3.44,9,44
