wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,09:34:55,81,1.88,3,43
1,09:34:56,81,1.88,5,43
2,09:34:57,81,1.97,10,44
3,09:34:58,81,1.97,3,43
4,09:34:59,82,1.97,3,44
5,09:35:00,82,1.97,1,45
6,09:35:01,83,1.97,6,44
7,09:35:02,83,2.46,11,45
8,09:35:03,84,2.46,4,44
9,09:35:04,84,2.46,6,44
10,09:35:05,84,2.46,5,44
11,09:35:06,84,2.46,4,44
12,09:35:07,84,2.58,4,44
13,09:35:08,84,2.58,9,44
14,09:35:09,83,2.58,13,44
15,09:35:10,83,2.58,9,45
17,09:35:12,83,2.58,13,45
18,09:35:13,84,2.69,8,45
19,09:35:14,85,2.69,9,44
20,09:35:15,84,2.69,8,44
