wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,03:36:09,69,1.98,12,44
1,03:36:10,68,1.98,11,44
2,03:36:11,68,1.90,12,44
3,03:36:12,69,1.90,12,44
4,03:36:13,71,1.90,13,44
5,03:36:14,72,1.90,2,44
6,03:36:15,75,1.91,1,44
7,03:36:16,78,1.91,11,44
8,03:36:17,78,1.91,12,44
9,03:36:18,77,1.91,21,44
10,03:36:19,79,1.91,13,45
11,03:36:20,80,2.56,11,44
12,03:36:22,80,2.56,8,44
14,03:36:23,79,2.56,1,43
15,03:36:24,80,2.56,24,48
16,03:36:25,81,2.56,3,44
17,03:36:26,81,2.60,30,46
18,03:36:27,80,2.60,9,45
19,03:36:28,80,2.60,29,46
20,03:36:29,81,2.60,33,46
21,03:36:30,81,2.60,42,49
22,03:36:31,80,2.55,33,46
23,03:36:32,81,2.55,29,49
24,03:36:33,81,2.55,42,47
25,03:36:34,81,2.55,31,48
26,03:36:35,81,2.55,32,46
27,03:36:36,81,2.58,30,49
28,03:36:37,81,2.58,24,48
29,03:36:38,81,2.58,39,47
30,03:36:39,82,2.58,21,46
31,03:36:40,83,2.58,22,46
32,03:36:41,83,3.26,32,47
33,03:36:42,82,3.26,22,46
34,03:36:43,82,3.26,23,46
35,03:36:44,82,3.26,30,46
36,03:36:45,81,3.24,22,48
37,03:36:46,80,3.24,22,46
38,03:36:47,80,3.24,31,50
39,03:36:48,79,3.24,24,46
40,03:36:49,79,3.24,25,50
41,03:36:50,79,3.22,29,50
42,03:36:51,79,3.22,33,47
43,03:36:52,79,3.22,32,49
45,03:36:54,79,3.22,25,46
46,03:36:55,79,3.22,33,48
47,03:36:56,79,3.44,32,47
48,03:36:57,79,3.44,22,47
49,03:36:58,79,3.44,22,47
50,03:36:59,79,3.44,33,47
51,03:37:00,79,3.44,32,47
52,03:37:01,79,3.41,31,47
53,03:37:02,79,3.41,27,47
54,03:37:03,79,3.41,27,46
55,03:37:04,79,3.41,26,49
56,03:37:05,79,3.41,22,47
57,03:37:06,79,3.45,23,47
58,03:37:07,79,3.45,27,47
59,03:37:08,79,3.45,30,47
60,03:37:09,79,3.45,29,47
61,03:37:10,79,3.45,22,47
62,03:37:11,80,3.42,29,47
63,03:37:12,80,3.42,32,47
64,03:37:13,80,3.42,24,47
65,03:37:14,80,3.42,31,50
66,03:37:15,80,3.46,21,47
67,03:37:16,80,3.46,29,47
68,03:37:17,80,3.46,24,47
69,03:37:18,80,3.46,32,47
70,03:37:19,80,3.46,27,50
71,03:37:20,80,3.91,24,47
72,03:37:21,80,3.91,22,47
73,03:37:22,80,3.91,23,47
74,03:37:23,80,3.91,33,49
75,03:37:24,80,3.91,32,48
77,03:37:26,79,3.92,26,50
78,03:37:27,79,3.92,32,48
79,03:37:28,79,3.92,32,48
80,03:37:29,79,3.92,32,48
81,03:37:30,79,3.92,32,48
82,03:37:31,79,3.92,22,47
83,03:37:32,79,3.92,21,47
84,03:37:33,79,3.92,22,47
85,03:37:34,79,3.92,23,47
86,03:37:35,79,3.92,22,47
87,03:37:36,79,3.85,31,48
88,03:37:37,79,3.85,22,48
89,03:37:38,79,3.85,23,47
90,03:37:39,79,3.85,22,47
91,03:37:40,80,3.85,29,48
92,03:37:41,80,3.86,32,48
93,03:37:42,80,3.86,30,51
94,03:37:43,80,3.86,33,48
95,03:37:44,80,3.86,32,48
96,03:37:45,80,3.86,28,50
97,03:37:46,80,4.43,29,49
98,03:37:47,79,4.43,25,47
99,03:37:48,79,4.43,23,47
100,03:37:49,79,4.43,21,47
101,03:37:50,79,4.80,22,47
102,03:37:51,79,4.80,22,47
103,03:37:52,79,4.80,22,47
104,03:37:53,79,4.80,22,47
105,03:37:54,79,4.80,24,50
106,03:37:55,80,7.22,20,47
108,03:37:57,80,7.22,21,47
109,03:37:58,80,7.22,22,47
110,03:37:59,80,7.22,23,48
111,03:38:00,80,7.22,21,48
112,03:38:01,79,6.88,21,48
113,03:38:02,79,6.88,31,52
114,03:38:03,79,6.88,26,51
115,03:38:04,80,6.88,29,50
116,03:38:05,80,6.88,21,48
117,03:38:06,80,8.33,21,48
118,03:38:07,80,8.33,21,48
119,03:38:08,80,8.33,32,48
120,03:38:09,80,8.33,31,51
121,03:38:10,79,8.33,31,49
122,03:38:11,80,8.06,31,49
123,03:38:12,80,8.06,31,49
124,03:38:13,79,8.06,23,48
125,03:38:14,79,8.06,21,48
126,03:38:15,79,8.06,23,48
127,03:38:16,79,8.38,21,48
128,03:38:17,79,8.38,28,48
129,03:38:18,80,8.38,22,48
130,03:38:19,80,8.38,30,48
131,03:38:20,80,7.95,29,48
132,03:38:21,80,7.95,27,48
133,03:38:22,80,7.95,30,48
134,03:38:23,80,7.95,30,51
135,03:38:24,79,7.95,21,48
137,03:38:26,80,7.47,27,50
138,03:38:27,79,7.47,20,48
139,03:38:28,79,7.47,21,48
140,03:38:29,79,7.47,22,48
141,03:38:30,79,7.47,21,48
142,03:38:31,79,7.11,20,48
143,03:38:32,79,7.11,21,48
144,03:38:33,79,7.11,30,48
145,03:38:34,79,7.11,23,48
146,03:38:35,79,7.11,21,48
147,03:38:36,79,6.86,21,48
148,03:38:37,79,6.86,31,52
149,03:38:38,79,6.86,26,50
150,03:38:39,80,6.86,22,48
151,03:38:40,80,6.86,21,48
152,03:38:41,80,7.11,21,48
153,03:38:42,80,7.11,22,48
154,03:38:43,80,7.11,22,48
155,03:38:44,79,7.11,21,48
156,03:38:45,79,7.11,32,49
157,03:38:46,79,6.79,32,49
158,03:38:47,79,6.79,31,49
159,03:38:48,79,6.79,26,51
160,03:38:49,79,6.79,21,48
161,03:38:50,79,7.28,31,49
162,03:38:51,79,7.28,31,48
163,03:38:52,79,7.28,29,50
164,03:38:53,80,7.28,23,48
165,03:38:54,80,7.28,32,49
166,03:38:55,80,7.18,22,48
168,03:38:57,80,7.18,21,48
169,03:38:58,80,7.18,22,48
170,03:38:59,80,7.18,33,49
171,03:39:00,79,7.18,31,49
172,03:39:01,80,7.09,31,49
173,03:39:02,80,7.09,32,49
174,03:39:03,79,7.09,34,48
175,03:39:04,79,7.09,22,48
176,03:39:05,80,7.09,22,48
177,03:39:06,80,6.76,20,48
178,03:39:07,80,6.76,20,48
179,03:39:08,80,6.76,27,49
180,03:39:09,80,6.76,26,49
181,03:39:10,80,6.76,30,50
182,03:39:11,80,7.10,22,49
183,03:39:12,80,7.10,27,48
184,03:39:13,80,7.10,22,48
