wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,06:58:21,84,6.33,1,43
2,06:58:23,84,6.07,1,43
3,06:58:24,84,6.07,1,43
4,06:58:25,84,6.07,1,43
5,06:58:26,85,6.07,6,44
6,06:58:27,86,6.07,1,45
7,06:58:28,88,5.98,1,44
8,06:58:29,87,5.98,1,44
9,06:58:30,88,5.98,1,44
10,06:58:31,88,5.98,4,44
11,06:58:32,88,5.98,1,44
12,06:58:33,89,5.82,1,44
13,06:58:34,89,5.82,1,44
14,06:58:35,89,5.82,7,45
15,06:58:36,89,5.82,6,44
16,06:58:37,88,5.82,12,44
17,06:58:38,88,6.00,7,44
18,06:58:39,89,6.00,9,44
19,06:58:40,88,6.00,7,45
20,06:58:41,88,6.00,6,45
21,06:58:42,88,6.00,6,45
22,06:58:43,88,5.92,7,45
23,06:58:44,88,5.92,8,46
24,06:58:45,89,5.92,10,45
25,06:58:46,88,5.92,12,45
26,06:58:47,88,5.76,1,44
27,06:58:48,88,5.76,11,45
28,06:58:49,88,5.76,7,45
29,06:58:50,88,5.76,6,45
30,06:58:51,88,5.76,6,44
31,06:58:52,88,5.54,6,44
32,06:58:53,89,5.54,6,44
33,06:58:54,89,5.54,7,44
35,06:58:56,89,5.54,7,44
36,06:58:57,89,5.54,6,44
37,06:58:58,89,6.38,6,44
38,06:58:59,89,6.38,6,44
39,06:59:00,89,6.38,7,44
40,06:59:01,89,6.38,9,44
41,06:59:02,89,6.38,7,44
42,06:59:03,89,6.35,6,44
43,06:59:04,89,6.35,7,46
44,06:59:05,89,6.35,6,44
45,06:59:06,89,6.35,6,44
46,06:59:07,89,6.35,6,45
47,06:59:08,89,6.64,11,44
48,06:59:09,89,6.64,7,44
49,06:59:10,89,6.64,7,44
50,06:59:11,89,6.64,1,43
51,06:59:12,89,6.64,7,44
52,06:59:13,89,7.87,7,44
53,06:59:14,89,7.87,6,47
54,06:59:15,89,7.87,7,44
55,06:59:16,89,7.87,7,44
56,06:59:17,89,7.64,6,45
57,06:59:18,89,7.64,12,44
58,06:59:19,89,7.64,7,44
59,06:59:20,89,7.64,6,44
60,06:59:21,89,7.64,12,44
61,06:59:22,89,7.35,7,44
62,06:59:23,89,7.35,6,46
63,06:59:24,89,7.35,11,44
65,06:59:26,89,7.35,7,44
66,06:59:27,89,7.35,7,44
67,06:59:28,89,7.08,6,46
68,06:59:29,90,7.08,12,44
69,06:59:30,90,7.08,6,44
70,06:59:31,89,7.08,6,44
71,06:59:32,89,7.08,11,44
72,06:59:33,89,7.39,7,44
73,06:59:34,89,7.39,7,44
74,06:59:35,90,7.39,9,44
75,06:59:36,90,7.39,6,44
76,06:59:37,90,7.39,6,44
77,06:59:38,90,8.24,7,44
78,06:59:39,90,8.24,7,44
79,06:59:40,90,8.24,7,44
80,06:59:41,90,8.24,6,44
81,06:59:42,90,8.24,7,44
82,06:59:43,90,8.79,12,44
83,06:59:44,90,8.79,6,44
84,06:59:45,90,8.79,1,44
85,06:59:46,90,8.79,7,45
86,06:59:47,90,9.28,8,44
87,06:59:48,90,9.28,6,44
88,06:59:49,90,9.28,7,45
89,06:59:50,90,9.28,10,44
90,06:59:51,90,9.28,6,44
91,06:59:52,90,8.94,7,45
92,06:59:53,90,8.94,6,44
93,06:59:54,89,8.94,11,44
94,06:59:55,89,8.94,6,44
96,06:59:57,90,8.94,6,45
97,06:59:58,90,8.54,10,44
98,06:59:59,90,8.54,6,45
99,07:00:00,90,8.54,6,44
100,07:00:01,90,8.54,7,44
101,07:00:02,90,8.54,6,45
102,07:00:03,90,8.18,11,44
103,07:00:04,90,8.18,7,44
104,07:00:05,90,8.18,6,44
105,07:00:06,90,8.18,10,44
106,07:00:07,90,8.18,6,44
107,07:00:08,90,8.25,7,44
