wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,18:03:28,78,4.30,1,42
1,18:03:29,78,4.30,1,43
2,18:03:30,78,4.30,1,42
3,18:03:31,78,4.30,13,43
4,18:03:32,79,4.30,3,43
5,18:03:33,80,4.20,1,44
6,18:03:34,81,4.20,1,44
7,18:03:35,81,4.20,1,44
8,18:03:36,82,4.20,12,44
9,18:03:37,82,4.20,2,43
11,18:03:39,82,4.18,11,44
12,18:03:40,84,4.18,1,43
13,18:03:41,84,4.18,1,44
14,18:03:42,83,4.18,11,44
15,18:03:43,83,4.18,11,44
16,18:03:44,83,3.93,22,45
17,18:03:45,82,3.93,6,44
18,18:03:46,82,3.93,6,44
19,18:03:47,82,3.93,6,44
20,18:03:48,83,3.93,6,44
21,18:03:49,84,5.45,17,45
22,18:03:50,84,5.45,6,46
23,18:03:51,84,5.45,6,44
24,18:03:52,84,5.45,7,44
25,18:03:53,84,5.66,6,44
26,18:03:54,83,5.66,11,45
27,18:03:55,84,5.66,6,45
28,18:03:56,84,5.66,23,45
29,18:03:57,84,5.66,9,44
30,18:03:58,84,5.36,11,43
31,18:03:59,84,5.36,10,44
32,18:04:00,84,5.36,6,44
33,18:04:01,84,5.36,18,45
34,18:04:02,84,5.36,6,44
35,18:04:03,84,5.10,6,44
36,18:04:04,84,5.10,6,47
37,18:04:05,84,5.10,6,46
38,18:04:06,84,5.10,23,44
39,18:04:07,84,5.10,12,43
40,18:04:08,84,4.85,11,43
41,18:04:09,83,4.85,12,43
42,18:04:10,84,4.85,6,44
44,18:04:12,84,4.85,7,44
45,18:04:13,84,4.85,6,44
46,18:04:14,84,5.34,18,45
47,18:04:15,83,5.34,6,44
48,18:04:16,83,5.34,6,44
49,18:04:17,83,5.34,11,44
50,18:04:18,83,5.34,11,43
51,18:04:19,84,5.15,18,44
52,18:04:20,83,5.15,6,44
53,18:04:21,83,5.15,6,44
54,18:04:22,83,5.15,6,44
55,18:04:23,83,4.98,6,44
56,18:04:24,83,4.98,12,44
57,18:04:25,83,4.98,6,45
58,18:04:26,83,4.98,7,43
59,18:04:27,83,4.98,6,44
60,18:04:28,83,4.74,6,44
61,18:04:29,83,4.74,6,44
62,18:04:30,83,4.74,6,44
63,18:04:31,83,4.74,18,46
64,18:04:32,83,4.74,6,45
65,18:04:33,84,4.60,7,43
66,18:04:34,84,4.60,6,44
67,18:04:35,83,4.60,6,44
68,18:04:36,83,4.60,18,45
69,18:04:37,83,4.60,6,45
70,18:04:38,83,4.39,6,44
71,18:04:39,83,4.39,6,44
72,18:04:40,83,4.39,6,43
73,18:04:41,83,4.39,23,44
74,18:04:42,83,4.39,11,44
76,18:04:44,83,4.12,12,44
77,18:04:45,83,4.12,7,44
78,18:04:46,83,4.12,7,44
79,18:04:47,83,4.12,6,44
80,18:04:48,83,4.12,6,44
81,18:04:49,83,4.11,18,45
82,18:04:50,83,4.11,6,44
83,18:04:51,83,4.11,6,44
84,18:04:52,84,4.11,6,44
85,18:04:53,84,4.11,6,44
86,18:04:54,84,3.86,18,44
87,18:04:55,83,3.86,11,44
88,18:04:56,83,3.86,11,44
89,18:04:57,83,3.86,6,44
90,18:04:58,83,4.19,6,44
91,18:04:59,83,4.19,18,45
92,18:05:00,84,4.19,6,45
93,18:05:01,84,4.19,18,46
94,18:05:02,85,4.19,8,44
95,18:05:03,84,3.94,1,43
96,18:05:04,84,3.94,6,44
97,18:05:05,84,3.94,6,44
98,18:05:06,84,3.94,17,44
99,18:05:07,84,3.94,12,44
100,18:05:08,84,4.26,7,44
101,18:05:09,84,4.26,6,44
102,18:05:10,84,4.26,7,45
103,18:05:11,84,4.26,18,44
104,18:05:12,84,4.26,7,47
105,18:05:13,84,4.00,8,44
106,18:05:14,84,4.00,6,44
108,18:05:16,84,4.00,6,44
109,18:05:17,84,4.00,6,45
110,18:05:18,84,4.00,11,44
111,18:05:19,84,4.32,18,45
112,18:05:20,84,4.32,6,44
113,18:05:21,84,4.32,6,45
114,18:05:22,84,4.32,11,44
115,18:05:23,84,4.32,6,44
116,18:05:24,84,4.22,18,45
117,18:05:25,84,4.22,6,44
118,18:05:26,84,4.22,11,44
119,18:05:27,84,4.22,6,44
120,18:05:28,84,4.04,6,44
121,18:05:29,84,4.04,17,45
122,18:05:30,84,4.04,1,43
123,18:05:31,84,4.04,6,45
124,18:05:32,84,4.04,6,44
125,18:05:33,84,3.87,6,44
126,18:05:34,84,3.87,6,45
127,18:05:35,84,3.87,11,44
128,18:05:36,84,3.87,18,45
129,18:05:37,84,3.87,6,44
130,18:05:38,84,3.88,10,44
131,18:05:39,84,3.88,6,44
132,18:05:40,84,3.88,6,45
133,18:05:41,84,3.88,18,44
134,18:05:42,84,3.88,12,44
135,18:05:43,84,3.89,7,44
136,18:05:44,84,3.89,6,44
137,18:05:45,84,3.89,6,44
139,18:05:47,84,3.89,18,45
140,18:05:48,85,3.89,6,45
141,18:05:49,85,4.38,18,44
142,18:05:50,84,4.38,6,44
143,18:05:51,84,4.38,11,44
144,18:05:52,84,4.38,6,44
145,18:05:53,84,4.38,1,44
146,18:05:54,84,4.19,18,46
147,18:05:55,84,4.19,6,44
148,18:05:56,84,4.19,11,44
149,18:05:57,84,4.19,6,44
150,18:05:58,84,3.94,6,44
151,18:05:59,84,3.94,17,48
152,18:06:00,84,3.94,8,44
153,18:06:01,84,3.94,6,44
154,18:06:02,84,3.94,6,46
155,18:06:03,84,3.78,11,44
156,18:06:04,84,3.78,6,44
157,18:06:05,84,3.78,6,44
158,18:06:06,84,3.78,18,45
159,18:06:07,84,3.78,8,44
160,18:06:08,84,3.64,6,44
161,18:06:09,84,3.64,6,44
162,18:06:10,84,3.64,6,44
163,18:06:11,84,3.64,23,45
164,18:06:12,84,3.64,6,44
165,18:06:13,84,3.99,6,44
166,18:06:14,84,3.99,6,45
167,18:06:15,84,3.99,11,44
168,18:06:16,84,3.99,18,45
170,18:06:18,84,3.99,6,45
171,18:06:19,84,3.99,19,45
172,18:06:20,84,3.99,6,44
173,18:06:21,84,3.99,6,44
174,18:06:22,84,3.99,6,46
175,18:06:23,84,3.99,9,44
176,18:06:24,84,4.55,18,45
177,18:06:25,84,4.55,6,44
178,18:06:26,84,4.55,6,44
179,18:06:27,84,4.55,6,44
180,18:06:28,84,4.55,6,44
181,18:06:29,84,4.59,18,44
182,18:06:30,84,4.59,6,44
183,18:06:31,84,4.59,6,44
184,18:06:32,84,4.59,6,45
185,18:06:33,84,4.94,9,44
186,18:06:34,84,4.94,6,44
187,18:06:35,84,4.94,6,45
188,18:06:36,84,4.94,23,45
189,18:06:37,84,4.94,6,44
190,18:06:38,84,4.86,7,44
191,18:06:39,84,4.86,6,44
192,18:06:40,84,4.86,11,44
193,18:06:41,84,4.86,18,45
194,18:06:42,84,4.86,6,45
195,18:06:43,84,4.64,9,44
196,18:06:44,84,4.64,6,44
197,18:06:45,84,4.64,6,44
198,18:06:46,84,4.64,17,46
199,18:06:47,84,4.64,6,44
201,18:06:49,84,4.42,6,44
202,18:06:50,84,4.42,6,44
203,18:06:51,84,4.42,6,44
204,18:06:52,84,4.42,9,44
205,18:06:53,84,4.42,6,44
206,18:06:54,84,4.15,18,45
207,18:06:55,84,4.15,6,44
208,18:06:56,84,4.15,6,44
209,18:06:57,85,4.15,6,45
210,18:06:58,85,4.15,11,44
211,18:06:59,85,4.14,18,45
212,18:07:00,84,4.14,6,46
213,18:07:01,84,4.14,7,44
214,18:07:02,84,4.14,6,44
215,18:07:03,85,3.97,6,44
216,18:07:04,85,3.97,18,45
217,18:07:05,84,3.97,6,44
218,18:07:06,84,3.97,18,45
219,18:07:07,84,3.97,6,44
220,18:07:08,84,5.17,6,46
221,18:07:09,84,5.17,12,44
222,18:07:10,84,5.17,6,44
223,18:07:11,84,5.17,18,45
224,18:07:12,84,5.17,6,45
225,18:07:13,84,4.92,11,44
226,18:07:14,85,4.92,6,44
227,18:07:15,84,4.92,6,45
228,18:07:16,84,4.92,19,45
229,18:07:17,84,4.92,6,44
230,18:07:18,84,4.68,6,44
232,18:07:20,84,4.68,6,44
233,18:07:21,84,4.68,6,44
234,18:07:22,84,4.68,6,45
235,18:07:23,84,4.68,6,44
236,18:07:24,84,4.55,18,44
237,18:07:25,84,4.55,6,44
238,18:07:26,84,4.55,6,45
239,18:07:27,85,4.55,1,43
