wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,11:54:52,62,0.30,3,42
1,11:54:53,61,0.30,3,42
2,11:54:54,61,0.30,4,42
3,11:54:55,62,0.30,3,42
4,11:54:56,69,0.43,7,43
5,11:54:57,71,0.43,1,44
6,11:54:58,75,0.43,2,43
7,11:54:59,77,0.43,4,43
8,11:55:00,78,0.43,2,42
9,11:55:01,78,0.48,4,43
11,11:55:03,78,0.48,2,43
12,11:55:04,80,0.48,2,43
13,11:55:05,78,0.48,2,43
14,11:55:06,78,0.48,7,43
15,11:55:07,80,0.68,2,43
16,11:55:08,80,0.68,8,44
17,11:55:09,78,0.68,7,43
18,11:55:10,77,0.68,8,43
19,11:55:11,77,0.68,8,44
20,11:55:12,79,1.43,13,43
21,11:55:13,78,1.43,8,44
22,11:55:14,77,1.43,8,44
23,11:55:15,76,1.43,8,44
24,11:55:16,75,1.43,8,45
25,11:55:17,74,1.39,13,44
26,11:55:18,74,1.39,12,44
27,11:55:19,74,1.39,8,44
28,11:55:20,74,1.39,8,44
29,11:55:21,75,1.39,7,44
30,11:55:22,79,1.92,9,43
31,11:55:23,78,1.92,8,43
32,11:55:24,77,1.92,9,43
33,11:55:25,77,1.92,8,43
34,11:55:26,77,1.93,8,43
35,11:55:27,76,1.93,7,43
36,11:55:28,76,1.93,8,43
37,11:55:29,76,1.93,9,43
38,11:55:30,76,1.93,7,44
39,11:55:31,76,1.85,8,43
40,11:55:32,76,1.85,8,45
41,11:55:33,75,1.85,13,43
42,11:55:34,76,1.85,9,44
44,11:55:36,76,1.85,14,43
45,11:55:37,77,1.79,7,44
46,11:55:38,77,1.79,8,43
47,11:55:39,76,1.79,8,43
48,11:55:40,76,1.79,8,43
49,11:55:41,76,1.79,8,43
50,11:55:42,76,2.76,8,43
51,11:55:43,76,2.76,8,43
52,11:55:44,76,2.76,7,43
53,11:55:45,76,2.76,7,43
54,11:55:46,77,2.76,8,43
55,11:55:47,77,3.58,8,43
56,11:55:48,77,3.58,8,43
57,11:55:49,78,3.58,8,43
58,11:55:50,77,3.58,7,43
59,11:55:51,78,3.58,8,43
60,11:55:52,79,5.06,8,43
61,11:55:53,78,5.06,8,43
62,11:55:54,77,5.06,9,43
63,11:55:55,78,5.06,8,43
64,11:55:56,78,4.73,7,43
65,11:55:57,78,4.73,8,44
66,11:55:58,78,4.73,13,43
67,11:55:59,79,4.73,10,44
68,11:56:00,79,4.73,12,43
69,11:56:01,79,4.52,8,44
70,11:56:02,78,4.52,8,43
71,11:56:03,77,4.52,8,43
72,11:56:04,78,4.52,9,43
73,11:56:05,78,4.52,8,43
74,11:56:06,77,4.23,8,43
76,11:56:08,77,4.23,9,43
77,11:56:09,77,4.23,8,43
78,11:56:10,77,4.23,8,43
79,11:56:11,76,4.23,8,45
80,11:56:12,76,4.05,8,43
81,11:56:13,77,4.05,7,43
82,11:56:14,76,4.05,8,44
83,11:56:15,76,4.05,8,43
84,11:56:16,76,4.05,8,43
85,11:56:17,76,4.61,8,44
86,11:56:18,76,4.61,13,43
87,11:56:19,76,4.61,8,44
88,11:56:20,76,4.61,13,44
89,11:56:21,78,4.61,8,44
90,11:56:22,77,4.40,12,43
91,11:56:23,77,4.40,8,44
92,11:56:24,79,4.40,9,43
93,11:56:25,79,4.40,13,43
94,11:56:26,79,4.40,8,44
95,11:56:27,78,4.13,14,43
96,11:56:28,78,4.13,13,46
97,11:56:29,80,4.13,19,45
98,11:56:30,79,4.13,12,45
99,11:56:31,79,3.88,8,44
100,11:56:32,78,3.88,8,44
101,11:56:33,78,3.88,13,44
102,11:56:34,78,3.88,20,45
103,11:56:35,79,3.88,12,45
105,11:56:37,79,4.45,13,45
106,11:56:38,80,4.45,12,45
