wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,12:29:22,61,1.18,2,43
1,12:29:23,60,1.18,2,43
2,12:29:24,60,1.18,2,43
3,12:29:25,62,1.18,2,43
4,12:29:26,68,1.18,3,44
5,12:29:27,70,1.24,2,45
6,12:29:28,75,1.24,2,45
7,12:29:29,77,1.24,1,44
8,12:29:30,78,1.24,2,44
9,12:29:31,79,1.24,3,44
10,12:29:32,78,1.30,5,45
11,12:29:33,79,1.30,2,44
12,12:29:34,78,1.30,7,44
13,12:29:35,77,1.30,7,45
14,12:29:36,75,1.30,3,44
15,12:29:37,76,1.20,7,45
16,12:29:38,79,1.20,7,45
17,12:29:39,78,1.20,8,45
18,12:29:40,77,1.20,8,45
20,12:29:42,76,1.20,7,45
21,12:29:43,76,1.18,12,45
22,12:29:44,75,1.18,7,45
23,12:29:45,75,1.18,7,45
24,12:29:46,75,1.18,8,48
25,12:29:47,75,1.25,7,46
26,12:29:48,75,1.25,7,45
27,12:29:49,80,1.25,7,46
28,12:29:50,79,1.25,12,45
29,12:29:51,78,1.25,8,45
30,12:29:52,77,3.39,7,44
31,12:29:53,77,3.39,7,44
32,12:29:54,76,3.39,7,44
33,12:29:55,76,3.39,8,45
34,12:29:56,76,3.39,7,45
35,12:29:57,76,3.28,7,46
36,12:29:58,76,3.28,7,44
37,12:29:59,76,3.28,7,45
38,12:30:00,76,3.28,8,44
39,12:30:01,76,3.28,7,44
40,12:30:02,76,3.10,7,44
41,12:30:03,77,3.10,9,44
42,12:30:04,77,3.10,7,44
43,12:30:05,77,3.10,7,45
44,12:30:06,76,3.10,7,46
45,12:30:07,76,2.93,7,44
46,12:30:08,76,2.93,8,44
47,12:30:09,76,2.93,7,44
48,12:30:10,76,2.93,10,44
49,12:30:11,76,2.93,12,44
50,12:30:12,77,2.85,8,44
51,12:30:13,77,2.85,7,44
53,12:30:15,77,2.85,7,44
54,12:30:16,78,2.85,8,44
55,12:30:17,77,3.43,7,44
56,12:30:18,77,3.43,7,44
57,12:30:19,78,3.43,8,44
58,12:30:20,78,3.43,7,44
59,12:30:21,78,3.43,11,44
60,12:30:22,79,3.47,7,44
61,12:30:23,79,3.47,9,44
62,12:30:24,78,3.47,10,44
63,12:30:25,79,3.47,8,44
64,12:30:26,79,3.47,9,44
65,12:30:27,79,3.19,7,44
66,12:30:28,79,3.19,9,45
67,12:30:29,80,3.19,10,44
68,12:30:30,80,3.19,9,44
69,12:30:31,79,3.19,9,44
70,12:30:32,78,3.42,9,45
71,12:30:33,78,3.42,8,44
72,12:30:34,78,3.42,9,44
73,12:30:35,78,3.42,12,44
74,12:30:36,78,3.42,8,44
75,12:30:37,77,3.39,9,44
76,12:30:38,77,3.39,9,45
77,12:30:39,77,3.39,8,44
78,12:30:40,77,3.39,9,44
79,12:30:41,77,3.39,14,44
80,12:30:42,77,3.19,11,44
81,12:30:43,77,3.19,9,45
82,12:30:44,77,3.19,8,44
84,12:30:46,77,3.19,15,44
85,12:30:47,77,3.19,9,44
86,12:30:48,77,3.02,9,44
87,12:30:49,77,3.02,9,45
88,12:30:50,77,3.02,9,45
89,12:30:51,78,3.02,10,44
90,12:30:52,78,2.86,13,44
91,12:30:53,78,2.86,9,44
92,12:30:54,79,2.86,14,44
93,12:30:55,78,2.86,9,44
94,12:30:56,78,2.86,10,45
95,12:30:57,79,2.87,9,45
96,12:30:58,79,2.87,9,44
97,12:30:59,79,2.87,14,44
98,12:31:00,79,2.87,9,45
99,12:31:01,78,2.87,8,45
100,12:31:02,78,2.72,9,45
101,12:31:03,80,2.72,14,44
102,12:31:04,79,2.72,13,44
103,12:31:05,79,2.72,9,45
104,12:31:06,78,2.72,8,44
105,12:31:07,78,3.22,8,44
106,12:31:08,78,3.22,9,45
107,12:31:09,78,3.22,9,46
108,12:31:10,78,3.22,9,45
109,12:31:11,78,3.22,9,45
110,12:31:12,78,4.49,8,45
111,12:31:13,79,4.49,8,44
112,12:31:14,78,4.49,9,44
114,12:31:16,79,4.49,10,45
115,12:31:17,79,4.49,8,46
116,12:31:18,78,4.85,9,44
117,12:31:19,78,4.85,13,44
118,12:31:20,79,4.85,5,44
