wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,12:00:12,64,3.32,3,43
1,12:00:13,67,3.32,3,43
2,12:00:14,65,3.32,4,43
3,12:00:15,66,3.32,2,43
4,12:00:16,69,3.32,3,44
5,12:00:17,72,3.54,2,45
6,12:00:18,78,3.54,2,45
7,12:00:19,78,3.54,3,45
8,12:00:20,78,3.54,3,44
9,12:00:21,79,3.33,3,44
10,12:00:22,79,3.33,3,44
11,12:00:23,80,3.33,3,44
12,12:00:24,78,3.33,5,44
14,12:00:26,78,3.33,8,45
15,12:00:27,77,3.15,9,45
16,12:00:28,77,3.15,13,45
17,12:00:29,77,3.15,8,45
18,12:00:30,76,3.15,13,45
19,12:00:31,77,3.15,8,45
20,12:00:32,79,3.22,8,47
21,12:00:33,78,3.22,8,45
22,12:00:34,77,3.22,8,45
23,12:00:35,76,3.22,13,45
24,12:00:36,76,3.22,7,45
25,12:00:37,76,3.60,11,45
26,12:00:38,76,3.60,8,45
27,12:00:39,76,3.60,8,45
28,12:00:40,76,3.60,9,45
29,12:00:41,75,3.60,7,45
30,12:00:42,79,4.91,9,44
31,12:00:43,79,4.91,13,44
32,12:00:44,78,4.91,9,45
33,12:00:45,77,4.91,12,44
34,12:00:46,77,4.76,8,44
35,12:00:47,76,4.76,12,44
36,12:00:48,76,4.76,17,45
37,12:00:49,76,4.76,12,44
38,12:00:50,76,4.76,13,44
39,12:00:51,76,4.38,8,45
40,12:00:52,76,4.38,12,44
41,12:00:53,76,4.38,8,44
42,12:00:54,76,4.38,14,44
44,12:00:56,76,4.38,9,44
45,12:00:57,78,4.75,8,44
46,12:00:58,77,4.75,7,45
47,12:00:59,77,4.75,8,44
48,12:01:00,77,4.75,8,44
49,12:01:01,77,4.75,8,44
50,12:01:02,76,6.53,10,44
51,12:01:03,76,6.53,9,44
52,12:01:04,76,6.53,20,45
53,12:01:05,77,6.53,8,45
54,12:01:06,77,6.53,13,44
55,12:01:07,77,6.17,10,45
56,12:01:08,78,6.17,8,44
57,12:01:09,78,6.17,8,46
58,12:01:10,79,6.17,8,44
59,12:01:11,79,6.17,8,44
60,12:01:12,79,6.63,8,44
61,12:01:13,78,6.63,8,44
62,12:01:14,78,6.63,9,45
63,12:01:15,78,6.63,7,44
64,12:01:16,79,6.63,8,44
65,12:01:17,78,6.18,8,44
66,12:01:18,79,6.18,10,44
67,12:01:19,78,6.18,9,45
68,12:01:20,79,6.18,8,44
69,12:01:21,78,5.77,7,45
70,12:01:22,79,5.77,8,44
71,12:01:23,78,5.77,8,45
72,12:01:24,79,5.77,8,45
73,12:01:25,78,5.77,8,44
74,12:01:26,78,6.11,8,45
76,12:01:28,78,6.11,7,46
77,12:01:29,79,6.11,13,45
78,12:01:30,80,6.11,10,45
79,12:01:31,80,6.11,16,45
80,12:01:32,80,6.34,8,45
81,12:01:33,79,6.34,9,44
82,12:01:34,78,6.34,8,45
83,12:01:35,78,6.34,8,45
84,12:01:36,78,6.34,11,44
85,12:01:37,78,7.51,8,44
86,12:01:38,77,7.51,9,44
87,12:01:39,77,7.51,11,45
88,12:01:40,77,7.51,8,45
89,12:01:41,77,7.51,14,44
90,12:01:42,77,9.31,11,45
91,12:01:43,77,9.31,13,44
92,12:01:44,79,9.31,9,48
93,12:01:45,78,9.31,9,45
94,12:01:46,78,9.31,9,45
95,12:01:47,78,8.81,8,48
96,12:01:48,78,8.81,8,45
97,12:01:49,79,8.81,13,45
98,12:01:50,79,8.81,15,46
99,12:01:51,78,8.18,8,45
100,12:01:52,79,8.18,8,45
101,12:01:53,78,8.18,8,45
102,12:01:54,79,8.18,12,45
103,12:01:55,78,8.18,10,45
104,12:01:56,80,8.25,9,45
105,12:01:57,79,8.25,8,46
107,12:01:59,79,8.25,8,45
108,12:02:00,79,8.25,13,45
109,12:02:01,79,8.25,9,45
110,12:02:02,79,8.47,9,45
111,12:02:03,79,8.47,14,45
112,12:02:04,79,8.47,8,45
113,12:02:05,79,8.47,8,45
114,12:02:06,79,8.47,10,46
115,12:02:07,79,8.27,8,45
116,12:02:08,79,8.27,8,45
117,12:02:09,79,8.27,9,45
