wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,12:36:13,63,2.23,4,43
2,12:36:15,62,2.23,3,43
3,12:36:16,62,2.23,4,44
4,12:36:17,64,2.23,5,43
5,12:36:18,68,2.21,5,44
6,12:36:19,72,2.21,2,45
7,12:36:20,76,2.21,3,44
8,12:36:21,78,2.21,4,44
9,12:36:22,79,2.12,4,44
10,12:36:23,79,2.12,5,44
11,12:36:24,79,2.12,3,44
12,12:36:25,80,2.12,3,44
13,12:36:26,78,2.12,3,44
14,12:36:27,78,2.03,9,45
15,12:36:28,77,2.03,8,45
16,12:36:29,77,2.03,8,45
17,12:36:30,77,2.03,9,46
18,12:36:31,77,2.03,8,45
19,12:36:32,78,2.02,9,45
20,12:36:33,79,2.02,9,46
21,12:36:34,78,2.02,9,45
22,12:36:35,77,2.02,9,45
23,12:36:36,77,2.02,11,45
24,12:36:37,77,1.94,8,45
25,12:36:38,76,1.94,8,45
26,12:36:39,76,1.94,11,45
27,12:36:40,76,1.94,14,45
28,12:36:41,76,1.94,14,45
29,12:36:42,77,2.03,15,45
30,12:36:43,80,2.03,14,44
31,12:36:44,79,2.03,8,44
33,12:36:46,79,2.03,9,45
34,12:36:47,78,2.03,8,45
35,12:36:48,78,1.94,8,45
36,12:36:49,78,1.94,9,47
37,12:36:50,78,1.94,10,44
38,12:36:51,77,1.94,15,45
39,12:36:52,77,1.79,10,44
40,12:36:53,77,1.79,11,44
41,12:36:54,77,1.79,8,44
42,12:36:55,77,1.79,9,45
43,12:36:56,77,1.79,9,44
44,12:36:57,77,1.64,15,45
45,12:36:58,78,1.64,9,45
46,12:36:59,78,1.64,9,44
47,12:37:00,78,1.64,9,45
48,12:37:01,78,1.64,13,44
49,12:37:02,77,1.67,13,44
50,12:37:03,77,1.67,8,45
51,12:37:04,77,1.67,10,44
52,12:37:05,77,1.67,9,44
53,12:37:06,78,1.67,11,45
54,12:37:07,78,1.70,8,44
55,12:37:08,78,1.70,9,45
56,12:37:09,79,1.70,10,48
57,12:37:10,78,1.70,9,44
58,12:37:11,79,1.70,9,45
59,12:37:12,79,1.72,8,45
60,12:37:13,80,1.72,8,45
61,12:37:14,79,1.72,9,44
62,12:37:15,79,1.72,9,44
64,12:37:17,80,1.72,14,44
65,12:37:18,80,1.67,8,44
66,12:37:19,79,1.67,8,45
67,12:37:20,80,1.67,9,44
68,12:37:21,80,1.67,9,45
69,12:37:22,79,1.61,14,44
70,12:37:23,79,1.61,10,44
71,12:37:24,79,1.61,8,44
72,12:37:25,79,1.61,9,45
73,12:37:26,78,1.61,9,45
74,12:37:27,78,1.72,8,45
75,12:37:28,77,1.72,9,45
76,12:37:29,77,1.72,9,46
77,12:37:30,77,1.72,9,45
78,12:37:31,77,1.72,9,46
79,12:37:32,78,1.67,8,44
80,12:37:33,78,1.67,14,44
81,12:37:34,77,1.67,12,44
82,12:37:35,77,1.67,9,45
83,12:37:36,77,1.67,4,44
84,12:37:37,77,1.61,14,44
85,12:37:38,77,1.61,8,44
86,12:37:39,78,1.61,9,44
87,12:37:40,79,1.61,9,45
88,12:37:41,79,1.61,9,44
89,12:37:42,79,3.49,14,44
90,12:37:43,78,3.49,8,44
91,12:37:44,79,3.49,9,44
92,12:37:45,79,3.49,9,47
93,12:37:46,78,3.49,9,44
95,12:37:48,78,3.61,14,44
96,12:37:49,79,3.61,9,45
97,12:37:50,78,3.61,8,44
98,12:37:51,78,3.61,8,45
99,12:37:52,80,3.61,14,45
100,12:37:53,79,3.48,9,45
101,12:37:54,79,3.48,9,45
102,12:37:55,79,3.48,8,45
103,12:37:56,81,3.48,9,46
104,12:37:57,81,3.20,8,44
105,12:37:58,80,3.20,14,45
106,12:37:59,79,3.20,14,45
107,12:38:00,79,3.20,8,45
108,12:38:01,79,3.20,9,45
109,12:38:02,79,3.02,9,44
110,12:38:03,79,3.02,14,44
111,12:38:04,80,3.02,8,44
112,12:38:05,80,3.02,9,45
113,12:38:06,79,3.02,8,45
114,12:38:07,79,2.86,9,45
115,12:38:08,79,2.86,5,44
