wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,12:31:35,65,3.77,4,44
1,12:31:36,64,3.77,4,43
2,12:31:37,64,3.63,3,43
3,12:31:38,67,3.63,7,44
4,12:31:39,71,3.63,15,45
5,12:31:40,74,3.63,3,45
6,12:31:41,77,3.63,11,46
7,12:31:42,79,3.42,3,45
8,12:31:43,79,3.42,3,45
9,12:31:44,79,3.42,4,45
10,12:31:45,79,3.42,14,45
11,12:31:47,81,3.42,4,45
13,12:31:48,80,3.39,12,45
14,12:31:49,79,3.39,8,45
15,12:31:50,80,3.39,18,45
16,12:31:51,82,3.39,13,46
17,12:31:52,83,3.44,11,45
18,12:31:53,84,3.44,11,46
19,12:31:54,84,3.44,11,45
20,12:31:55,84,3.44,9,46
21,12:31:56,82,3.44,11,45
22,12:31:57,81,4.36,9,45
23,12:31:58,81,4.36,9,45
24,12:31:59,81,4.36,10,45
25,12:32:00,83,4.36,20,46
26,12:32:01,82,4.36,8,45
27,12:32:02,81,4.09,14,46
28,12:32:03,83,4.09,17,46
29,12:32:04,84,4.09,12,46
30,12:32:05,84,4.09,12,46
31,12:32:06,84,4.09,14,45
32,12:32:07,84,4.08,13,46
33,12:32:08,84,4.08,14,46
34,12:32:09,83,4.08,11,47
35,12:32:10,85,4.08,12,46
36,12:32:11,84,4.08,15,46
37,12:32:12,83,3.84,9,48
38,12:32:13,82,3.84,13,45
39,12:32:14,81,3.84,12,46
40,12:32:15,80,3.84,10,46
41,12:32:16,79,3.84,9,47
43,12:32:18,78,4.17,8,45
44,12:32:19,78,4.17,9,45
45,12:32:20,78,4.17,13,45
46,12:32:21,78,4.17,10,45
47,12:32:22,77,4.48,9,45
48,12:32:23,77,4.48,9,45
49,12:32:24,77,4.48,8,45
50,12:32:25,78,4.48,8,46
51,12:32:26,78,4.48,9,46
52,12:32:27,78,4.20,9,45
53,12:32:28,78,4.20,11,45
54,12:32:29,78,4.20,10,45
55,12:32:30,78,4.20,9,45
56,12:32:31,77,4.20,8,46
57,12:32:32,77,4.02,9,46
58,12:32:33,78,4.02,9,45
59,12:32:34,77,4.02,3,44
60,12:32:35,77,4.02,14,45
61,12:32:36,79,4.02,9,45
62,12:32:37,78,3.78,8,45
63,12:32:38,79,3.78,9,45
64,12:32:39,78,3.78,9,45
65,12:32:40,78,3.78,9,45
66,12:32:41,78,3.78,9,46
67,12:32:42,78,4.20,9,48
68,12:32:43,79,4.20,9,45
69,12:32:44,79,4.20,12,45
70,12:32:45,79,4.20,13,45
71,12:32:46,79,4.20,9,45
72,12:32:47,78,4.02,9,45
74,12:32:49,80,4.02,10,45
75,12:32:50,80,4.02,9,45
76,12:32:51,79,4.02,9,45
77,12:32:52,80,5.06,9,45
78,12:32:53,79,5.06,9,45
79,12:32:54,78,5.06,13,45
80,12:32:55,78,5.06,13,45
81,12:32:56,78,5.06,9,45
82,12:32:57,79,5.70,8,45
83,12:32:58,78,5.70,12,45
84,12:32:59,78,5.70,14,45
85,12:33:00,79,5.70,9,45
86,12:33:01,79,5.70,8,45
87,12:33:02,79,5.40,9,45
88,12:33:03,79,5.40,14,45
89,12:33:04,79,5.40,9,45
90,12:33:05,80,5.40,11,45
91,12:33:06,79,5.40,9,46
92,12:33:07,80,5.05,8,45
93,12:33:08,79,5.05,10,45
94,12:33:09,78,5.05,9,45
95,12:33:10,79,5.05,10,46
96,12:33:11,79,5.05,11,45
97,12:33:12,78,4.80,9,45
98,12:33:13,79,4.80,9,45
99,12:33:14,79,4.80,9,45
100,12:33:15,78,4.80,10,46
101,12:33:16,79,4.80,12,45
102,12:33:17,79,5.30,13,45
103,12:33:18,78,5.30,10,45
105,12:33:20,78,5.30,9,45
106,12:33:21,78,5.30,9,45
107,12:33:22,78,5.30,9,46
108,12:33:23,78,5.04,9,47
109,12:33:24,78,5.04,11,45
110,12:33:25,77,5.04,13,45
111,12:33:26,77,5.04,12,45
112,12:33:27,78,4.79,8,45
113,12:33:28,78,4.79,8,46
114,12:33:29,78,4.79,8,48
115,12:33:30,78,4.79,8,45
116,12:33:31,78,4.79,12,45
117,12:33:32,77,4.49,9,45
118,12:33:33,77,4.49,8,45
119,12:33:34,78,4.49,9,45
120,12:33:35,79,4.49,5,45
121,12:33:36,78,4.49,8,45
122,12:33:37,78,5.33,8,47
123,12:33:38,79,5.33,9,45
124,12:33:39,79,5.33,8,45
125,12:33:40,80,5.33,14,45
126,12:33:41,79,5.33,14,45
127,12:33:42,80,5.46,10,45
128,12:33:43,79,5.46,8,45
129,12:33:44,78,5.46,8,46
130,12:33:45,79,5.46,9,45
131,12:33:46,78,5.46,10,44
132,12:33:47,78,6.07,9,45
133,12:33:48,79,6.07,9,45
135,12:33:50,78,6.07,9,45
136,12:33:51,78,6.07,9,46
137,12:33:52,78,6.07,7,45
138,12:33:53,78,6.46,9,45
139,12:33:54,79,6.46,3,44
