wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,12:07:05,64,1.09,5,43
1,12:07:06,63,1.09,4,43
2,12:07:07,62,1.01,3,43
3,12:07:08,64,1.01,4,43
4,12:07:09,69,1.01,4,44
5,12:07:10,73,1.01,2,45
6,12:07:11,77,1.01,4,45
7,12:07:12,78,1.09,3,44
8,12:07:13,78,1.09,3,44
9,12:07:14,79,1.09,5,44
10,12:07:15,79,1.09,4,44
11,12:07:16,80,1.09,3,44
12,12:07:17,79,3.32,3,44
13,12:07:18,79,3.32,9,44
14,12:07:19,79,3.32,9,45
15,12:07:20,78,3.32,9,45
16,12:07:21,77,3.32,9,45
17,12:07:22,78,3.30,9,44
18,12:07:23,80,3.30,9,45
19,12:07:24,79,3.30,11,45
20,12:07:25,78,3.30,9,44
21,12:07:26,77,3.30,9,45
22,12:07:27,77,3.27,14,45
23,12:07:28,77,3.27,8,45
24,12:07:29,76,3.27,14,45
25,12:07:30,76,3.27,9,45
26,12:07:31,76,3.65,8,45
27,12:07:32,76,3.65,9,48
28,12:07:33,81,3.65,10,45
30,12:07:35,80,3.65,10,45
31,12:07:36,79,3.65,9,44
32,12:07:37,78,4.56,9,45
33,12:07:38,78,4.56,9,44
34,12:07:39,78,4.56,10,44
35,12:07:40,78,4.56,20,45
36,12:07:41,78,4.56,9,45
37,12:07:42,78,4.35,10,45
38,12:07:43,78,4.35,13,44
39,12:07:44,78,4.35,9,47
40,12:07:45,78,4.35,9,45
41,12:07:46,78,4.35,8,44
42,12:07:47,78,4.89,10,45
43,12:07:48,79,4.89,9,45
44,12:07:49,79,4.89,14,44
45,12:07:50,78,4.89,9,46
46,12:07:51,78,4.89,10,45
47,12:07:52,78,4.74,9,44
48,12:07:53,78,4.74,9,45
49,12:07:54,78,4.74,12,45
50,12:07:55,78,4.74,15,44
51,12:07:56,80,4.74,10,45
52,12:07:57,79,5.80,11,45
53,12:07:58,79,5.80,9,45
54,12:07:59,80,5.80,11,45
55,12:08:00,79,5.80,10,45
56,12:08:01,79,5.49,11,45
57,12:08:02,79,5.49,11,45
58,12:08:03,78,5.49,4,44
59,12:08:04,79,5.49,9,45
61,12:08:06,79,5.49,10,44
62,12:08:07,80,5.45,10,46
63,12:08:08,79,5.45,9,45
64,12:08:09,78,5.45,12,44
65,12:08:10,79,5.45,11,45
66,12:08:11,80,5.45,9,45
67,12:08:12,79,5.98,10,45
68,12:08:13,77,5.98,4,44
69,12:08:14,78,5.98,9,46
70,12:08:15,78,5.98,9,45
71,12:08:16,78,5.98,14,45
72,12:08:17,79,5.74,9,46
73,12:08:18,79,5.74,11,45
74,12:08:19,79,5.74,13,45
75,12:08:20,79,5.74,9,45
76,12:08:21,79,5.74,9,45
77,12:08:22,79,5.36,9,44
78,12:08:23,78,5.36,9,45
79,12:08:24,78,5.36,10,45
80,12:08:25,78,5.36,14,45
81,12:08:26,78,5.36,12,45
82,12:08:27,78,4.93,11,45
83,12:08:28,78,4.93,9,45
84,12:08:29,78,4.93,11,45
85,12:08:30,78,4.93,9,45
86,12:08:31,78,4.70,10,46
87,12:08:32,78,4.70,11,45
88,12:08:33,78,4.70,9,45
89,12:08:34,78,4.70,10,48
90,12:08:35,78,4.70,8,45
92,12:08:37,77,4.56,15,45
93,12:08:38,78,4.56,9,45
94,12:08:39,78,4.56,9,45
95,12:08:40,78,4.56,9,45
96,12:08:41,79,4.56,10,45
97,12:08:42,79,4.27,8,45
98,12:08:43,78,4.27,9,45
99,12:08:44,78,4.27,9,45
100,12:08:45,79,4.27,9,45
101,12:08:46,79,4.27,9,45
102,12:08:47,79,4.33,9,45
103,12:08:48,79,4.33,9,45
104,12:08:49,78,4.33,12,45
105,12:08:50,80,4.33,12,45
106,12:08:51,80,4.33,13,45
107,12:08:52,79,4.07,9,47
108,12:08:53,79,4.07,9,45
109,12:08:54,79,4.07,13,45
110,12:08:55,79,4.07,9,45
111,12:08:56,79,4.07,8,45
112,12:08:57,79,3.82,9,45
113,12:08:58,79,3.82,9,45
114,12:08:59,79,3.82,10,47
115,12:09:00,79,3.82,9,45
116,12:09:01,79,4.39,10,45
117,12:09:02,79,4.39,9,46
118,12:09:03,79,4.39,11,45
119,12:09:04,80,4.39,9,45
