wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,12:38:24,66,2.43,3,44
1,12:38:25,65,2.43,3,44
2,12:38:26,64,2.43,4,44
3,12:38:27,66,2.23,3,44
4,12:38:28,69,2.23,3,44
5,12:38:29,72,2.23,1,46
6,12:38:30,78,2.23,3,45
7,12:38:31,79,2.23,3,45
8,12:38:32,79,2.22,3,45
9,12:38:33,80,2.22,5,45
10,12:38:34,80,2.22,3,45
11,12:38:35,81,2.22,4,45
12,12:38:36,79,2.22,9,45
13,12:38:37,79,2.68,8,46
14,12:38:38,78,2.68,8,46
15,12:38:39,78,2.68,9,45
16,12:38:40,77,2.68,9,45
17,12:38:41,78,2.68,9,45
18,12:38:42,78,2.62,7,45
19,12:38:43,79,2.62,8,45
20,12:38:44,78,2.62,8,45
21,12:38:45,77,2.62,9,45
22,12:38:46,77,2.62,8,45
24,12:38:48,76,2.81,8,45
25,12:38:49,76,2.81,8,45
26,12:38:50,77,2.81,9,45
27,12:38:51,76,2.81,9,46
28,12:38:52,76,2.81,9,46
29,12:38:53,77,3.63,8,45
30,12:38:54,81,3.63,12,45
31,12:38:55,80,3.63,9,45
32,12:38:56,78,3.63,4,44
33,12:38:57,77,3.42,13,45
34,12:38:58,77,3.42,10,45
35,12:38:59,77,3.42,8,45
36,12:39:00,77,3.42,9,45
37,12:39:01,77,3.42,9,45
38,12:39:02,77,3.23,9,45
39,12:39:03,77,3.23,10,45
40,12:39:04,77,3.23,9,45
41,12:39:05,77,3.23,14,45
42,12:39:06,77,3.23,13,45
43,12:39:07,77,3.13,9,45
44,12:39:08,78,3.13,8,45
45,12:39:09,78,3.13,8,45
46,12:39:10,78,3.13,12,47
47,12:39:11,78,3.13,13,45
48,12:39:12,78,3.04,10,45
49,12:39:13,78,3.04,9,45
50,12:39:14,77,3.04,9,45
51,12:39:15,78,3.04,11,46
52,12:39:16,78,3.04,13,45
53,12:39:17,78,2.87,9,45
55,12:39:19,79,2.87,8,45
56,12:39:20,79,2.87,8,45
57,12:39:21,78,2.87,14,45
58,12:39:22,78,2.87,13,45
59,12:39:23,78,2.72,11,45
60,12:39:24,78,2.72,9,45
61,12:39:25,78,2.72,8,45
62,12:39:26,78,2.72,9,45
63,12:39:27,79,3.31,8,45
64,12:39:28,78,3.31,14,45
65,12:39:29,80,3.31,14,45
66,12:39:30,81,3.31,8,45
67,12:39:31,80,3.31,8,45
68,12:39:32,80,3.36,9,45
69,12:39:33,79,3.36,12,46
70,12:39:34,78,3.36,8,44
71,12:39:35,77,3.36,10,45
72,12:39:36,79,3.36,9,45
73,12:39:37,79,3.81,8,45
74,12:39:38,79,3.81,14,46
75,12:39:39,79,3.81,9,45
76,12:39:40,80,3.81,10,45
77,12:39:41,79,3.81,8,45
78,12:39:42,80,4.15,12,48
79,12:39:43,80,4.15,13,45
80,12:39:44,79,4.15,8,45
81,12:39:45,79,4.15,9,45
82,12:39:46,79,4.15,9,45
83,12:39:47,79,3.98,8,45
84,12:39:48,79,3.98,9,45
86,12:39:50,78,3.98,9,45
87,12:39:51,78,3.98,9,45
88,12:39:52,79,3.98,12,46
89,12:39:53,78,3.74,14,45
90,12:39:54,78,3.74,8,45
91,12:39:55,78,3.74,9,45
92,12:39:56,78,3.74,9,45
93,12:39:57,77,3.52,8,45
94,12:39:58,77,3.52,8,46
95,12:39:59,78,3.52,14,45
96,12:40:00,78,3.52,9,45
97,12:40:01,78,3.52,8,45
98,12:40:02,78,3.48,10,47
99,12:40:03,78,3.48,12,45
100,12:40:04,77,3.48,9,45
101,12:40:05,77,3.48,9,45
102,12:40:06,77,3.48,9,45
103,12:40:07,79,4.24,8,46
104,12:40:08,78,4.24,14,45
105,12:40:09,79,4.24,9,45
106,12:40:10,78,4.24,9,45
107,12:40:11,78,4.24,10,45
108,12:40:12,79,4.70,8,45
109,12:40:13,79,4.70,9,45
110,12:40:14,78,4.70,15,45
111,12:40:15,78,4.70,9,45
112,12:40:16,79,4.70,8,45
114,12:40:18,79,5.29,8,45
115,12:40:19,78,5.29,8,45
116,12:40:20,80,5.29,9,45
117,12:40:21,80,5.29,9,45
118,12:40:22,79,5.29,9,45
119,12:40:23,78,5.26,9,45
120,12:40:24,79,5.26,9,45
121,12:40:25,79,5.26,14,47
122,12:40:26,79,5.26,10,45
123,12:40:27,79,5.00,8,45
124,12:40:28,79,5.00,9,45
125,12:40:29,79,5.00,9,45
126,12:40:30,79,5.00,14,47
127,12:40:31,79,5.00,9,45
128,12:40:32,79,4.76,8,45
129,12:40:33,79,4.76,8,45
130,12:40:34,79,4.76,9,45
131,12:40:35,78,4.76,10,45
132,12:40:36,79,4.76,8,45
133,12:40:37,79,4.38,8,45
134,12:40:38,79,4.38,3,44
