wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,12:34:06,65,5.47,4,44
1,12:34:07,65,5.03,3,44
2,12:34:08,64,5.03,4,44
3,12:34:09,66,5.03,5,44
4,12:34:10,70,5.03,6,44
5,12:34:11,73,5.03,1,46
6,12:34:12,77,4.71,3,45
7,12:34:13,78,4.71,3,45
8,12:34:14,79,4.71,3,45
9,12:34:15,80,4.71,6,45
10,12:34:16,79,4.71,3,45
11,12:34:17,81,4.97,3,45
13,12:34:19,80,4.97,3,45
14,12:34:20,79,4.97,14,45
15,12:34:21,78,4.97,14,45
16,12:34:22,78,4.89,15,45
17,12:34:23,80,4.89,9,45
18,12:34:24,79,4.89,9,45
19,12:34:25,78,4.89,9,46
20,12:34:26,77,4.89,14,45
21,12:34:27,77,4.58,13,45
22,12:34:28,76,4.58,14,46
23,12:34:29,76,4.58,12,45
24,12:34:30,77,4.58,13,45
25,12:34:31,77,4.58,13,46
26,12:34:32,77,4.29,10,46
27,12:34:33,81,4.29,10,46
28,12:34:34,80,4.29,9,46
29,12:34:35,79,4.29,10,45
30,12:34:36,79,4.29,9,45
31,12:34:37,78,4.99,9,46
32,12:34:38,78,4.99,14,45
33,12:34:39,77,4.99,10,45
34,12:34:40,77,4.99,9,45
35,12:34:41,77,4.99,10,45
36,12:34:42,78,6.27,9,46
37,12:34:43,77,6.27,9,46
38,12:34:44,77,6.27,10,45
39,12:34:45,77,6.27,9,45
40,12:34:46,77,6.27,9,45
41,12:34:47,78,7.05,3,44
