wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,05:09:20,84,5.80,1,42
1,05:09:21,84,5.80,2,43
2,05:09:22,84,5.58,1,42
3,05:09:23,84,5.58,1,42
4,05:09:24,85,5.58,2,42
5,05:09:25,86,5.58,0,45
6,05:09:26,87,5.58,1,44
7,05:09:27,87,5.69,1,44
8,05:09:28,87,5.69,1,44
9,05:09:29,87,5.69,2,44
10,05:09:30,88,5.69,1,44
11,05:09:31,89,6.28,1,44
12,05:09:32,89,6.28,1,44
13,05:09:33,89,6.28,6,44
14,05:09:34,88,6.28,6,44
15,05:09:35,88,6.28,6,44
16,05:09:36,88,6.09,6,44
17,05:09:37,88,6.09,6,44
18,05:09:38,88,6.09,6,44
19,05:09:39,88,6.09,6,44
20,05:09:40,88,6.09,6,44
21,05:09:41,88,6.17,7,44
22,05:09:42,88,6.17,6,45
23,05:09:43,88,6.17,6,45
24,05:09:44,88,6.17,7,45
25,05:09:45,88,6.17,11,44
26,05:09:46,88,6.07,11,45
27,05:09:47,88,6.07,7,45
28,05:09:48,88,6.07,7,45
30,05:09:50,88,6.07,6,44
31,05:09:51,88,6.07,7,44
32,05:09:52,89,5.99,6,44
33,05:09:53,89,5.99,7,44
34,05:09:54,89,5.99,7,45
35,05:09:55,88,5.99,11,47
36,05:09:56,89,5.99,6,44
37,05:09:57,89,5.83,12,45
38,05:09:58,89,5.83,6,44
39,05:09:59,89,5.83,6,44
40,05:10:00,89,5.83,6,44
41,05:10:01,89,5.68,6,44
42,05:10:02,89,5.68,6,44
43,05:10:03,89,5.68,6,44
44,05:10:04,89,5.68,6,45
45,05:10:05,89,5.68,11,44
46,05:10:06,89,5.87,7,44
47,05:10:07,89,5.87,12,44
48,05:10:08,89,5.87,8,44
49,05:10:09,89,5.87,6,44
50,05:10:10,89,5.87,7,44
51,05:10:11,89,5.80,6,44
52,05:10:12,89,5.80,6,44
53,05:10:13,89,5.80,6,44
54,05:10:14,89,5.80,6,47
55,05:10:15,89,5.80,7,44
56,05:10:16,89,6.29,6,44
57,05:10:17,89,6.29,7,44
58,05:10:18,89,6.29,6,44
59,05:10:19,89,6.29,8,44
61,05:10:21,89,6.29,7,44
62,05:10:22,89,6.19,6,44
63,05:10:23,89,6.19,6,44
64,05:10:24,89,6.19,6,44
65,05:10:25,89,6.19,6,44
66,05:10:26,89,6.19,6,45
67,05:10:27,89,5.93,6,45
68,05:10:28,89,5.93,7,44
69,05:10:29,89,5.93,8,44
70,05:10:30,89,5.93,9,44
71,05:10:31,89,6.82,11,44
72,05:10:32,89,6.82,6,44
73,05:10:33,89,6.82,7,44
74,05:10:34,89,6.82,1,44
75,05:10:35,89,6.82,6,44
76,05:10:36,89,6.51,7,44
77,05:10:37,89,6.51,7,44
78,05:10:38,89,6.51,6,44
79,05:10:39,89,6.51,7,44
80,05:10:40,90,6.51,6,44
81,05:10:41,90,7.27,6,44
82,05:10:42,90,7.27,6,44
83,05:10:43,90,7.27,9,44
84,05:10:44,90,7.27,7,44
85,05:10:45,89,7.27,6,44
86,05:10:46,89,7.01,7,44
87,05:10:47,89,7.01,6,44
88,05:10:48,89,7.01,6,45
90,05:10:50,89,7.01,6,45
91,05:10:51,89,7.01,6,45
92,05:10:52,89,6.77,7,45
93,05:10:53,89,6.77,6,45
94,05:10:54,89,6.77,6,44
95,05:10:55,89,6.77,11,44
96,05:10:56,89,6.77,12,44
97,05:10:57,89,6.63,12,44
98,05:10:58,89,6.63,6,44
99,05:10:59,89,6.63,6,44
100,05:11:00,89,6.63,2,44
101,05:11:01,89,6.42,6,44
102,05:11:02,89,6.42,6,44
103,05:11:03,89,6.42,7,44
104,05:11:04,89,6.42,6,44
105,05:11:05,89,6.42,6,44
106,05:11:06,89,6.86,9,44
107,05:11:07,89,6.86,6,44
108,05:11:08,89,6.86,7,47
109,05:11:09,89,6.86,10,44
110,05:11:10,89,6.86,6,44
111,05:11:11,89,7.28,6,44
112,05:11:12,89,7.28,7,45
113,05:11:13,89,7.28,7,44
114,05:11:14,89,7.28,6,44
115,05:11:15,89,7.28,6,44
116,05:11:16,89,6.93,13,44
117,05:11:17,89,6.93,6,44
118,05:11:18,89,6.93,6,44
119,05:11:19,89,6.93,6,44
120,05:11:20,89,6.93,6,44
122,05:11:22,89,6.70,6,44
123,05:11:23,89,6.70,6,45
124,05:11:24,89,6.70,11,44
125,05:11:25,90,6.70,6,44
126,05:11:26,90,6.70,6,44
127,05:11:27,89,6.40,10,44
128,05:11:28,89,6.40,6,44
129,05:11:29,89,6.40,7,46
130,05:11:30,89,6.40,11,44
131,05:11:31,89,6.40,7,44
132,05:11:32,89,6.29,6,45
133,05:11:33,90,6.29,13,44
134,05:11:34,89,6.29,7,44
135,05:11:35,90,6.29,6,44
136,05:11:36,90,6.75,7,44
137,05:11:37,90,6.75,6,44
138,05:11:38,90,6.75,7,44
139,05:11:39,90,6.75,7,44
140,05:11:40,90,6.75,6,44
141,05:11:41,89,7.89,6,47
142,05:11:42,89,7.89,7,44
143,05:11:43,89,7.89,7,44
144,05:11:44,89,7.89,6,44
145,05:11:45,89,7.89,6,44
146,05:11:46,89,7.82,11,44
147,05:11:47,89,7.82,6,44
148,05:11:48,90,7.82,6,45
149,05:11:49,90,7.82,11,44
150,05:11:50,89,7.82,6,44
151,05:11:51,90,8.07,6,45
153,05:11:53,90,8.07,10,44
154,05:11:54,89,8.07,6,44
155,05:11:55,90,8.07,6,44
156,05:11:56,90,8.07,6,46
157,05:11:57,89,9.35,7,44
158,05:11:58,90,9.35,7,44
159,05:11:59,90,9.35,6,45
160,05:12:00,90,9.35,13,44
161,05:12:01,89,9.35,6,44
162,05:12:02,89,9.48,6,45
163,05:12:03,89,9.48,7,44
164,05:12:04,89,9.48,6,44
165,05:12:05,89,9.48,6,44
166,05:12:06,89,9.68,7,44
167,05:12:07,90,9.68,6,44
168,05:12:08,90,9.68,7,45
169,05:12:09,90,9.68,8,45
170,05:12:10,90,9.68,11,44
171,05:12:11,90,9.23,6,44
172,05:12:12,90,9.23,7,45
173,05:12:13,90,9.23,11,44
174,05:12:14,90,9.23,6,44
175,05:12:15,89,9.23,6,45
176,05:12:16,89,9.37,12,44
177,05:12:17,90,9.37,6,44
178,05:12:18,90,9.37,7,44
179,05:12:19,89,9.37,10,44
180,05:12:20,89,9.37,6,44
181,05:12:21,90,9.02,6,46
182,05:12:22,90,9.02,9,44
184,05:12:24,89,9.02,7,44
185,05:12:25,89,9.02,6,44
186,05:12:26,89,9.02,8,44
187,05:12:27,89,8.62,7,44
188,05:12:28,89,8.62,6,46
189,05:12:29,89,8.62,6,44
190,05:12:30,89,8.62,7,44
191,05:12:31,89,8.62,6,44
192,05:12:32,89,8.49,7,44
193,05:12:33,89,8.49,7,44
194,05:12:34,89,8.49,6,45
195,05:12:35,90,8.49,7,44
196,05:12:36,89,8.45,7,44
197,05:12:37,90,8.45,6,45
198,05:12:38,90,8.45,7,44
199,05:12:39,90,8.45,3,44
200,05:12:40,90,8.45,6,45
201,05:12:41,90,8.73,6,44
202,05:12:42,90,8.73,7,45
203,05:12:43,90,8.73,6,44
204,05:12:44,90,8.73,5,44
205,05:12:45,90,8.73,1,44
206,05:12:46,90,8.35,6,44
207,05:12:47,90,8.35,6,44
208,05:12:48,90,8.35,7,45
209,05:12:49,90,8.35,6,44
211,05:12:51,90,8.35,6,45
212,05:12:52,90,8.73,2,44
213,05:12:53,90,8.73,6,44
214,05:12:54,90,8.73,6,44
215,05:12:55,90,8.73,6,45
216,05:12:56,90,8.73,6,44
217,05:12:57,90,8.51,6,44
218,05:12:58,90,8.51,6,44
219,05:12:59,90,8.51,6,45
220,05:13:00,90,8.51,7,44
221,05:13:01,90,8.51,6,44
222,05:13:02,89,8.55,6,44
223,05:13:03,89,8.55,7,44
224,05:13:04,90,8.55,7,44
225,05:13:05,90,8.55,6,44
226,05:13:06,89,8.18,7,44
227,05:13:07,89,8.18,6,44
228,05:13:08,89,8.18,6,44
229,05:13:09,89,8.18,8,44
230,05:13:10,90,8.18,6,44
231,05:13:11,89,8.01,6,44
232,05:13:12,90,8.01,7,44
233,05:13:13,90,8.01,6,44
234,05:13:14,89,8.01,6,44
235,05:13:15,89,8.01,6,45
236,05:13:16,89,7.69,6,44
237,05:13:17,90,7.69,3,44
238,05:13:18,90,7.69,6,44
239,05:13:19,90,7.69,7,45
240,05:13:20,90,7.69,6,45
242,05:13:22,90,7.39,6,46
243,05:13:23,90,7.39,6,45
244,05:13:24,90,7.39,6,44
245,05:13:25,90,7.39,6,44
246,05:13:26,90,7.39,6,44
247,05:13:27,90,7.20,6,44
248,05:13:28,90,7.20,6,44
249,05:13:29,90,7.20,6,44
250,05:13:30,90,7.20,7,44
251,05:13:31,90,7.20,7,44
252,05:13:32,90,7.42,6,44
253,05:13:33,90,7.42,7,47
254,05:13:34,90,7.42,7,44
255,05:13:35,90,7.42,6,44
256,05:13:36,90,7.31,7,44
257,05:13:37,90,7.31,6,45
258,05:13:38,90,7.31,6,44
259,05:13:39,90,7.31,4,44
260,05:13:40,90,7.31,1,44
261,05:13:41,90,7.28,6,44
262,05:13:42,90,7.28,6,44
263,05:13:43,90,7.28,7,44
264,05:13:44,90,7.28,6,44
265,05:13:45,90,7.28,6,44
266,05:13:46,90,8.14,6,44
267,05:13:47,90,8.14,6,44
268,05:13:48,90,8.14,6,44
269,05:13:49,90,8.14,6,44
270,05:13:50,90,8.14,6,44
271,05:13:51,90,8.05,3,44
273,05:13:53,90,8.05,6,45
274,05:13:54,90,8.05,6,44
275,05:13:55,90,8.05,7,44
276,05:13:56,90,8.05,6,44
277,05:13:57,90,7.73,5,44
278,05:13:58,90,7.73,6,45
279,05:13:59,90,7.73,6,44
280,05:14:00,90,7.73,7,44
281,05:14:01,90,7.73,6,44
282,05:14:02,90,9.35,6,44
283,05:14:03,90,9.35,7,44
284,05:14:04,90,9.35,6,44
285,05:14:05,90,9.35,6,45
286,05:14:06,90,9.00,7,44
287,05:14:07,90,9.00,6,44
288,05:14:08,90,9.00,6,44
289,05:14:09,90,9.00,7,45
290,05:14:10,90,9.00,6,44
291,05:14:11,90,8.60,1,44
292,05:14:12,90,8.60,7,45
293,05:14:13,90,8.60,6,44
294,05:14:14,90,8.60,4,44
295,05:14:15,90,8.60,6,44
296,05:14:16,90,9.35,6,45
297,05:14:17,90,9.35,6,44
298,05:14:18,90,9.35,6,44
299,05:14:19,90,9.35,6,44
300,05:14:20,90,9.35,6,46
302,05:14:22,90,8.92,6,44
303,05:14:23,90,8.92,1,44
304,05:14:24,90,8.92,6,46
305,05:14:25,90,8.92,6,44
306,05:14:26,90,8.92,6,44
307,05:14:27,90,9.09,6,44
308,05:14:28,90,9.09,6,44
309,05:14:29,90,9.09,6,44
310,05:14:30,90,9.09,7,44
311,05:14:31,90,9.09,6,44
312,05:14:32,90,8.84,6,44
313,05:14:33,90,8.84,7,44
314,05:14:34,90,8.84,6,44
315,05:14:35,90,8.84,6,44
316,05:14:36,90,8.46,7,44
317,05:14:37,90,8.46,6,44
318,05:14:38,90,8.46,6,44
319,05:14:39,90,8.46,7,44
320,05:14:40,90,8.46,3,44
321,05:14:41,90,8.26,7,45
322,05:14:42,90,8.26,7,44
323,05:14:43,90,8.26,6,44
324,05:14:44,90,8.26,6,44
325,05:14:45,90,8.26,6,44
326,05:14:46,90,8.00,6,44
327,05:14:47,90,8.00,6,45
328,05:14:48,90,8.00,7,44
329,05:14:49,90,8.00,2,44
330,05:14:50,90,8.00,7,44
332,05:14:52,90,8.24,6,44
333,05:14:53,90,8.24,5,44
334,05:14:54,90,8.24,6,44
335,05:14:55,90,8.24,7,44
336,05:14:56,90,8.24,7,44
337,05:14:57,90,8.06,6,44
338,05:14:58,90,8.06,6,44
339,05:14:59,90,8.06,6,44
340,05:15:00,90,8.06,7,44
341,05:15:01,90,8.06,7,44
342,05:15:02,90,7.73,6,44
343,05:15:03,90,7.73,7,45
344,05:15:04,90,7.73,6,44
345,05:15:05,90,7.73,2,44
346,05:15:06,90,8.16,7,44
347,05:15:07,90,8.16,6,44
348,05:15:08,90,8.16,6,45
349,05:15:09,90,8.16,7,44
350,05:15:10,90,8.16,6,44
351,05:15:11,90,8.06,6,44
352,05:15:12,90,8.06,7,44
353,05:15:13,90,8.06,6,44
354,05:15:14,90,8.06,6,44
355,05:15:15,90,8.06,4,44
356,05:15:16,90,7.74,6,44
357,05:15:17,90,7.74,1,44
358,05:15:18,90,7.74,6,44
359,05:15:19,90,7.74,6,44
361,05:15:21,90,7.74,6,45
362,05:15:22,90,7.44,7,44
363,05:15:23,90,7.44,6,45
364,05:15:24,90,7.44,3,44
365,05:15:25,90,7.44,6,45
366,05:15:26,90,7.44,6,44
367,05:15:27,90,7.24,6,44
368,05:15:28,90,7.24,7,44
369,05:15:29,90,7.24,6,44
370,05:15:30,90,7.24,7,45
371,05:15:31,90,7.24,7,44
372,05:15:32,90,7.30,6,44
373,05:15:33,90,7.30,7,44
374,05:15:34,90,7.30,7,44
375,05:15:35,90,7.30,6,44
376,05:15:36,90,7.12,7,44
377,05:15:37,90,7.12,6,45
378,05:15:38,90,7.12,6,44
379,05:15:39,90,7.12,7,44
380,05:15:40,90,7.12,7,44
381,05:15:41,90,7.67,6,44
382,05:15:42,90,7.67,7,44
383,05:15:43,90,7.67,6,44
384,05:15:44,90,7.67,7,44
385,05:15:45,90,7.67,6,44
386,05:15:46,90,7.46,7,44
387,05:15:47,90,7.46,6,45
388,05:15:48,90,7.46,6,44
389,05:15:49,90,7.46,7,44
391,05:15:51,90,7.46,6,44
392,05:15:52,90,7.66,6,45
393,05:15:53,90,7.66,6,44
394,05:15:54,90,7.66,6,45
395,05:15:55,90,7.66,6,44
396,05:15:56,90,7.66,6,44
397,05:15:57,90,7.37,7,44
398,05:15:58,90,7.37,7,44
399,05:15:59,90,7.37,6,44
400,05:16:00,90,7.37,7,45
401,05:16:01,89,7.37,7,44
402,05:16:02,89,7.10,7,45
403,05:16:03,89,7.10,7,44
404,05:16:04,90,7.10,6,45
405,05:16:05,90,7.10,6,44
406,05:16:06,90,7.01,7,44
407,05:16:07,90,7.01,7,44
408,05:16:08,90,7.01,6,44
409,05:16:09,90,7.01,7,44
410,05:16:10,90,7.01,6,44
411,05:16:11,90,6.77,6,44
412,05:16:12,90,6.77,7,44
413,05:16:13,90,6.77,6,44
414,05:16:14,90,6.77,7,45
415,05:16:15,90,6.77,6,44
416,05:16:16,90,6.63,7,44
417,05:16:17,90,6.63,7,44
418,05:16:18,90,6.63,7,44
419,05:16:19,90,6.63,7,44
421,05:16:21,90,6.63,6,44
422,05:16:22,90,6.42,6,44
423,05:16:23,90,6.42,6,44
424,05:16:24,90,6.42,6,45
425,05:16:25,90,6.42,4,44
426,05:16:26,90,6.42,6,44
427,05:16:27,90,7.42,4,44
428,05:16:28,90,7.42,6,44
429,05:16:29,90,7.42,6,44
430,05:16:30,89,7.42,6,44
431,05:16:31,89,7.42,6,44
432,05:16:32,90,7.15,6,44
433,05:16:33,90,7.15,7,44
434,05:16:34,90,7.15,6,44
435,05:16:35,90,7.15,6,44
436,05:16:36,90,7.14,7,45
437,05:16:37,90,7.14,6,44
438,05:16:38,89,7.14,6,44
