wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,17:44:51,79,4.96,8,46
1,17:44:52,78,4.96,9,45
2,17:44:53,78,4.96,14,45
3,17:44:54,79,4.96,8,45
4,17:44:55,81,4.96,24,47
5,17:44:56,81,4.88,7,47
6,17:44:57,82,4.88,10,47
7,17:44:58,84,4.88,14,46
8,17:44:59,85,4.88,8,46
9,17:45:00,85,4.73,14,46
10,17:45:01,85,4.73,11,47
11,17:45:02,85,4.73,13,46
13,17:45:04,85,4.73,8,46
14,17:45:05,85,4.73,8,47
15,17:45:06,85,4.59,9,46
16,17:45:07,84,4.59,8,46
17,17:45:08,84,4.59,20,46
18,17:45:09,84,4.59,8,46
19,17:45:10,84,4.59,11,47
20,17:45:11,84,4.71,24,47
21,17:45:12,85,4.71,15,47
22,17:45:13,85,4.71,14,48
23,17:45:14,86,4.71,13,47
24,17:45:15,86,4.71,14,47
25,17:45:16,86,5.05,13,47
26,17:45:17,86,5.05,13,47
27,17:45:18,86,5.05,14,47
28,17:45:19,86,5.05,24,47
29,17:45:20,86,5.05,12,48
30,17:45:21,86,6.49,14,47
31,17:45:22,86,6.49,15,47
32,17:45:23,86,6.49,13,48
33,17:45:24,86,6.49,14,48
34,17:45:25,87,6.49,15,47
35,17:45:26,87,6.85,14,47
36,17:45:27,87,6.85,13,47
37,17:45:28,86,6.85,14,49
38,17:45:29,86,6.85,15,46
39,17:45:30,86,7.34,25,46
40,17:45:31,86,7.34,8,48
42,17:45:33,87,7.34,14,47
43,17:45:34,87,7.34,16,47
44,17:45:35,86,7.34,14,47
45,17:45:36,86,7.95,15,46
46,17:45:37,86,7.95,20,47
47,17:45:38,86,7.95,13,46
48,17:45:39,86,7.95,14,47
49,17:45:40,86,7.95,19,46
50,17:45:41,87,7.80,14,46
51,17:45:42,87,7.80,14,47
52,17:45:43,88,7.80,13,46
53,17:45:44,87,7.80,14,47
54,17:45:45,87,7.80,14,48
55,17:45:46,87,7.49,16,46
56,17:45:47,87,7.49,13,46
57,17:45:48,87,7.49,13,46
58,17:45:49,87,7.49,14,46
