--- /case_start 之後的移動確認 ---
  /model/dyn_obs_0/pose        最大瞬時速度 0.1401 m/s
  /model/dyn_obs_1/pose        最大瞬時速度 0.1401 m/s
  /model/dyn_obs_2/pose        最大瞬時速度 0.1000 m/s
  /model/dyn_obs_3/pose        最大瞬時速度 0.1401 m/s
  /model/dyn_obs_4/pose        最大瞬時速度 0.1201 m/s
  /model/dyn_obs_5/pose        最大瞬時速度 0.1000 m/s
  /model/dyn_obs_6/pose        最大瞬時速度 0.1301 m/s
  /model/dyn_obs_7/pose        最大瞬時速度 0.1200 m/s
  /model/dyn_obs_8/pose        最大瞬時速度 0.1100 m/s
  /model/dyn_obs_9/pose        最大瞬時速度 0.1401 m/s
  移動中 10/10（要求 >= 8）
--- 結果：通過 ---
