wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,17:41:08,63,0.77,4,43
1,17:41:09,62,0.77,3,43
2,17:41:10,63,0.95,5,43
3,17:41:11,64,0.95,3,44
4,17:41:12,69,0.95,4,44
5,17:41:13,72,0.95,1,45
7,17:41:15,78,0.95,2,45
8,17:41:16,79,1.20,3,45
9,17:41:17,79,1.20,14,45
10,17:41:18,80,1.20,6,44
11,17:41:19,79,1.20,2,44
12,17:41:20,80,1.20,3,44
13,17:41:21,79,1.26,3,44
14,17:41:22,79,1.26,8,45
15,17:41:23,78,1.26,8,45
16,17:41:24,78,1.26,7,45
17,17:41:25,77,1.26,9,45
18,17:41:26,78,1.80,8,45
19,17:41:27,78,1.80,16,46
20,17:41:28,80,1.80,20,46
21,17:41:29,79,1.80,8,45
22,17:41:30,78,1.80,17,46
23,17:41:31,78,2.06,8,45
24,17:41:32,78,2.06,19,47
25,17:41:33,77,2.06,8,45
26,17:41:34,77,2.06,8,45
27,17:41:35,76,2.06,9,46
28,17:41:36,78,3.33,9,47
29,17:41:37,78,3.33,8,45
30,17:41:38,81,3.33,9,45
31,17:41:39,81,3.33,7,47
32,17:41:40,80,3.23,15,45
33,17:41:41,79,3.23,15,45
34,17:41:42,79,3.23,9,45
35,17:41:43,78,3.23,9,45
37,17:41:45,78,3.23,15,48
38,17:41:46,78,3.69,15,45
39,17:41:47,78,3.69,20,46
40,17:41:48,78,3.69,9,45
41,17:41:49,78,3.69,19,46
42,17:41:50,78,3.69,8,46
43,17:41:51,78,3.47,7,46
44,17:41:52,78,3.47,9,45
45,17:41:53,79,3.47,8,45
46,17:41:54,78,3.47,8,45
47,17:41:55,77,3.47,3,44
48,17:41:56,77,4.16,8,45
49,17:41:57,77,4.16,8,45
50,17:41:58,77,4.16,9,45
51,17:41:59,77,4.16,8,45
52,17:42:00,78,4.16,8,45
53,17:42:01,79,4.55,8,45
54,17:42:02,79,4.55,8,45
55,17:42:03,78,4.55,9,45
56,17:42:04,79,4.55,8,46
57,17:42:05,79,4.55,14,45
58,17:42:06,80,4.34,8,45
59,17:42:07,80,4.34,9,45
60,17:42:08,80,4.34,8,45
61,17:42:09,80,4.34,24,45
62,17:42:10,80,4.23,11,45
